A0471	艱難梭菌引起的小腸結腸炎，復發性
S56329	前臂水平不明拇指的伸肌或外展肌、筋膜和肌腱撕裂
S56421	前臂水平右手食指伸肌、筋膜和肌腱撕裂
S56422	左手食指伸肌、筋膜和肌腱在前臂水平撕裂
S56423	前臂水平右手中指伸肌、筋膜和肌腱撕裂傷
S56424	前臂水平左中指伸肌、筋膜和肌腱撕裂傷
S56425	前臂水平右手無名指伸肌、筋膜和肌腱撕裂
S56426	前臂水平左無名指伸肌、筋膜和肌腱撕裂傷
S56427	前臂水平的右手小指伸肌、筋膜和肌腱撕裂傷
S56428	前臂水平左小指伸肌、筋膜和肌腱撕裂傷
S56429	前臂水平不明手指伸肌、筋膜和肌腱撕裂
S56521	右臂前臂水平的其他伸肌、筋膜和肌腱撕裂
S56522	前臂水平的其他伸肌、筋膜和肌腱撕裂，左臂
S56529	前臂水平的其他伸肌、筋膜和肌腱撕裂，未指定的手臂
S56821	右臂前臂水平的其他肌肉、筋膜和肌腱撕裂
S56822	前臂水平的其他肌肉、筋膜和肌腱撕裂，左臂
S56829	前臂水平的其他肌肉、筋膜和肌腱撕裂，未指定的手臂
S56921	右臂前臂水平未明確的肌肉、筋膜和肌腱撕裂傷
S56922	左臂前臂水平未明確的肌肉、筋膜和肌腱撕裂傷
S56929	前臂水平未指定的肌肉、筋膜和肌腱撕裂，未指定的手臂
S5700	不明肘部擠壓傷
S5780	未指明的前臂擠壓傷
S58011	肘部水平完全外傷性截肢，右臂
S58012	肘部水平完全外傷性截肢，左臂
S58019	肘部水平的完全創傷性截肢，未指定的手臂
S58021	肘部水平部分外傷性截肢，右臂
S58022	肘部水平部分外傷性截肢，左臂
S58029	肘部水平部分外傷性截肢，未指定的手臂
S58111	在肘部和手腕、右臂之間的水平完全外傷性截肢
S58112	左臂肘部和腕部之間的完全創傷性截肢
S58119	在肘部和手腕之間的水平完全外傷性截肢，未指定的手臂
S58121	肘部和手腕、右臂之間水平的部分外傷性截肢
S58122	左臂肘部和腕部水平部分外傷性截肢
S58129	肘部和腕部之間水平的部分創傷性截肢，未指定的手臂
S58911	右前臂完全外傷性截肢，水平不明
S58912	左前臂完全外傷性截肢，水平未指定
S58919	未指定前臂的完全外傷性截肢，未指定水平
S59001	未明確的尺骨下端骨骺骨折，右臂
S59002	左臂尺骨下端未明確的骺骨折
S59009	未明確的尺骨下端骺骨骨折，未明確的手臂
S59011	Salter-Harris I 型右臂尺骨下端骺骨折
S59012	左臂尺骨下端的 Salter-Harris I 型骺骨折
S59019	尺骨下端的 Salter-Harris I 型骺骨折，未指明的手臂
S59021	右臂尺骨下端 Salter-Harris II 型骺骨折
S59022	左臂尺骨下端的 Salter-Harris II 型骺骨折
S59029	Salter-Harris II 型尺骨下端骨骺骨折，未明確的手臂
S59031	Salter-Harris III 型右臂尺骨下端骨骺骨折
S59032	Salter-Harris III 型左臂尺骨下端骨骺骨折
S59039	Salter-Harris III 型尺骨下端骨骺骨折，未明確的手臂
S5904	尺骨下端的 Salter-Harris IV 型骺骨折
S59041	Salter-Harris IV 型尺骨下端骨骺骨折，右臂
S59042	左臂尺骨下端的 Salter-Harris IV 型骺骨折
S59049	Salter-Harris IV 型尺骨下端骨骺骨折，未明確的手臂
S59091	尺骨、右臂下端其他骺骨折
S59092	其他尺骨下端骨骺骨折，左臂
S59099	尺骨下端的其他骺骨折，未明確的手臂
S59101	未明確的橈骨上端骨骺骨折，右臂
S59102	未指明的橈骨上端骨骺骨折，左臂
S59109	橈骨上端未明確的骺端骨折，未明確的手臂
S59111	Salter-Harris I 型橈骨上端骨骺骨折，右臂
S59112	左臂橈骨上端 Salter-Harris I 型骺骨折
S59119	Salter-Harris I 型橈骨上端骨骺骨折，未明確的手臂
S59121	Salter-Harris II 型橈骨上端骨骺骨折，右臂
S59122	左臂橈骨上端 Salter-Harris II 型骺骨折
S59129	Salter-Harris II 型橈骨上端骨骺骨折，未明確的手臂
S59131	右臂橈骨上端 Salter-Harris III 型骺骨折
S59132	Salter-Harris III 型左臂橈骨上端骨骺骨折
S59139	Salter-Harris III 型橈骨上端骨骺骨折，未明確的手臂
S5914	橈骨上端的 Salter-Harris IV 型骺骨折
S59141	Salter-Harris IV 型橈骨上端骨骺骨折，右臂
S59142	左臂橈骨上端的 Salter-Harris IV 型骺骨折
S59149	Salter-Harris IV 型橈骨上端骨骺骨折，未明確的手臂
S59191	其他橈骨上端、右臂骨骺骨折
S59192	其他橈骨上端骨骺骨折，左臂
S59199	橈骨上端的其他骺骨折，未明確的手臂
S59201	未明確的橈骨下端骨骺骨折，右臂
S59202	未指明的橈骨下端骨骺骨折，左臂
S59209	橈骨下端未明確的骺端骨折，未明確的手臂
S59211	右臂橈骨下端 Salter-Harris I 型骺骨折
S59212	左臂橈骨下端 Salter-Harris I 型骺骨折
S59219	Salter-Harris I 型橈骨下端骨骺骨折，未明確的手臂
S59221	Salter-Harris II 型橈骨下端骨骺骨折，右臂
S59222	左臂橈骨下端的 Salter-Harris II 型骺骨折
S59229	Salter-Harris II 型橈骨下端骨骺骨折，未明確的手臂
S59231	Salter-Harris III 型橈骨下端骨骺骨折，右臂
S59232	左臂橈骨下端 Salter-Harris III 型骺骨折
S59239	Salter-Harris III 型橈骨下端骨骺骨折，未明確的手臂
S5924	橈骨下端的 Salter-Harris IV 型骺骨折
S59241	Salter-Harris IV 型橈骨下端骨骺骨折，右臂
S59242	左臂橈骨下端的 Salter-Harris IV 型骺骨折
S59249	Salter-Harris IV 型橈骨下端骨骺骨折，未明確的手臂
S59291	其他橈骨下端骨骺骨折，右臂
S59292	其他橈骨下端骨骺骨折，左臂
S59299	橈骨下端的其他骨骺骨折，未明確的手臂
S60371	右手拇指的其他淺表咬合
S60372	左手拇指的其他淺表咬合
S60379	其他未明確拇指的淺表咬合
S61059	未指定的拇指張開咬合而沒有損壞指甲
S61151	右手拇指張開咬合，指甲受損
S61152	左手拇指張開咬合，指甲受損
S61159	不明拇指開合，指甲受損
S62001	右手腕舟骨[舟骨]未明確骨折
S62002	左腕舟骨[舟骨]未明確骨折
S62009	不明腕舟骨[舟骨]不明骨折
S62011	右腕舟骨[舟骨]遠端骨移位骨折
S62012	左腕舟骨[舟骨]遠端骨移位骨折
S62013	不明腕舟骨[舟骨]遠端骨移位骨折
S62014	右腕舟骨[舟骨]遠端無移位骨折
S62015	左腕舟骨[舟骨]遠端無移位骨折
S62016	未特指腕舟骨[舟骨]遠端無移位骨折
S62021	右腕舟骨[舟骨]中三分之一移位骨折
S62022	左腕舟骨[舟骨]中三分之一移位骨折
S62023	不明腕舟骨[舟骨]中三分之一移位骨折
S62024	右腕舟骨[舟骨]中三分之一無移位骨折
S62025	左腕舟骨[舟骨]中三分之一無移位骨折
S62026	未特指腕舟骨 [舟骨] 中三分之一無移位骨折
S62031	右腕舟骨近三分之一移位骨折
S62032	左腕舟骨[舟骨]近三分之一移位骨折
S62033	不明腕舟骨[舟骨]近三分之一移位骨折
S62034	右腕舟骨近三分之一無移位骨折
S62035	左腕舟骨近三分之一無移位骨折
S62036	未特指腕舟骨近端三分之一無移位骨折
S62101	未明確的腕骨骨折，右手腕
S62102	未明確的腕骨骨折，左手腕
S62109	不明腕骨骨折，不明腕部骨折
S62111	三角骨[楔骨]移位骨折，右手腕
S62112	三角骨[楔骨]移位骨折，左手腕
S62113	三角骨[楔骨]移位骨折，未指明的手腕
S62114	右腕三角[楔骨]骨無移位骨折
S62115	左腕三角[楔骨]骨無移位骨折
S62116	三角骨[楔骨]無移位骨折，未明確腕部
S62121	月骨[半月]移位骨折，右手腕
S62122	月骨[半月]移位骨折，左手腕
S62123	月骨 [半月] 移位骨折，未指明的手腕
S62124	月骨 [半月] 無移位骨折，右手腕
S62125	月骨 [半月] 無移位骨折，左手腕
S62126	無移位的月骨 [半月] 骨折，未指明的手腕
S62131	右腕頭狀 [os magnum] 骨移位骨折
S62132	左腕頭狀 [os magnum] 骨移位骨折
S62133	頭狀 [os magnum] 骨移位骨折，未指明手腕
S62134	右腕頭狀 [os magnum] 骨無移位骨折
S62135	左腕頭狀 [os magnum] 骨無移位骨折
S62136	頭狀 [os magnum] 骨無移位骨折，腕部未明確
S62141	鉤骨[unciform]骨，右手腕移位骨折
S62142	鉤骨[unciform]骨，左手腕移位骨折
S62143	股骨[不規則]骨移位骨折，未指明腕部
S62144	鉤骨 [unciform] 骨、右手腕無移位骨折
S62145	鉤骨 [unciform] 骨，左手腕無移位骨折
S62146	鉤骨 [unciform] 骨、未明確腕部的無移位骨折
S62151	右腕鉤骨鉤突移位骨折
S62152	左腕鉤骨鉤突移位骨折
S62153	鉤骨鉤突移位骨折，未明確腕部
S62154	右腕鉤骨鉤突無移位骨折
S62155	左腕鉤骨鉤突無移位骨折
S62156	鉤骨鉤突無移位骨折，未明確腕部
S6216	豌豆狀骨折
S62161	豌豆骨移位骨折，右手腕
S62162	豌豆骨移位骨折，左手腕
S62163	豌豆骨移位骨折，未明確手腕
S62164	豌豆骨無移位骨折，右手腕
S62165	豌豆骨無移位骨折，左手腕
S62166	無移位的豌豆狀骨折，未明確的手腕
S62171	梯形移位骨折[較大的多角]，右手腕
S62172	梯形移位骨折[較大的多角]，左手腕
S62173	梯形移位骨折[較大的多角]，未指明的手腕
S62174	梯形無移位骨折[較大的多角]，右手腕
S62175	梯形無移位骨折[較大的多角]，左手腕
S62176	無移位的梯形骨折[較大的多角]，未指明的手腕
S62181	梯形移位骨折[小多角]，右手腕
S62182	梯形移位骨折[小多角]，左手腕
S62183	梯形移位骨折[較小的多角]，未指明的手腕
S62184	梯形無移位骨折[小多角]，右手腕
S62185	梯形無移位骨折[小多角]，左手腕
S62186	梯形無移位骨折[較小的多角]，未指定的手腕
S62201	右手第一掌骨未明確骨折
S62202	左手第一掌骨未明確骨折
S62209	未指明的第一掌骨骨折，未指明的手
S62211	貝內特的右手骨折
S62212	貝內特的左手骨折
S62213	Bennett 骨折，不明手
S62221	置換羅蘭多的骨折，右手
S62222	移位羅蘭多的骨折，左手
S62223	移位羅蘭多的骨折，未指明的手
S62224	無移位的 Rolando 骨折，右手
S62225	無移位的 Rolando 骨折，左手
S62226	無移位的 Rolando 骨折，未指明的手
S62231	右手第一掌骨基底部的其他移位骨折
S62232	左手第一掌骨基底部的其他移位骨折
S62233	其他第一掌骨基底部移位骨折，未特指的手
S62234	右手第一掌骨基底部的其他無移位骨折
S62235	左手第一掌骨基底部的其他無移位骨折
S62236	第一掌骨基底部的其他非移位性骨折，未特指的手
S62241	右手第一掌骨幹移位骨折
S62242	左手第一掌骨骨幹移位骨折
S62243	第一掌骨骨幹移位骨折，不明手
S62244	右手第一掌骨幹無移位骨折
S62245	左手第一掌骨幹無移位骨折
S62246	第一掌骨幹非移位骨折，未指定手
S62251	右手第一掌骨頸移位骨折
S62252	左手第一掌骨頸移位骨折
S62253	第一掌骨頸移位骨折，未指定手
S62254	右手第一掌骨頸無移位骨折
S62255	左手第一掌骨頸無移位骨折
S62256	第一掌骨頸無移位骨折，不明手
S62291	右手第一掌骨的其他骨折
S62292	左手第一掌骨的其他骨折
S62299	第一掌骨的其他骨折，未指明的手
S62300	右手第二掌骨未明確骨折
S62301	左手第二掌骨未明確骨折
S62302	右手第三掌骨未明確骨折
S62303	左手第三掌骨未明確骨折
S62304	右手第四掌骨未明確骨折
S62305	左手第四掌骨未明確骨折
S62306	右手第五掌骨未明確骨折
S62307	左手第五掌骨未明確骨折
S62308	未特指的其他掌骨骨折
S62309	不明原因的掌骨骨折
S62310	右手第二掌骨基底部移位骨折
S62311	左手第二掌骨基底部移位骨折
S62312	右手第三掌骨基底部移位骨折
S62313	左手第三掌骨基底部移位骨折
S62314	右手第四掌骨基底部移位骨折
S62315	左手第四掌骨基底部移位骨折
S62316	右手第五掌骨基底部移位骨折
S62317	左手第五掌骨基底部移位骨折
S62318	其他掌骨基底部移位骨折
S62319	未特指的掌骨基底部移位骨折
S62320	右手第二掌骨幹移位骨折
S62321	左手第二掌骨幹移位骨折
S62322	右手第三掌骨幹移位骨折
S62323	左手第三掌骨幹移位骨折
S62324	右手第四掌骨幹移位骨折
S62325	左手第四掌骨幹移位骨折
S62326	右手第五掌骨幹移位骨折
S62327	左手第五掌骨骨幹移位骨折
S62328	其他掌骨幹移位骨折
S62329	不明掌骨幹移位骨折
S62330	右手第二掌骨頸移位骨折
S62331	左手第二掌骨頸移位骨折
S62332	右手第三掌骨頸移位骨折
S62333	左手第三掌骨頸移位骨折
S62334	右手第四掌骨頸移位骨折
S62335	左手第四掌骨頸移位骨折
S62336	右手第五掌骨頸移位骨折
S62337	左手第五掌骨頸移位骨折
S62338	其他掌骨頸移位骨折
S62339	未特指的掌骨頸移位骨折
S62340	右手第二掌骨基底部無移位骨折
S62341	左手第二掌骨基底部無移位骨折
S62342	右手第三掌骨基底部無移位骨折
S62343	左手第三掌骨基底部無移位骨折
S62344	右手第四掌骨基底部無移位骨折
S62345	左手第四掌骨基底部無移位骨折
S62346	右手第五掌骨基底部無移位骨折
S62347	左手第五掌骨基底部無移位骨折
S62348	其他掌骨基底部無移位骨折
S62349	未特指的掌骨基底部無移位骨折
S62350	右手第二掌骨幹無移位骨折
S62351	左手第二掌骨幹無移位骨折
S62352	右手第三掌骨幹無移位骨折
S62353	左手第三掌骨幹無移位骨折
S62354	右手第四掌骨幹無移位骨折
S62355	左手第四掌骨幹無移位骨折
S62356	右手第五掌骨幹無移位骨折
S62357	左手第五掌骨幹無移位骨折
S62358	其他掌骨幹無移位骨折
S62359	未特指的掌骨幹非移位骨折
S62360	右手第二掌骨頸無移位骨折
S62361	左手第二掌骨頸無移位骨折
S62362	右手第三掌骨頸無移位骨折
S62363	左手第三掌骨頸無移位骨折
S62364	右手第四掌骨頸無移位骨折
S62365	左手第四掌骨頸無移位骨折
S62366	右手第五掌骨頸無移位骨折
S62367	左手第五掌骨頸無移位骨折
S62368	其他掌骨頸無移位骨折
S62369	未特指的掌骨頸無移位骨折
S62390	右手第二掌骨的其他骨折
S62391	左手第二掌骨的其他骨折
S62392	右手第三掌骨的其他骨折
S62393	左手第三掌骨的其他骨折
S62394	右手第四掌骨的其他骨折
S62395	左手第四掌骨的其他骨折
S62396	右手第五掌骨其他骨折
S62397	左手第五掌骨的其他骨折
S62398	其他掌骨的其他骨折
S62399	其他未特指的掌骨骨折
S62501	未特指的右手拇指指骨骨折
S62502	未特指的左拇指指骨骨折
S62509	不明拇指指骨骨折
S62511	右手拇指近節指骨移位骨折
S62512	左手拇指近節指骨移位骨折
S62513	未特指拇指近節指骨移位骨折
S62514	右手拇指近節指骨無移位骨折
S62515	左手拇指近節指骨無移位骨折
S62516	未特指拇指近節指骨無移位骨折
S62521	右手拇指遠節指骨移位骨折
S62522	左手拇指遠節指骨移位骨折
S62523	未特指拇指遠節指骨移位骨折
S62524	右手拇指遠節指骨無移位骨折
S62525	左手拇指遠節指骨無移位骨折
S62526	未特指拇指遠節指骨無移位骨折
S62600	右手食指不明指骨骨折
S62601	左食指不明指骨骨折
S62602	右手中指未特指指骨骨折
S62603	左中指未特指指骨骨折
S62604	右手無名指未特指指骨骨折
S62605	左無名指未特指指骨骨折
S62606	右小指未明確指骨骨折
S62607	左小指未明確指骨骨折
S62608	其他手指未明確指骨骨折
S62609	未指定手指未指定指骨骨折
S62610	右手食指近節指骨移位骨折
S62611	左手食指近節指骨移位骨折
S62612	右手中指近節指骨移位骨折
S62613	左中指近節指骨移位骨折
S62614	右手無名指近節指骨移位骨折
S62615	左無名指近節指骨移位骨折
S62616	右手小指近節指骨移位骨折
S62617	左小指近節指骨移位骨折
S62618	其他手指近節指骨移位骨折
S62619	未特指手指近節指骨移位骨折
S62620	右手食指中指骨移位骨折
S62621	左手食指中指骨移位骨折
S62622	右手中指中指骨移位骨折
S62623	左中指中指骨移位骨折
S62624	右手無名指中指骨移位骨折
S62625	左手無名指中指骨移位骨折
S62626	右手小指中指骨移位骨折
S62627	左小指中指骨移位骨折
S62628	其他手指中節指骨移位骨折
S62629	未特指中指骨移位骨折
S62630	右手食指遠節指骨移位骨折
S62631	左手食指遠節指骨移位骨折
S62632	右手中指遠節指骨移位骨折
S62633	左中指遠節指骨移位骨折
S62634	右手無名指遠節指骨移位骨折
S62635	左無名指遠節指骨移位骨折
S62636	右手小指遠節指骨移位骨折
S62637	左小指遠節指骨移位骨折
S62638	其他手指遠節指骨移位骨折
S62639	不明指遠節指骨移位骨折
S62640	右手食指近節指骨無移位骨折
S62641	左手食指近節指骨無移位骨折
S62642	右手中指近節指骨無移位骨折
S62643	左中指近節指骨無移位骨折
S62644	右手無名指近節指骨無移位骨折
S62645	左無名指近節指骨無移位骨折
S62646	右手小指近節指骨無移位骨折
S62647	左小指近節指骨無移位骨折
S62648	其他手指近節指骨無移位骨折
S62649	未特指手指近節指骨無移位骨折
S62650	右手食指中指骨無移位骨折
S62651	左手食指中指骨無移位骨折
S62652	右手中指中指骨無移位骨折
S62653	左中指中指骨無移位骨折
S62654	右手無名指中指骨無移位骨折
S62655	左無名指中指骨無移位骨折
S62656	右手小指中指骨無移位骨折
S62657	左小指中指骨無移位骨折
S62658	其他手指中節指骨無移位骨折
S62659	未特指中指骨無移位骨折
S62660	右手食指遠節指骨無移位骨折
S62661	左食指遠節指骨無移位骨折
S62662	右手中指遠節指骨無移位骨折
S62663	左中指遠節指骨無移位骨折
S62664	右手無名指遠節指骨無移位骨折
S62665	左無名指遠節指骨無移位骨折
S62666	右手小指遠節指骨無移位骨折
S62667	左小指遠節指骨無移位骨折
S62668	其他手指遠節指骨無移位骨折
S62669	未特指手指遠節指骨無移位骨折
S6290	不明手腕和手部不明骨折
S6291	右手腕和手部不明骨折
S6292	左手腕和手部不明骨折
S6312	拇指指間關節半脫位脫位
S63121	右手拇指指間關節半脫位
S63122	左手拇指指間關節半脫位
S63123	未特指拇指指間關節半脫位
S63124	右手拇指指間關節脫位
S63125	左手拇指指間關節脫位
S63126	未特指拇指指間關節脫位
S6359	其他特定的手腕扭傷
S63591	其他指定的右手腕扭傷
S63592	其他指定的左手腕扭傷
S63599	其他未特指的手腕扭傷
S638X	手腕和手的其他部位扭傷
S638X1	右手手腕其他部位扭傷
S638X2	左手腕和手其他部位扭傷
S638X9	未指明的手腕和手的其他部分扭傷
S648X	手腕和手部其他神經損傷
S648X1	右臂腕部和手部其他神經損傷
S648X2	左臂腕部和手部其他神經損傷
S648X9	未特指的手臂腕部和手部其他神經損傷
S65001	右臂腕部和手部尺動脈未明確損傷
S65002	左臂腕部和手部尺動脈未明確損傷
S65009	未特指的手臂腕部和手部尺動脈的未特指損傷
S65011	右臂腕部和手部尺動脈撕裂傷
S65012	左臂腕部和手部尺動脈撕裂傷
S65019	未特指手臂腕部和手部尺動脈撕裂傷
S65091	右臂腕部和手部尺動脈的其他特定損傷
S65092	左臂腕部和手部尺動脈的其他特定損傷
S65099	未特指的手臂腕部和手部尺動脈的其他特指損傷
S65101	右臂腕部和手部橈動脈未明確損傷
S65102	左臂腕部和手部橈動脈未明確損傷
S65109	未特指的手臂腕部和手部橈動脈未特指損傷
S65111	右臂腕部和手部橈動脈撕裂傷
S65112	左臂腕部和手部橈動脈撕裂傷
S65119	未特指手臂腕部和手部橈動脈撕裂傷
S65191	右臂腕部和手部橈動脈的其他特定損傷
S65192	左臂腕部和手部橈動脈的其他特定損傷
S65199	未特指的手臂腕部和手部橈動脈的其他特指損傷
S65201	右手淺掌弓未明確損傷
S65202	未特指的左手掌淺弓損傷
S65209	不明手淺掌弓的不明損傷
S65211	右手掌淺弓裂傷
S65212	左手掌淺弓裂傷
S65219	不明手掌淺弓裂傷
S65291	右手淺掌弓的其他特指損傷
S65292	左手掌淺弓的其他特指損傷
S65299	未特指手的淺掌弓的其他特指損傷
S65301	右手深掌弓未明確損傷
S65302	左手深掌弓未明確損傷
S65309	不明手深掌弓的不明損傷
S65311	右手深掌弓裂傷
S65312	左手掌深弓裂傷
S65319	不明手深掌弓裂傷
S65391	右手深掌弓的其他特指損傷
S65392	左手深掌弓的其他特指損傷
S65399	未特指手深掌弓的其他特指傷
S654	拇指血管損傷
S65401	右手拇指血管未明確損傷
S65402	左手拇指血管不明損傷
S65409	未特指拇指血管未特指損傷
S65411	右手拇指血管裂傷
S65412	左手拇指血管裂傷
S65419	不明拇指血管裂傷
S65491	右手拇指血管的其他特定損傷
S65492	左手拇指血管的其他特定損傷
S65499	未特指拇指血管的其他特指損傷
S65500	右手食指血管不明損傷
S65501	左手食指血管不明損傷
S65502	右手中指血管不明損傷
S65503	左中指血管不明損傷
S65504	右手無名指血管不明損傷
S65505	左無名指血管不明損傷
S65506	右小指血管不明損傷
S65507	左小指血管不明損傷
S65508	其他手指血管未明確損傷
S65509	未特指手指血管未特指損傷
S65510	右手食指血管裂傷
S65511	左手食指血管裂傷
S65512	右手中指血管裂傷
S65513	左中指血管裂傷
S65514	右手無名指血管裂傷
S65515	左手無名指血管裂傷
S65516	右手小指血管裂傷
S65517	左小指血管裂傷
S65518	其他手指血管撕裂
S65519	不明手指血管撕裂傷
S65590	右手食指血管的其他特指性損傷
S65591	左手食指血管的其他特指性損傷
S65592	右手中指血管的其他特指性損傷
S65593	左中指血管的其他特指性損傷
S65594	右手無名指血管的其他特指性損傷
S65595	左無名指血管的其他特定損傷
S65596	右小指血管的其他特指性損傷
S65597	左小指血管的其他特指性損傷
S65598	其他手指血管的其他特定損傷
S65599	未特指手指血管的其他特指損傷
S65801	右臂腕部和手部其他血管未明確損傷
S65802	左臂腕部和手部其他血管未明確損傷
S65809	未特指的手臂手腕和手部其他血管的未特指損傷
S65811	右臂手腕和手部其他血管撕裂
S65812	左臂手腕和手部其他血管撕裂
S65819	未特指的手臂手腕和手部水平的其他血管撕裂
S65891	右臂腕部和手部其他血管的其他特定損傷
S65892	左臂腕部和手部其他血管的其他特定損傷
S65899	未特指的手臂手腕和手部其他血管的其他指定損傷
S65901	右臂腕部和手部未特指血管未特指損傷
S65902	左臂腕部和手部未特指血管未特指損傷
S65909	未特指的手臂腕部和手部未特指血管的未特指損傷
S65911	右臂腕部和手部未明確血管撕裂傷
S65912	左臂腕部和手部未明確血管撕裂傷
S65919	未指定手臂腕部和手部水平未指定血管撕裂
S65991	右臂手腕和手部未特指血管的其他特指損傷
S65992	左臂手腕和手部未特指血管的其他特指損傷
S65999	未特指的手腕和手部未特指血管的其他特指損傷
S66009	未特指的拇指長屈肌、筋膜和肌腱在腕部和手部水平的未特指損傷
S66019	手腕和手部未特指拇指的長屈肌、筋膜和肌腱拉傷
S66021	手腕和手部右手拇指長屈肌、筋膜和肌腱撕裂
S66022	左手拇指長屈肌、筋膜和肌腱在手腕和手部水平撕裂
S66029	手腕和手部未指定拇指的長屈肌、筋膜和肌腱撕裂
S6609	手腕和手部長屈肌、筋膜和拇指肌腱的其他特定損傷
S66091	右手拇指長屈肌、筋膜和肌腱在手腕和手水平的其他特定損傷
S66092	左手拇指長屈肌、筋膜和肌腱在腕部和手部水平的其他特定損傷
S66099	未特指的拇指長屈肌、筋膜和肌腱在腕部和手部水平的其他特指損傷
S66120	右手食指屈肌、筋膜和肌腱在手腕和手部水平撕裂
S66121	左手食指屈肌、筋膜和肌腱在手腕和手部水平撕裂
S66122	手腕和手部右手中指屈肌、筋膜和肌腱撕裂傷
S66123	左手中指屈肌、筋膜和肌腱在腕部和手部水平撕裂
S66124	右手無名指屈肌、筋膜和肌腱在手腕和手部水平撕裂
S66125	左手無名指屈肌、筋膜和肌腱在手腕和手部水平撕裂
S66126	手腕和手部右手小指屈肌、筋膜和肌腱撕裂傷
S66127	左手小指屈肌、筋膜和肌腱在手腕和手部水平撕裂
S66128	手腕和手部其他手指的屈肌、筋膜和肌腱撕裂傷
S66129	手腕和手部未特指的屈肌、筋膜和肌腱撕裂傷
S66190	右手食指腕部和手部屈肌、筋膜和肌腱的其他損傷
S66209	手腕和手部未指定拇指伸肌、筋膜和肌腱的未指定損傷
S66219	手腕和手部未特指的拇指伸肌、筋膜和肌腱拉傷
S66221	手腕和手部右手拇指伸肌、筋膜和肌腱撕裂
S66222	左手拇指伸肌、筋膜和肌腱在手腕和手部水平撕裂
S66229	手腕和手部不明拇指伸肌、筋膜和肌腱撕裂
S6629	手腕和手部水平的伸肌、筋膜和拇指肌腱的其他特定損傷
S66291	右手拇指伸肌、筋膜和肌腱在手腕和手水平的其他特定損傷
S66292	左手拇指手腕和手部水平的伸肌、筋膜和肌腱的其他特定損傷
S66299	手腕和手部未特指的拇指伸肌、筋膜和肌腱的其他特指損傷
S66320	右手食指伸肌、筋膜和肌腱在手腕和手部水平撕裂
S66321	左手食指伸肌、筋膜和肌腱在手腕和手部水平撕裂
S66322	右手中指伸肌、筋膜和肌腱在手腕和手部水平撕裂
S66323	左手中指伸肌、筋膜和肌腱在手腕和手部水平撕裂
S66324	右手無名指伸肌、筋膜和肌腱在手腕和手部水平撕裂
S66325	左手無名指伸肌、筋膜和肌腱在手腕和手部水平撕裂
S66326	手腕和手部右手小指伸肌、筋膜和肌腱撕裂傷
S66327	左手小指伸肌、筋膜和肌腱在手腕和手部水平撕裂
S66328	手腕和手部其他手指的伸肌、筋膜和肌腱撕裂傷
S66329	未特指的手指伸肌、筋膜和肌腱在腕部和手部水平撕裂
S66409	未特指的拇指在腕部和手部水平的內在肌肉、筋膜和肌腱的未特指損傷
S66419	手腕和手部未特指拇指的內在肌肉、筋膜和肌腱拉傷
S66421	手腕和手部右手拇指的內在肌肉、筋膜和肌腱撕裂
S66422	左手拇指內在肌肉、筋膜和肌腱在手腕和手部水平撕裂
S66429	手腕和手部未特指拇指的內在肌肉、筋膜和肌腱撕裂
S6649	其他特定的腕部和手部內在肌肉、筋膜和拇指肌腱損傷
S66491	右手拇指腕部和手部內在肌肉、筋膜和肌腱的其他特定損傷
S66492	左手拇指腕部和手部的內在肌肉、筋膜和肌腱的其他特定損傷
S66499	未特指的拇指內在肌肉、筋膜和肌腱在腕部和手部水平的其他特指損傷
S66520	右手食指手腕和手部內在肌肉、筋膜和肌腱撕裂
S66521	左手食指手腕和手部內在肌肉、筋膜和肌腱撕裂傷
S66522	右手中指手腕和手部內在肌肉、筋膜和肌腱撕裂傷
S66523	左中指手腕和手部內在肌肉、筋膜和肌腱撕裂傷
S66524	右手無名指手腕和手部內在肌肉、筋膜和肌腱撕裂
S66525	左手無名指手腕和手部內在肌肉、筋膜和肌腱撕裂傷
S66526	手腕和手部右手小指內在肌肉、筋膜和肌腱撕裂
S66527	左小指手腕和手部內在肌肉、筋膜和肌腱撕裂傷
S66528	手腕和手部其他手指的內在肌肉、筋膜和肌腱撕裂
S66529	手腕和手部未特指手指的內在肌肉、筋膜和肌腱撕裂
S668	手腕和手部其他特定肌肉、筋膜和肌腱的損傷
S6680	手腕和手部其他特定肌肉、筋膜和肌腱的未明確損傷
S66801	手腕和手部水平的其他特定肌肉、筋膜和肌腱的未明確損傷，右手
S66802	左手手腕和手部其他特定肌肉、筋膜和肌腱的未明確損傷
S66809	手腕和手部其他特定肌肉、筋膜和肌腱的未指明損傷，未指明的手
S6681	手腕和手部其他特定肌肉、筋膜和肌腱的應變
S66811	手腕和手部水平的其他特定肌肉、筋膜和肌腱的拉傷，右手
S66812	左手手腕和手部其他特定肌肉、筋膜和肌腱的應變
S66819	手腕和手部水平的其他特定肌肉、筋膜和肌腱的拉傷，未指明的手
S6682	手腕和手部其他特定肌肉、筋膜和肌腱的撕裂傷
S66821	手腕和手部水平的其他特定肌肉、筋膜和肌腱撕裂傷，右手
S66822	左手手腕和手部其他特定肌肉、筋膜和肌腱的撕裂傷
S66829	手腕和手部其他特定肌肉、筋膜和肌腱的撕裂傷，未指明的手
S6689	手腕和手部其他特定肌肉、筋膜和肌腱的其他損傷
