E083211	由潛在疾病引起的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
S82862R	左腿移位的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82862S	移位的 Maisonneuve 左腿骨折，後遺症
S82863A	移位的未指明腿的 Maisonneuve 骨折，最初遇到閉合性骨折
S82863B	移位的未指明腿的 Maisonneuve 骨折，初次遇到開放性骨折 I 型或 II 型
S82863C	移位的未指明腿的 Maisonneuve 骨折，初次遇到開放性骨折類型 IIIA、IIIB 或 IIIC
S82863D	移位的未指明腿的 Maisonneuve 骨折，隨後遇到閉合性骨折並常規癒合
S82863E	移位的未指明腿的 Maisonneuve 骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82863F	移位的未指明腿的 Maisonneuve 骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S82863G	移位的未指明腿的 Maisonneuve 骨折，隨後遇到閉合性骨折延遲癒合
S82863H	移位的未指明腿的 Maisonneuve 骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S82863J	移位的未指明腿的 Maisonneuve 骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S82863K	移位的未指明腿的 Maisonneuve 骨折，隨後因閉合性骨折不癒合而發生
S82863M	移位的未指明腿的 Maisonneuve 骨折，隨後遇到開放性骨折 I 型或 II 型不癒合
S82863N	移位的未指明腿的 Maisonneuve 骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型不癒合
S82863P	移位的未指明腿的 Maisonneuve 骨折，隨後遇到閉合性骨折合併畸形癒合
S82863Q	移位的未指明腿的 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S82863R	移位的未指明腿的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82863S	移位的未指明腿的 Maisonneuve 骨折，後遺症
S82864A	右腿無移位 Maisonneuve 骨折，初次接觸閉合性骨折
S82864B	右腿無移位的 Maisonneuve 骨折，初次接觸 I 型或 II 型開放性骨折
S82864C	右腿無移位的 Maisonneuve 骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S82864D	右腿無移位的 Maisonneuve 骨折，隨後遇到閉合性骨折並常規癒合
S82864E	右腿無移位的 Maisonneuve 骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82864F	右腿無移位的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82864G	右腿無移位的 Maisonneuve 骨折，隨後因閉合性骨折而延遲癒合
S82864H	右腿無移位的 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折，癒合延遲
S82864J	右腿無移位的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S82864K	右腿無移位 Maisonneuve 骨折，隨後因閉合性骨折不癒合而發生
S82864M	右腿無移位的 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S82864N	右腿無移位的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82864P	右腿無移位 Maisonneuve 骨折，隨後因閉合性骨折合併畸形癒合
S82864Q	右腿無移位的 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S82864R	右腿無移位 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82864S	無移位的 Maisonneuve 右腿骨折，後遺症
S82865A	左腿無移位的 Maisonneuve 骨折，初次接觸閉合性骨折
S82865B	左腿無移位的 Maisonneuve 骨折，初次接觸 I 型或 II 型開放性骨折
S82865C	左腿無移位的 Maisonneuve 骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S82865D	左腿無移位的 Maisonneuve 骨折，隨後遇到閉合性骨折並常規癒合
S82865E	左腿無移位的 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折並常規癒合
S82865F	左腿無移位的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82865G	左腿無移位的 Maisonneuve 骨折，隨後因閉合性骨折而延遲癒合
S82865H	左腿無移位的 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折，癒合延遲
S82865J	左腿無移位的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S82865K	左腿無移位的 Maisonneuve 骨折，隨後因閉合性骨折不癒合而遭遇
S82865M	左腿無移位的 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S82865N	左腿未移位的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82865P	左腿無移位 Maisonneuve 骨折，隨後因閉合性骨折合併畸形癒合
S82865Q	左腿無移位的 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S82865R	左腿無移位的 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82865S	無移位的 Maisonneuve 左腿骨折，後遺症
S82866A	未指定腿的無移位 Maisonneuve 骨折，閉合性骨折的初次接觸
S82866B	未特指腿的無移位 Maisonneuve 骨折，初次遇到開放性骨折 I 型或 II 型
S82866C	未特指腿部的無移位 Maisonneuve 骨折，初次遇到開放性骨折類型 IIIA、IIIB 或 IIIC
S82866D	未指定腿的無移位 Maisonneuve 骨折，隨後遇到閉合性骨折並常規癒合
S82866E	未明確腿部的無移位 Maisonneuve 骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82866F	未明確腿部的無移位 Maisonneuve 骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S82866G	不明腿的無移位 Maisonneuve 骨折，隨後因閉合性骨折而延遲癒合
S82866H	未明確腿部的無移位 Maisonneuve 骨折，隨後遇到開放性骨折 I 型或 II 型，癒合延遲
S82866J	未明確腿部的無移位 Maisonneuve 骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S82866K	未指定腿的無移位 Maisonneuve 骨折，隨後因閉合性骨折不癒合而發生
S82866M	未明確腿部的無移位 Maisonneuve 骨折，隨後遇到開放性骨折 I 型或 II 型不癒合
S82866N	未明確腿部的無移位 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82866P	未指定腿的無移位 Maisonneuve 骨折，隨後因閉合性骨折合併畸形癒合
S82866Q	未明確腿部的無移位 Maisonneuve 骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S82866R	未明確腿部的無移位 Maisonneuve 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82866S	無移位的 Maisonneuve 不明腿骨折，後遺症
S82871A	右脛骨移位pilon骨折，閉合性骨折初診
S82871B	右脛骨移位 Pilon 骨折，初次接觸開放性骨折 I 型或 II 型
S82871C	右脛骨移位pilon骨折，IIIA、IIIB或IIIC型開放性骨折的初次接觸
S82871D	右側脛骨移位的pilon骨折，隨後遇到閉合性骨折並常規癒合
S82871E	右側脛骨移位的pilon骨折，隨後遇到開放性骨折I型或II型並常規癒合
S82871F	右側脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82871G	右脛骨移位pilon骨折，隨後遇到閉合性骨折延遲癒合
S82871H	右脛骨移位的pilon骨折，隨後遇到開放性骨折I型或II型，癒合延遲
S82871J	右側脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S82871K	右脛骨移位pilon骨折，隨後遇到閉合性骨折不癒合
S82871M	右脛骨移位的pilon骨折，隨後遇到開放性骨折I型或II型不癒合
S82871N	右側脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折且不癒合
S82871P	右脛骨移位性pilon骨折，隨後遇到閉合性骨折合併畸形癒合
S82871Q	右脛骨移位pilon骨折，隨後遇到I型或II型開放性骨折合併畸形癒合
S82871R	右側脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82871S	右脛骨移位pilon骨折，後遺症
S82872A	左脛骨移位pilon骨折，初次接觸閉合性骨折
S82872B	左脛骨移位 Pilon 骨折，初次接觸開放性骨折 I 型或 II 型
S82872C	左脛骨移位的 Pilon 骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S82872D	左脛骨移位的pilon骨折，隨後遇到閉合性骨折並常規癒合
S82872E	左脛骨移位的pilon骨折，隨後遇到開放性骨折I型或II型並常規癒合
S82872F	左脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82872G	左脛骨移位性pilon骨折，隨後遇到閉合性骨折延遲癒合
S82872H	左脛骨移位pilon骨折，隨後遇到開放性骨折I型或II型，癒合延遲
S82872J	左脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S82872K	左脛骨移位pilon骨折，隨後遇到閉合性骨折不癒合
S82872M	左脛骨移位的pilon骨折，隨後遇到開放性骨折I型或II型不癒合
S82872N	左脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82872P	左脛骨移位性pilon骨折，隨後遇到閉合性骨折合併畸形癒合
S82872Q	左脛骨移位性pilon骨折，隨後遇到I型或II型開放性骨折合併畸形癒合
S82872R	左脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82872S	左脛骨移位pilon骨折，後遺症
S82873A	未特指脛骨移位的 Pilon 骨折，初次接觸閉合性骨折
S82873B	未特指脛骨移位的 Pilon 骨折，初次接觸 I 型或 II 型開放性骨折
S82873C	未特指脛骨移位的 Pilon 骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S82873D	未特指脛骨移位的 Pilon 骨折，隨後遇到閉合性骨折並常規癒合
S82873E	未明確脛骨移位的 Pilon 骨折，隨後遇到 I 型或 II 型開放性骨折並常規癒合
S82873F	未特指脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82873G	未特指脛骨移位的 Pilon 骨折，隨後遇到閉合性骨折延遲癒合
S82873H	未特指脛骨移位的 Pilon 骨折，隨後遇到 I 型或 II 型開放性骨折，癒合延遲
S82873J	未明確脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並延遲癒合
S82873K	未明確的脛骨移位的 Pilon 骨折，隨後遇到閉合性骨折不癒合
S82873M	未特指脛骨移位的 Pilon 骨折，隨後遇到 I 型或 II 型開放性骨折且不癒合
S82873N	未明確脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴不癒合
S82873P	不明脛骨移位性pilon骨折，隨後因閉合性骨折合併畸形癒合
S82873Q	未特指脛骨移位的 Pilon 骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S82873R	未明確脛骨移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82873S	未特指脛骨移位pilon骨折，後遺症
S82874A	右脛骨無移位pilon骨折，閉合性骨折初診
S82874B	右脛骨無移位 Pilon 骨折，初次接觸開放性骨折 I 型或 II 型
S82874C	右脛骨無移位 Pilon 骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S82874D	右脛骨無移位 Pilon 骨折，隨後遇到閉合性骨折並常規癒合
S82874E	右脛骨無移位 Pilon 骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82874F	右脛骨無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82874G	右脛骨無移位 Pilon 骨折，隨後遇到閉合性骨折延遲癒合
S82874H	右脛骨無移位 Pilon 骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S82874J	右脛骨無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S82874K	右脛骨無移位pilon骨折，隨後遇到閉合性骨折不癒合
S82874M	右脛骨無移位 Pilon 骨折，隨後遇到開放性骨折 I 型或 II 型不癒合
S82874N	右脛骨無移位的 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82874P	右脛骨無移位 Pilon 骨折，隨後遇到閉合性骨折合併畸形癒合
S82874Q	右脛骨無移位 Pilon 骨折，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S82874R	右脛骨無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82874S	右脛骨無移位pilon骨折，後遺症
S82875A	左脛骨無移位pilon骨折，初次接觸閉合性骨折
S82875B	左脛骨無移位 Pilon 骨折，初次接觸 I 型或 II 型開放性骨折
S82875C	左脛骨無移位 Pilon 骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S82875D	左脛骨無移位 Pilon 骨折，隨後遇到閉合性骨折並常規癒合
S82875E	左脛骨無移位 Pilon 骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82875F	左脛骨無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82875G	左脛骨無移位pilon骨折，隨後因閉合性骨折延遲癒合
S82875H	左脛骨無移位 Pilon 骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S82875J	左脛骨無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S82875K	左脛骨無移位pilon骨折，隨後遇到閉合性骨折不癒合
S82875M	左脛骨無移位 Pilon 骨折，隨後遇到開放性骨折 I 型或 II 型不癒合
S82875N	左脛骨無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82875P	左脛骨無移位 Pilon 骨折，隨後遇到閉合性骨折合併畸形癒合
S82875Q	左脛骨無移位 Pilon 骨折，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S82875R	左脛骨無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82875S	左脛骨無移位pilon骨折，後遺症
S82876A	未特指脛骨的無移位 Pilon 骨折，閉合性骨折的初次接觸
S82876B	未特指脛骨的無移位 Pilon 骨折，初次接觸 I 型或 II 型開放性骨折
S82876C	未特指脛骨的非移位 Pilon 骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S82876D	未特指脛骨的無移位 Pilon 骨折，隨後遇到閉合性骨折並常規癒合
S82876E	未特指脛骨的無移位 Pilon 骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82876F	未特指脛骨的無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82876G	未特指脛骨的無移位 Pilon 骨折，隨後遇到閉合性骨折延遲癒合
S82876H	未特指脛骨的無移位 Pilon 骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S82876J	未特指脛骨的無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折且癒合延遲
S82876K	未明確脛骨的非移位pilon骨折，隨後遇到閉合性骨折不癒合
S82876M	未特指脛骨的無移位 Pilon 骨折，隨後遇到 I 型或 II 型開放性骨折且不癒合
S82876N	未特指脛骨的無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82876P	未特指脛骨的無移位 Pilon 骨折，隨後因閉合性骨折合併畸形癒合
S82876Q	未特指脛骨的非移位 Pilon 骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S82876R	未特指脛骨的無移位 Pilon 骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82876S	未特指脛骨非移位pilon骨折，後遺症
S82891A	右小腿其他骨折，初次接觸閉合性骨折
S82891B	右小腿其他骨折，初次接觸開放性骨折Ⅰ型或Ⅱ型
S82891C	右小腿的其他骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S82891D	右小腿其他骨折，隨後遇到閉合性骨折並常規癒合
S82891E	右小腿的其他骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82891F	右小腿的其他骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82891G	右小腿其他骨折，隨後遇到閉合性骨折延遲癒合
S82891H	右小腿其他骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S82891J	右小腿的其他骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S82891K	右小腿的其他骨折，隨後遇到閉合性骨折不癒合
S82891M	右小腿的其他骨折，隨後遇到 I 型或 II 型開放性骨折且不癒合
S82891N	右小腿的其他骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82891P	右小腿其他骨折，隨後因閉合性骨折合併畸形癒合
S82891Q	右小腿其他骨折，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S82891R	右小腿的其他骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82891S	其他右小腿骨折、後遺症
S82892A	左小腿其他骨折，初次接觸閉合性骨折
S82892B	左小腿其他骨折，初次接觸開放性骨折Ⅰ型或Ⅱ型
S82892C	左小腿的其他骨折，初次遇到 IIIA、IIIB 或 IIIC 型開放性骨折
S82892D	左小腿其他骨折，隨後遇到閉合性骨折並常規癒合
S82892E	左小腿的其他骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82892F	左小腿的其他骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S82892G	左小腿其他骨折，隨後遇到閉合性骨折延遲癒合
S82892H	左小腿其他骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S82892J	左小腿的其他骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S82892K	左小腿的其他骨折，隨後遇到閉合性骨折不癒合
S82892M	左小腿的其他骨折，隨後遇到 I 型或 II 型開放性骨折且不癒合
S82892N	左小腿的其他骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82892P	左小腿其他骨折，隨後因閉合性骨折合併畸形癒合
S82892Q	左小腿其他骨折，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S82892R	左小腿的其他骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82892S	左小腿其他骨折，後遺症
S82899A	其他未特指的小腿骨折，初次接觸閉合性骨折
S82899B	其他未指明的小腿骨折，初次接觸開放性骨折 I 型或 II 型
S82899C	其他未指明的小腿骨折，初次接觸開放性骨折類型 IIIA、IIIB 或 IIIC
S82899D	其他未指明的小腿骨折，隨後遇到閉合性骨折並常規癒合
S82899E	其他未指明的小腿骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S82899F	其他未特指的小腿骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S82899G	其他未指明的小腿骨折，隨後遇到閉合性骨折延遲癒合
S82899H	其他未指明的小腿骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S82899J	其他未明確的小腿骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S82899K	其他未指明的小腿骨折，隨後因閉合性骨折不癒合而發生
S82899M	其他未指明的小腿骨折，隨後遇到 I 型或 II 型開放性骨折且不癒合
S82899N	其他未指明的小腿骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S82899P	其他不明小腿骨折，隨後因閉合性骨折合併畸形癒合
S82899Q	其他未指明的小腿骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S82899R	其他未指明的小腿骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S82899S	其他不明小腿骨折、後遺症
S8290XA	未指明的小腿未指明的骨折，閉合性骨折的初次遭遇
S8290XB	未指定的小腿未指定骨折，初次接觸 I 型或 II 型開放性骨折
S8290XC	未指定的小腿未指定骨折，初次遇到 IIIA、IIIB 或 IIIC 型開放性骨折
S8290XD	未指明的小腿骨折，隨後遇到閉合性骨折並常規癒合
S8290XE	未指定小腿未指定骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S8290XF	未指明的小腿骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S8290XG	不明原因的小腿骨折，隨後出現閉合性骨折延遲癒合
S8290XH	未指明的小腿骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S8290XJ	不明原因的小腿骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S8290XK	未指定的小腿未指定骨折，隨後遇到閉合性骨折伴骨不連
S8290XM	未指定的小腿未指定骨折，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S8290XN	未指定的小腿未指定骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S8290XP	不明小腿骨折，隨後因閉合性骨折合併畸形癒合
S8290XQ	未指明的小腿骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S8290XR	未指明的小腿骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S8290XS	不明小腿骨折，後遺症
S8291XA	右小腿未明確骨折，初次接觸閉合性骨折
S8291XB	未明確的右小腿骨折，初次接觸開放性骨折 I 型或 II 型
S8291XC	未特指的右小腿骨折，初次接觸開放性骨折類型 IIIA、IIIB 或 IIIC
S8291XD	右小腿未明確骨折，隨後遇到閉合性骨折並常規癒合
S8291XE	未明確的右小腿骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S8291XF	未明確的右小腿骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S8291XG	右小腿未明確骨折，隨後因閉合性骨折延遲癒合
S8291XH	未明確的右小腿骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S8291XJ	未明確的右小腿骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S8291XK	右小腿未明確骨折，隨後因閉合性骨折不癒合而發生
S8291XM	未明確的右小腿骨折，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S8291XN	未明確的右小腿骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S8291XP	右小腿未明確骨折，隨後因閉合性骨折合併畸形癒合
S8291XQ	未明確的右小腿骨折，隨後遇到 I 型或 II 型開放性骨折伴畸形癒合
S8291XR	未明確的右小腿骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S8291XS	未明確的右小腿骨折，後遺症
S8292XA	左小腿未明確骨折，初次接觸閉合性骨折
S8292XB	左小腿未明確骨折，初次接觸開放性骨折Ⅰ型或Ⅱ型
S8292XC	未明確的左小腿骨折，初次接觸開放性骨折類型 IIIA、IIIB 或 IIIC
S8292XD	左小腿未明確骨折，隨後遇到閉合性骨折並常規癒合
S8292XE	未指明的左小腿骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S8292XF	左小腿未明確骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S8292XG	左小腿未明確骨折，隨後因閉合性骨折延遲癒合
S8292XH	未明確的左小腿骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S8292XJ	未明確的左小腿骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S8292XK	未指明的左小腿骨折，隨後遇到閉合性骨折伴骨不連
S8292XM	未明確的左小腿骨折，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S8292XN	未明確的左小腿骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S8292XP	左小腿未明確骨折，隨後因閉合性骨折合併畸形癒合
S8292XQ	未明確的左小腿骨折，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S8292XR	未明確的左小腿骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S8292XS	左小腿不明骨折，後遺症
S83001A	未明確的右髕骨半脫位，初次接觸
S83001D	未明確的右髕骨半脫位，隨後遇到
S83001S	未明確的右髕骨半脫位，後遺症
S83002A	未明確的左髕骨半脫位，初次接觸
S83002D	未明確的左髕骨半脫位，隨後遇到
S83002S	未明確的左側髕骨半脫位，後遺症
S83003A	不明原因髕骨半脫位，初次接觸
S83003D	未明確的髕骨半脫位，隨後遇到
S83003S	不明原因髕骨半脫位、後遺症
S83004A	未明確的右髕骨脫位，初次接觸
S83004D	未明確的右髕骨脫位，隨後遇到
S83004S	未明確的右髕骨脫位，後遺症
S83005A	未明確的左髕骨脫位，初次接觸
S83005D	左髕骨未明確脫位，隨後遇到
S83005S	未明確的左髕骨脫位，後遺症
S83006A	不明原因髕骨脫位，初次接觸
S83006D	未明確的髕骨脫位，隨後遇到
S83006S	不明原因髕骨脫位、後遺症
S83011A	右側髕骨外側半脫位，初次相遇
S83011D	右側髕骨外側半脫位，隨後遇到
S83011S	右側髕骨外側半脫位，後遺症
S83012A	左髕骨外側半脫位，初次相遇
S83012D	左髕骨外側半脫位，隨後遇到
S83012S	左髕骨外側半脫位，後遺症
S83013A	未特指的髕骨外側半脫位，初次相遇
S83013D	未特指的髕骨外側半脫位，隨後遇到
S83013S	未特指的髕骨外側半脫位，後遺症
S83014A	右髕骨外側脫位，初次相遇
S83014D	右髕骨外側脫位，隨後遇到
S83014S	右髕骨外側脫位，後遺症
S83015A	左髕骨外側脫位，初次相遇
S83015D	左髕骨外側脫位，隨後遇到
S83015S	左髕骨外側脫位，後遺症
S83016A	未特指的髕骨外側脫位，初次接觸
S83016D	未特指的髕骨外側脫位，隨後遇到
S83016S	未特指的髕骨外側脫位、後遺症
S83091A	其他右髕骨半脫位，初次接觸
S83091D	右髕骨的其他半脫位，隨後遇到
S83091S	其他右髕骨半脫位、後遺症
S83092A	左髕骨的其他半脫位，初次接觸
S83092D	左髕骨的其他半脫位，隨後遇到
S83092S	其他左髕骨半脫位、後遺症
S83093A	其他未特指的髕骨半脫位，初次接觸
S83093D	其他未特指的髕骨半脫位，隨後遇到
S83093S	其他未特指的髕骨半脫位、後遺症
S83094A	其他右髕骨脫位，初次接觸
S83094D	其他右髕骨脫位，隨後遇到
S83094S	其他右髕骨脫位、後遺症
S83095A	左髕骨其他脫位，初次接觸
S83095D	左髕骨的其他脫位，隨後遇到
S83095S	其他左髕骨脫位、後遺症
S83096A	其他未特指的髕骨脫位，初次接觸
S83096D	其他未特指的髕骨脫位，隨後遇到
S83096S	其他未特指的髕骨脫位、後遺症
S83101A	未明確的右膝半脫位，初次相遇
S83101D	未明確的右膝半脫位，隨後遇到
S83101S	未明確的右膝半脫位，後遺症
S83102A	未明確的左膝半脫位，初次相遇
S83102D	未明確的左膝半脫位，隨後遇到
S83102S	未明確的左膝半脫位，後遺症
S83103A	未特指膝關節未特指半脫位，初次相遇
S83103D	未指定膝關節的未指定半脫位，隨後遇到
S83103S	未特指膝關節半脫位、後遺症
S83104A	未明確的右膝脫位，初次接觸
S83104D	未明確的右膝脫位，隨後遇到
S83104S	未明確的右膝脫位，後遺症
S83105A	未明確的左膝脫位，初次接觸
S83105D	左膝未明確脫位，隨後遭遇
S83105S	未明確的左膝脫位，後遺症
S83106A	未指定膝關節未指定脫位，初次接觸
S83106D	未指定膝關節未指定脫位，隨後遇到
