V00	Pedestrian conveyance accident
 V843	Unspecified occupant of special agricultural vehicle injured in traffic accident
	特殊農業用車輛乘員在交通意外事故中受傷
    V843xxA	Unspecified occupant of special agricultural vehicle injured in traffic accident, initial encounter
	特殊農業用車輛乘員在交通意外事故中受傷之初期照護
    V843xxD	Unspecified occupant of special agricultural vehicle injured in traffic accident, subsequent encounter
	特殊農業用車輛乘員在交通意外事故中受傷之後續照護
    V843xxS	Unspecified occupant of special agricultural vehicle injured in traffic accident, sequela
	特殊農業用車輛乘員在交通意外事故中受傷之後遺症
 V844	Person injured while boarding or alighting from special agricultural vehicle
	上、下特殊農業用車輛時受傷人員
    V844xxA	Person injured while boarding or alighting from special agricultural vehicle, initial encounter
	上、下特殊農業用車輛時受傷人員之初期照護
    V844xxD	Person injured while boarding or alighting from special agricultural vehicle, subsequent encounter
	上、下特殊農業用車輛時受傷人員之後續照護
    V844xxS	Person injured while boarding or alighting from special agricultural vehicle, sequela
	上、下特殊農業用車輛時受傷人員之後遺症
 V845	Driver of special agricultural vehicle injured in nontraffic accident
	特殊農業用車輛駕駛員在非交通意外事故中受傷
    V845xxA	Driver of special agricultural vehicle injured in nontraffic accident, initial encounter
	特殊農業用車輛駕駛員在非交通意外事故中受傷之初期照護
    V845xxD	Driver of special agricultural vehicle injured in nontraffic accident, subsequent encounter
	特殊農業用車輛駕駛員在非交通意外事故中受傷之後續照護
    V845xxS	Driver of special agricultural vehicle injured in nontraffic accident, sequela
	特殊農業用車輛駕駛員在非交通意外事故中受傷之後遺症
 V846	Passenger of special agricultural vehicle injured in nontraffic accident
	特殊農業用車輛乘客在非交通意外事故中受傷
    V846xxA	Passenger of special agricultural vehicle injured in nontraffic accident, initial encounter
	特殊農業用車輛乘客在非交通意外事故中受傷之初期照護
    V846xxD	Passenger of special agricultural vehicle injured in nontraffic accident, subsequent encounter
	特殊農業用車輛乘客在非交通意外事故中受傷之後續照護
    V846xxS	Passenger of special agricultural vehicle injured in nontraffic accident, sequela
	特殊農業用車輛乘客在非交通意外事故中受傷之後遺症
 V847	Person on outside of special agricultural vehicle injured in nontraffic accident
	特殊農業用車輛車外人員在非交通意外事故中受傷
    V847xxA	Person on outside of special agricultural vehicle injured in nontraffic accident, initial encounter
	特殊農業用車輛車外人員在非交通意外事故中受傷之初期照護
    V847xxD	Person on outside of special agricultural vehicle injured in nontraffic accident, subsequent encounter
	特殊農業用車輛車外人員在非交通意外事故中受傷之後續照護
    V847xxS	Person on outside of special agricultural vehicle injured in nontraffic accident, sequela
	特殊農業用車輛車外人員在非交通意外事故中受傷之後遺症
 V849	Unspecified occupant of special agricultural vehicle injured in nontraffic accident
	特殊農業用車輛乘員在非交通意外事故中受傷
    V849xxA	Unspecified occupant of special agricultural vehicle injured in nontraffic accident, initial encounter
	特殊農業用車輛乘員在非交通意外事故中受傷之初期照護
    V849xxD	Unspecified occupant of special agricultural vehicle injured in nontraffic accident, subsequent encounter
	特殊農業用車輛乘員在非交通意外事故中受傷之後續照護
    V849xxS	Unspecified occupant of special agricultural vehicle injured in nontraffic accident, sequela
	特殊農業用車輛乘員在非交通意外事故中受傷之後遺症
V85	Occupant of special construction vehicle injured in transport accident
	特殊工程車輛乘員在交通意外事故中受傷
 V850	Driver of special construction vehicle injured in traffic accident
	特殊工程車輛駕駛員在交通意外事故中受傷
    V850xxA	Driver of special construction vehicle injured in traffic accident, initial encounter
	特殊工程車輛駕駛員在交通意外事故中受傷之初期照護
    V850xxD	Driver of special construction vehicle injured in traffic accident, subsequent encounter
	特殊工程車輛駕駛員在交通意外事故中受傷之後續照護
    V850xxS	Driver of special construction vehicle injured in traffic accident, sequela
	特殊工程車輛駕駛員在交通意外事故中受傷之後遺症
 V851	Passenger of special construction vehicle injured in traffic accident
	特殊工程車輛乘客在交通意外事故中受傷
    V851xxA	Passenger of special construction vehicle injured in traffic accident, initial encounter
	特殊工程車輛乘客在交通意外事故中受傷之初期照護
    V851xxD	Passenger of special construction vehicle injured in traffic accident, subsequent encounter
	特殊工程車輛乘客在交通意外事故中受傷之後續照護
    V851xxS	Passenger of special construction vehicle injured in traffic accident, sequela
	特殊工程車輛乘客在交通意外事故中受傷之後遺症
 V852	Person on outside of special construction vehicle injured in traffic accident
	特殊工程車輛外人員在交通意外事故中受傷
    V852xxA	Person on outside of special construction vehicle injured in traffic accident, initial encounter
	特殊工程車輛外人員在交通意外事故中受傷之初期照護
    V852xxD	Person on outside of special construction vehicle injured in traffic accident, subsequent encounter
	特殊工程車輛外人員在交通意外事故中受傷之後續照護
    V852xxS	Person on outside of special construction vehicle injured in traffic accident, sequela
	特殊工程車輛外人員在交通意外事故中受傷之後遺症
 V853	Unspecified occupant of special construction vehicle injured in traffic accident
	特殊工程車輛乘員在交通意外事故中受傷
    V853xxA	Unspecified occupant of special construction vehicle injured in traffic accident, initial encounter
	特殊工程車輛乘員在交通意外事故中受傷之初期照護
    V853xxD	Unspecified occupant of special construction vehicle injured in traffic accident, subsequent encounter
	特殊工程車輛乘員在交通意外事故中受傷之後續照護
    V853xxS	Unspecified occupant of special construction vehicle injured in traffic accident, sequela
	特殊工程車輛乘員在交通意外事故中受傷之後遺症
 V854	Person injured while boarding or alighting from special construction vehicle
	特殊工程車輛上、下車時受傷人員
    V854xxA	Person injured while boarding or alighting from special construction vehicle, initial encounter
	特殊工程車輛上、下車時受傷人員之初期照護
    V854xxD	Person injured while boarding or alighting from special construction vehicle, subsequent encounter
	特殊工程車輛上、下車時受傷人員之後續照護
    V854xxS	Person injured while boarding or alighting from special construction vehicle, sequela
	特殊工程車輛上、下車時受傷人員之後遺症
 V855	Driver of special construction vehicle injured in nontraffic accident
	特殊工程車輛駕駛員在非交通意外事故中受傷
    V855xxA	Driver of special construction vehicle injured in nontraffic accident, initial encounter
	特殊工程車輛駕駛員在非交通意外事故中受傷之初期照護
    V855xxD	Driver of special construction vehicle injured in nontraffic accident, subsequent encounter
	特殊工程車輛駕駛員在非交通意外事故中受傷之後續照護
    V855xxS	Driver of special construction vehicle injured in nontraffic accident, sequela
	特殊工程車輛駕駛員在非交通意外事故中受傷之後遺症
 V856	Passenger of special construction vehicle injured in nontraffic accident
	特殊工程車輛乘客在非交通意外事故中受傷
    V856xxA	Passenger of special construction vehicle injured in nontraffic accident, initial encounter
	特殊工程車輛乘客在非交通意外事故中受傷之初期照護
    V856xxD	Passenger of special construction vehicle injured in nontraffic accident, subsequent encounter
	特殊工程車輛乘客在非交通意外事故中受傷之後續照護
    V856xxS	Passenger of special construction vehicle injured in nontraffic accident, sequela
	特殊工程車輛乘客在非交通意外事故中受傷之後遺症
 V857	Person on outside of special construction vehicle injured in nontraffic accident
	特殊工程車輛外人員在非交通意外事故中受傷
    V857xxA	Person on outside of special construction vehicle injured in nontraffic accident, initial encounter
	特殊工程車輛外人員在非交通意外事故中受傷之初期照護
    V857xxD	Person on outside of special construction vehicle injured in nontraffic accident, subsequent encounter
	特殊工程車輛外人員在非交通意外事故中受傷之後續照護
    V857xxS	Person on outside of special construction vehicle injured in nontraffic accident, sequela
	特殊工程車輛外人員在非交通意外事故中受傷之後遺症
 V859	Unspecified occupant of special construction vehicle injured in nontraffic accident
	特殊工程車輛乘員在非交通意外事故中受傷
    V859xxA	Unspecified occupant of special construction vehicle injured in nontraffic accident, initial encounter
	特殊工程車輛乘員在非交通意外事故中受傷之初期照護
    V859xxD	Unspecified occupant of special construction vehicle injured in nontraffic accident, subsequent encounter
	特殊工程車輛乘員在非交通意外事故中受傷之後續照護
    V859xxS	Unspecified occupant of special construction vehicle injured in nontraffic accident, sequela
	特殊工程車輛乘員在非交通意外事故中受傷之後遺症
V86	Occupant of special all-terrain or other motor vehicle, injured in transport accident
	特殊全地形適用或其他主要為非公路用機動車輛乘員在運輸意外事故中受傷
 V860	Driver of special all-terrain or other motor vehicle injured in traffic accident
	特殊全地形適用車輛或其他非公路用機動車輛駕駛員在交通意外事故中受傷
  V8601	Driver of ambulance or fire engine injured in traffic accident
	救護車或消防車輛駕駛員在交通意外事故中受傷
    V8601xA	Driver of ambulance or fire engine injured in traffic accident, initial encounter
	救護車或消防車輛駕駛員在交通意外事故中受傷之初期照護
    V8601xD	Driver of ambulance or fire engine injured in traffic accident, subsequent encounter
	救護車或消防車輛駕駛員在交通意外事故中受傷之後續照護
    V8601xS	Driver of ambulance or fire engine injured in traffic accident, sequela
	救護車或消防車輛駕駛員在交通意外事故中受傷之後遺症
  V8602	Driver of snowmobile injured in traffic accident
	雪地車駕駛員在交通意外事故中受傷
    V8602xA	Driver of snowmobile injured in traffic accident, initial encounter
	雪地車駕駛員在交通意外事故中受傷之初期照護
    V8602xD	Driver of snowmobile injured in traffic accident, subsequent encounter
	雪地車駕駛員在交通意外事故中受傷之後續照護
    V8602xS	Driver of snowmobile injured in traffic accident, sequela
	雪地車駕駛員在交通意外事故中受傷之後遺症
  V8603	Driver of dune buggy injured in traffic accident
	沙灘車駕駛員在交通意外事故中受傷
    V8603xA	Driver of dune buggy injured in traffic accident, initial encounter
	沙灘車駕駛員在交通意外事故中受傷之初期照護
    V8603xD	Driver of dune buggy injured in traffic accident, subsequent encounter
	沙灘車駕駛員在交通意外事故中受傷之後續照護
    V8603xS	Driver of dune buggy injured in traffic accident, sequela
	沙灘車駕駛員在交通意外事故中受傷之後遺症
  V8604	Driver of military vehicle injured in traffic accident
	軍用車輛駕駛員在交通意外事故中受傷
    V8604xA	Driver of military vehicle injured in traffic accident, initial encounter
	軍用車輛駕駛員在交通意外事故中受傷之初期照護
    V8604xD	Driver of military vehicle injured in traffic accident, subsequent encounter
	軍用車輛駕駛員在交通意外事故中受傷之後續照護
    V8604xS	Driver of military vehicle injured in traffic accident, sequela
	軍用車輛駕駛員在交通意外事故中受傷之後遺症
  V8609	Driver of other special all-terrain or other vehicle injured in traffic accident
	其他特殊全地形適用車輛或其他車輛駕駛員在交通意外事故中受傷
    V8609xA	Driver of other special all-terrain or other vehicle injured in traffic accident, initial encounter
	其他特殊全地形適用車輛或其他車輛駕駛員在交通意外事故中受傷之初期照護
    V8609xD	Driver of other special all-terrain or other vehicle injured in traffic accident, subsequent encounter
	其他特殊全地形適用車輛或其他車輛駕駛員在交通意外事故中受傷之後續照護
    V8609xS	Driver of other special all-terrain or other vehicle injured in traffic accident, sequela
	其他特殊全地形適用車輛或其他車輛駕駛員在交通意外事故中受傷之後遺症
 V861	Passenger of special all-terrain or other motor vehicle injured in traffic accident
	特殊全地形適用車輛或其他非公路用機動車輛乘客在交通意外事故中受傷
  V8611	Passenger of ambulance or fire engine injured in traffic accident
	救護車或消防車輛乘客在交通意外事故中受傷
    V8611xA	Passenger of ambulance or fire engine injured in traffic accident, initial encounter
	救護車或消防車輛乘客在交通意外事故中受傷之初期照護
    V8611xD	Passenger of ambulance or fire engine injured in traffic accident, subsequent encounter
	救護車或消防車輛乘客在交通意外事故中受傷之後續照護
    V8611xS	Passenger of ambulance or fire engine injured in traffic accident, sequela
	救護車或消防車輛乘客在交通意外事故中受傷之後遺症
  V8612	Passenger of snowmobile injured in traffic accident
	雪地車乘客在交通意外事故中受傷
    V8612xA	Passenger of snowmobile injured in traffic accident, initial encounter
	雪地車乘客在交通意外事故中受傷之初期照護
    V8612xD	Passenger of snowmobile injured in traffic accident, subsequent encounter
	雪地車乘客在交通意外事故中受傷之後續照護
    V8612xS	Passenger of snowmobile injured in traffic accident, sequela
	雪地車乘客在交通意外事故中受傷之後遺症
  V8613	Passenger of dune buggy injured in traffic accident
	沙灘車乘客在交通意外事故中受傷
    V8613xA	Passenger of dune buggy injured in traffic accident, initial encounter
	沙灘車乘客在交通意外事故中受傷之初期照護
    V8613xD	Passenger of dune buggy injured in traffic accident, subsequent encounter
	沙灘車乘客在交通意外事故中受傷之後續照護
    V8613xS	Passenger of dune buggy injured in traffic accident, sequela
	沙灘車乘客在交通意外事故中受傷之後遺症
  V8614	Passenger of military vehicle injured in traffic accident
	軍用車輛乘客在交通意外事故中受傷
    V8614xA	Passenger of military vehicle injured in traffic accident, initial encounter
	軍用車輛乘客在交通意外事故中受傷之初期照護
    V8614xD	Passenger of military vehicle injured in traffic accident, subsequent encounter
	軍用車輛乘客在交通意外事故中受傷之後續照護
    V8614xS	Passenger of military vehicle injured in traffic accident, sequela
	軍用車輛乘客在交通意外事故中受傷之後遺症
  V8619	Passenger of other special all-terrain or other off-road motor vehicle injured in traffic accident
	其他特殊全地形適用車輛或其他非公路用機動車輛乘客在交通意外事故中受傷
    V8619xA	Passenger of other special all-terrain or other off-road motor vehicle injured in traffic accident, initial encounter
	其他特殊全地形適用車輛或其他非公路用機動車輛乘客在交通意外事故中受傷之初期照護
    V8619xD	Passenger of other special all-terrain or other off-road motor vehicle injured in traffic accident, subsequent encounter
	其他特殊全地形適用車輛或其他非公路用機動車輛乘客在交通意外事故中受傷之後續照護
    V8619xS	Passenger of other special all-terrain or other off-road motor vehicle injured in traffic accident, sequela
	其他特殊全地形適用車輛或其他非公路用機動車輛乘客在交通意外事故中受傷之後遺症
 V862	Person on outside of special all-terrain or other motor vehicle injured in traffic accident
	特殊全地形適用車輛或其他非公路用機動車輛外部乘員在交通意外事故中受傷
  V8621	Person on outside of ambulance or fire engine injured in traffic accident
	救護車或消防車輛外人員在交通意外事故中受傷
    V8621xA	Person on outside of ambulance or fire engine injured in traffic accident, initial encounter
	救護車或消防車輛外人員在交通意外事故中受傷之初期照護
    V8621xD	Person on outside of ambulance or fire engine injured in traffic accident, subsequent encounter
	救護車或消防車輛外人員在交通意外事故中受傷之後續照護
    V8621xS	Person on outside of ambulance or fire engine injured in traffic accident, sequela
	救護車或消防車輛外人員在交通意外事故中受傷之後遺症
  V8622	Person on outside of snowmobile injured in traffic accident
	雪地車外人員在交通意外事故中受傷
    V8622xA	Person on outside of snowmobile injured in traffic accident, initial encounter
	雪地車外人員在交通意外事故中受傷之初期照護
    V8622xD	Person on outside of snowmobile injured in traffic accident, subsequent encounter
	雪地車外人員在交通意外事故中受傷之後續照護
    V8622xS	Person on outside of snowmobile injured in traffic accident, sequela
	雪地車外人員在交通意外事故中受傷之後遺症
  V8623	Person on outside of dune buggy injured in traffic accident
	沙灘車外人員在交通意外事故中受傷
    V8623xA	Person on outside of dune buggy injured in traffic accident, initial encounter
	沙灘車外人員在交通意外事故中受傷之初期照護
    V8623xD	Person on outside of dune buggy injured in traffic accident, subsequent encounter
	沙灘車外人員在交通意外事故中受傷之後續照護
    V8623xS	Person on outside of dune buggy injured in traffic accident, sequela
	沙灘車外人員在交通意外事故中受傷之後遺症
  V8624	Person on outside of military vehicle injured in traffic accident
	軍用車輛外人員在交通意外事故中受傷
    V8624xA	Person on outside of military vehicle injured in traffic accident, initial encounter
	軍用車輛外人員在交通意外事故中受傷之初期照護
    V8624xD	Person on outside of military vehicle injured in traffic accident, subsequent encounter
	軍用車輛外人員在交通意外事故中受傷之後續照護
    V8624xS	Person on outside of military vehicle injured in traffic accident, sequela
	軍用車輛外人員在交通意外事故中受傷之後遺症
  V8629	Person on outside of other special all-terrain or other motor vehicle injured in traffic accident
	其他特殊全地形適用車輛或其他機動車輛外人員在交通意外事故中受傷
    V8629xA	Person on outside of other special all-terrain or other motor vehicle injured in traffic accident, initial encounter
	其他特殊全地形適用車輛或其他機動車輛外人員在交通意外事故中受傷之初期照護
    V8629xD	Person on outside of other special all-terrain or other motor vehicle injured in traffic accident, subsequent encounter
	其他特殊全地形適用車輛或其他機動車輛外人員在交通意外事故中受傷之後續照護
    V8629xS	Person on outside of other special all-terrain or other motor vehicle injured in traffic accident, sequela
	其他特殊全地形適用車輛或其他機動車輛外人員在交通意外事故中受傷之後遺症
 V863	Unspecified occupant of special all-terrain or other motor vehicle injured in traffic accident
	特殊全地形適用車輛或其他非公路用機動車輛乘員在交通意外事故中受傷
  V8631	Unspecified occupant of ambulance or fire engine injured in traffic accident
	救護車或消防車輛乘員在交通意外事故中受傷
    V8631xA	Unspecified occupant of ambulance or fire engine injured in traffic accident, initial encounter
	救護車或消防車輛乘員在交通意外事故中受傷之初期照護
    V8631xD	Unspecified occupant of ambulance or fire engine injured in traffic accident, subsequent encounter
	救護車或消防車輛乘員在交通意外事故中受傷之後續照護
    V8631xS	Unspecified occupant of ambulance or fire engine injured in traffic accident, sequela
	救護車或消防車輛乘員在交通意外事故中受傷之後遺症
  V8632	Unspecified occupant of snowmobile injured in traffic accident
	雪地車乘員在交通意外事故中受傷
    V8632xA	Unspecified occupant of snowmobile injured in traffic accident, initial encounter
	雪地車乘員在交通意外事故中受傷之初期照護
    V8632xD	Unspecified occupant of snowmobile injured in traffic accident, subsequent encounter
	雪地車乘員在交通意外事故中受傷之後續照護
    V8632xS	Unspecified occupant of snowmobile injured in traffic accident, sequela
	雪地車乘員在交通意外事故中受傷之後遺症
  V8633	Unspecified occupant of dune buggy injured in traffic accident
	沙灘車乘員在交通意外事故中受傷
    V8633xA	Unspecified occupant of dune buggy injured in traffic accident, initial encounter
	沙灘車乘員在交通意外事故中受傷之初期照護
    V8633xD	Unspecified occupant of dune buggy injured in traffic accident, subsequent encounter
	沙灘車乘員在交通意外事故中受傷之後續照護
    V8633xS	Unspecified occupant of dune buggy injured in traffic accident, sequela
	沙灘車乘員在交通意外事故中受傷之後遺症
  V8634	Unspecified occupant of military vehicle injured in traffic accident
	軍用車輛乘員在交通意外事故中受傷
    V8634xA	Unspecified occupant of military vehicle injured in traffic accident, initial encounter
	軍用車輛乘員在交通意外事故中受傷之初期照護
    V8634xD	Unspecified occupant of military vehicle injured in traffic accident, subsequent encounter
	軍用車輛乘員在交通意外事故中受傷之後續照護
    V8634xS	Unspecified occupant of military vehicle injured in traffic accident, sequela
	軍用車輛乘員在交通意外事故中受傷之後遺症
  V8639	Unspecified occupant of other all-terrain or other motor vehicle injured in traffic accident
	其他特殊全地形適用車輛或其他機動車輛乘員在交通意外事故中受傷
    V8639xA	Unspecified occupant of other all-terrain or other motor vehicle injured in traffic accident, initial encounter
	其他特殊全地形適用車輛或其他機動車輛乘員在交通意外事故中受傷之初期照護
    V8639xD	Unspecified occupant of other all-terrain or other motor vehicle injured in traffic accident, subsequent encounter
	其他特殊全地形適用車輛或其他機動車輛乘員在交通意外事故中受傷之後續照護
    V8639xS	Unspecified occupant of other all-terrain or other motor vehicle injured in traffic accident, sequela
	其他特殊全地形適用車輛或其他機動車輛乘員在交通意外事故中受傷之後遺症
 V864	Person injured while boarding or alighting from special all-terrain or other motor vehicle
	特殊全地形適用車輛或其他非公路用機動車輛上、下時受傷者
  V8641	Person injured while boarding or alighting from ambulance or fire engine
	上、下救護車或消防車輛時受傷人員
    V8641xA	Person injured while boarding or alighting from ambulance or fire engine, initial encounter
	上、下救護車或消防車輛時受傷人員之初期照護
    V8641xD	Person injured while boarding or alighting from ambulance or fire engine, subsequent encounter
	上、下救護車或消防車輛時受傷人員之後續照護
    V8641xS	Person injured while boarding or alighting from ambulance or fire engine, sequela
	上、下救護車或消防車輛時受傷人員之後遺症
  V8642	Person injured while boarding or alighting from snowmobile
	上、下雪地車時受傷人員
    V8642xA	Person injured while boarding or alighting from snowmobile, initial encounter
	上、下雪地車時受傷人員之初期照護
    V8642xD	Person injured while boarding or alighting from snowmobile, subsequent encounter
	上、下雪地車時受傷人員之後續照護
    V8642xS	Person injured while boarding or alighting from snowmobile, sequela
	上、下雪地車時受傷人員之後遺症
  V8643	Person injured while boarding or alighting from dune buggy
	上、下沙灘車時受傷人員
    V8643xA	Person injured while boarding or alighting from dune buggy, initial encounter
	上、下沙灘車時受傷人員之初期照護
    V8643xD	Person injured while boarding or alighting from dune buggy, subsequent encounter
	上、下沙灘車時受傷人員之後續照護
    V8643xS	Person injured while boarding or alighting from dune buggy, sequela
	上、下沙灘車時受傷人員之後遺症
  V8644	Person injured while boarding or alighting from military vehicle
	上、下軍用車輛時受傷人員
    V8644xA	Person injured while boarding or alighting from military vehicle, initial encounter
	上、下軍用車輛時受傷人員之初期照護
    V8644xD	Person injured while boarding or alighting from military vehicle, subsequent encounter
	上、下軍用車輛時受傷人員之後續照護
    V8644xS	Person injured while boarding or alighting from military vehicle, sequela
	上、下軍用車輛時受傷人員之後遺症
  V8649	Person injured while boarding or alighting from other special all-terrain or other motor vehicle
	其他特殊全地形適用車輛或其他非機動車輛上、下時受傷人員
    V8649xA	Person injured while boarding or alighting from other special all-terrain or other motor vehicle, initial encounter
	其他特殊全地形適用車輛或其他非機動車輛上、下時受傷人員之初期照護
    V8649xD	Person injured while boarding or alighting from other special all-terrain or other motor vehicle, subsequent encounter
	其他特殊全地形適用車輛或其他非機動車輛上、下時受傷人員之後續照護
    V8649xS	Person injured while boarding or alighting from other special all-terrain or other motor vehicle, sequela
	其他特殊全地形適用車輛或其他非機動車輛上、下時受傷人員之後遺症
 V865	Driver of special all-terrain or other motor vehicle injured in nontraffic accident
	特殊全地形適用車輛或其他非公路用機動車輛駕駛員在非交通意外事故中受傷
  V8651	Driver of ambulance or fire engine injured in nontraffic accident
	救護車或消防車輛駕駛員在非交通意外事故中受傷
    V8651xA	Driver of ambulance or fire engine injured in nontraffic accident, initial encounter
	救護車或消防車輛駕駛員在非交通意外事故中受傷之初期照護
    V8651xD	Driver of ambulance or fire engine injured in nontraffic accident, subsequent encounter
	救護車或消防車輛駕駛員在非交通意外事故中受傷之後續照護
    V8651xS	Driver of ambulance or fire engine injured in nontraffic accident, sequela
	救護車或消防車輛駕駛員在非交通意外事故中受傷之後遺症
  V8652	Driver of snowmobile injured in nontraffic accident
	雪地車駕駛員在非交通意外事故中受傷
    V8652xA	Driver of snowmobile injured in nontraffic accident, initial encounter
	雪地車駕駛員在非交通意外事故中受傷之初期照護
    V8652xD	Driver of snowmobile injured in nontraffic accident, subsequent encounter
	雪地車駕駛員在非交通意外事故中受傷之後續照護
    V8652xS	Driver of snowmobile injured in nontraffic accident, sequela
	雪地車駕駛員在非交通意外事故中受傷之後遺症
  V8653	Driver of dune buggy injured in nontraffic accident
	沙灘車駕駛員在非交通意外事故中受傷
    V8653xA	Driver of dune buggy injured in nontraffic accident, initial encounter
	沙灘車駕駛員在非交通意外事故中受傷之初期照護
    V8653xD	Driver of dune buggy injured in nontraffic accident, subsequent encounter
	沙灘車駕駛員在非交通意外事故中受傷之後續照護
    V8653xS	Driver of dune buggy injured in nontraffic accident, sequela
	沙灘車駕駛員在非交通意外事故中受傷之後遺症
  V8654	Driver of military vehicle injured in nontraffic accident
	軍用車輛駕駛員在非交通意外事故中受傷
    V8654xA	Driver of military vehicle injured in nontraffic accident, initial encounter
	軍用車輛駕駛員在非交通意外事故中受傷之初期照護
    V8654xD	Driver of military vehicle injured in nontraffic accident, subsequent encounter
	軍用車輛駕駛員在非交通意外事故中受傷之後續照護
    V8654xS	Driver of military vehicle injured in nontraffic accident, sequela
	軍用車輛駕駛員在非交通意外事故中受傷之後遺症
  V8659	Driver of other special all-terrain or other motor vehicle injured in nontraffic accident
	其他特殊全地形適用車輛或其他機動車輛駕駛員在非交通意外事故中受傷
    V8659xA	Driver of other special all-terrain or other motor vehicle injured in nontraffic accident, initial encounter
	其他特殊全地形適用車輛或其他機動車輛駕駛員在非交通意外事故中受傷之初期照護
    V8659xD	Driver of other special all-terrain or other motor vehicle injured in nontraffic accident, subsequent encounter
	其他特殊全地形適用車輛或其他機動車輛駕駛員在非交通意外事故中受傷之後續照護
    V8659xS	Driver of other special all-terrain or other motor vehicle injured in nontraffic accident, sequela
	其他特殊全地形適用車輛或其他機動車輛駕駛員在非交通意外事故中受傷之後遺症
 V866	Passenger of special all-terrain or other motor vehicle injured in nontraffic accident
	特殊全地形適用車輛或其他非公路用機動車輛乘客在非交通意外事故中受傷
  V8661	Passenger of ambulance or fire engine injured in nontraffic accident
	救護車或消防車輛乘客在非交通意外事故中受傷
    V8661xA	Passenger of ambulance or fire engine injured in nontraffic accident, initial encounter
	救護車或消防車輛乘客在非交通意外事故中受傷之初期照護
    V8661xD	Passenger of ambulance or fire engine injured in nontraffic accident, subsequent encounter
	救護車或消防車輛乘客在非交通意外事故中受傷之後續照護
    V8661xS	Passenger of ambulance or fire engine injured in nontraffic accident, sequela
	救護車或消防車輛乘客在非交通意外事故中受傷之後遺症
  V8662	Passenger of snowmobile injured in nontraffic accident
	雪地車乘客在非交通意外事故中受傷
    V8662xA	Passenger of snowmobile injured in nontraffic accident, initial encounter
	雪地車乘客在非交通意外事故中受傷之初期照護
    V8662xD	Passenger of snowmobile injured in nontraffic accident, subsequent encounter
	雪地車乘客在非交通意外事故中受傷之後續照護
    V8662xS	Passenger of snowmobile injured in nontraffic accident, sequela
	雪地車乘客在非交通意外事故中受傷之後遺症
  V8663	Passenger of dune buggy injured in nontraffic accident
	沙灘車乘客在非交通意外事故中受傷
    V8663xA	Passenger of dune buggy injured in nontraffic accident, initial encounter
	沙灘車乘客在非交通意外事故中受傷之初期照護
    V8663xD	Passenger of dune buggy injured in nontraffic accident, subsequent encounter
	沙灘車乘客在非交通意外事故中受傷之後續照護
    V8663xS	Passenger of dune buggy injured in nontraffic accident, sequela
	沙灘車乘客在非交通意外事故中受傷之後遺症
  V8664	Passenger of military vehicle injured in nontraffic accident
	軍用車輛乘客在非交通意外事故中受傷
    V8664xA	Passenger of military vehicle injured in nontraffic accident, initial encounter
	軍用車輛乘客在非交通意外事故中受傷之初期照護
    V8664xD	Passenger of military vehicle injured in nontraffic accident, subsequent encounter
	軍用車輛乘客在非交通意外事故中受傷之後續照護
    V8664xS	Passenger of military vehicle injured in nontraffic accident, sequela
	軍用車輛乘客在非交通意外事故中受傷之後遺症
  V8669	Passenger of other special all-terrain or other vehicle injured in nontraffic accident
	其他特殊全地形適用車輛或其他車輛乘客在非交通意外事故中受傷
    V8669xA	Passenger of other special all-terrain or other vehicle injured in nontraffic accident, initial encounter
	其他特殊全地形適用車輛或其他車輛乘客在非交通意外事故中受傷之初期照護
    V8669xD	Passenger of other special all-terrain or other vehicle injured in nontraffic accident, subsequent encounter
	其他特殊全地形適用車輛或其他車輛乘客在非交通意外事故中受傷之後續照護
    V8669xS	Passenger of other special all-terrain or other vehicle injured in nontraffic accident, sequela
	其他特殊全地形適用車輛或其他車輛乘客在非交通意外事故中受傷之後遺症
 V867	Person on outside of special all-terrain or other motor vehicles injured in nontraffic accident
	特殊全地形適用車輛或其他非公路用機動車輛外部乘員在非交通意外事故中受傷
  V8671	Person on outside of ambulance or fire engine injured in nontraffic accident
	救護車或消防車輛外人員在非交通意外事故中受傷
    V8671xA	Person on outside of ambulance or fire engine injured in nontraffic accident, initial encounter
	救護車或消防車輛外人員在非交通意外事故中受傷之初期照護
    V8671xD	Person on outside of ambulance or fire engine injured in nontraffic accident, subsequent encounter
	救護車或消防車輛外人員在非交通意外事故中受傷之後續照護
    V8671xS	Person on outside of ambulance or fire engine injured in nontraffic accident, sequela
	救護車或消防車輛外人員在非交通意外事故中受傷之後遺症
  V8672	Person on outside of snowmobile injured in nontraffic accident
	雪地車外人員在非交通意外事故中受傷
    V8672xA	Person on outside of snowmobile injured in nontraffic accident, initial encounter
	雪地車外人員在非交通意外事故中受傷之初期照護
    V8672xD	Person on outside of snowmobile injured in nontraffic accident, subsequent encounter
	雪地車外人員在非交通意外事故中受傷之後續照護
    V8672xS	Person on outside of snowmobile injured in nontraffic accident, sequela
	雪地車外人員在非交通意外事故中受傷之後遺症
  V8673	Person on outside of dune buggy injured in nontraffic accident
	沙灘車外人員在非交通意外事故中受傷
    V8673xA	Person on outside of dune buggy injured in nontraffic accident, initial encounter
	沙灘車外人員在非交通意外事故中受傷之初期照護
    V8673xD	Person on outside of dune buggy injured in nontraffic accident, subsequent encounter
	沙灘車外人員在非交通意外事故中受傷之後續照護
    V8673xS	Person on outside of dune buggy injured in nontraffic accident, sequela
