O00	Ectopic pregnancy
   O36519	Maternal care for known or suspected placental insufficiency, unspecified trimester
	已知或疑似胎盤功能不良的母體照護，未特定妊娠期
    O365190	Maternal care for known or suspected placental insufficiency, unspecified trimester, not applicable or unspecified
	不適用或未特定，已知或疑似胎盤功能不良的母體照護，未特定妊娠期
    O365191	Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 1
	第一個胎兒已知或疑似胎盤功能不良的母體照護，未特定妊娠期
    O365192	Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 2
	第二個胎兒已知或疑似胎盤功能不良的母體照護，未特定妊娠期
    O365193	Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 3
	第三個胎兒已知或疑似胎盤功能不良的母體照護，未特定妊娠期
    O365194	Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 4
	第四個胎兒已知或疑似胎盤功能不良的母體照護，未特定妊娠期
    O365195	Maternal care for known or suspected placental insufficiency, unspecified trimester, fetus 5
	第五個胎兒已知或疑似胎盤功能不良的母體照護，未特定妊娠期
    O365199	Maternal care for known or suspected placental insufficiency, unspecified trimester, other fetus
	其他胎兒已知或疑似胎盤功能不良的母體照護，未特定妊娠期
  O3659	Maternal care for other known or suspected poor fetal growth
	其他已知或疑似胎兒生長遲緩的母體照護
   O36591	Maternal care for other known or suspected poor fetal growth, first trimester
	其他已知或疑似胎兒生長遲緩的母體照護，妊娠第一期
    O365910	Maternal care for other known or suspected poor fetal growth, first trimester, not applicable or unspecified
	不適用或未特定，其他已知或疑似胎兒生長不良的母體照護，妊娠第一期
    O365911	Maternal care for other known or suspected poor fetal growth, first trimester, fetus 1
	第一個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第一期
    O365912	Maternal care for other known or suspected poor fetal growth, first trimester, fetus 2
	第二個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第一期
    O365913	Maternal care for other known or suspected poor fetal growth, first trimester, fetus 3
	第三個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第一期
    O365914	Maternal care for other known or suspected poor fetal growth, first trimester, fetus 4
	第四個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第一期
    O365915	Maternal care for other known or suspected poor fetal growth, first trimester, fetus 5
	第五個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第一期
    O365919	Maternal care for other known or suspected poor fetal growth, first trimester, other fetus
	其他胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第一期
   O36592	Maternal care for other known or suspected poor fetal growth, second trimester
	已知或疑似其他胎兒生長遲緩的母體照護，妊娠第二期
    O365920	Maternal care for other known or suspected poor fetal growth, second trimester, not applicable or unspecified
	不適用或未特定，其他已知或疑似胎兒生長不良的母體照護，妊娠第二期
    O365921	Maternal care for other known or suspected poor fetal growth, second trimester, fetus 1
	第一個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第二期
    O365922	Maternal care for other known or suspected poor fetal growth, second trimester, fetus 2
	第二個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第二期
    O365923	Maternal care for other known or suspected poor fetal growth, second trimester, fetus 3
	第三個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第二期
    O365924	Maternal care for other known or suspected poor fetal growth, second trimester, fetus 4
	第四個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第二期
    O365925	Maternal care for other known or suspected poor fetal growth, second trimester, fetus 5
	第五個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第二期
    O365929	Maternal care for other known or suspected poor fetal growth, second trimester, other fetus
	其他胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第二期
   O36593	Maternal care for other known or suspected poor fetal growth, third trimester
	其他已知或疑似胎兒生長遲緩的母體照護，妊娠第三期
    O365930	Maternal care for other known or suspected poor fetal growth, third trimester, not applicable or unspecified
	不適用或未特定，其他已知或疑似胎兒生長不良的母體照護，妊娠第三期
    O365931	Maternal care for other known or suspected poor fetal growth, third trimester, fetus 1
	第一個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第三期
    O365932	Maternal care for other known or suspected poor fetal growth, third trimester, fetus 2
	第二個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第三期
    O365933	Maternal care for other known or suspected poor fetal growth, third trimester, fetus 3
	第三個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第三期
    O365934	Maternal care for other known or suspected poor fetal growth, third trimester, fetus 4
	第四個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第三期
    O365935	Maternal care for other known or suspected poor fetal growth, third trimester, fetus 5
	第五個胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第三期
    O365939	Maternal care for other known or suspected poor fetal growth, third trimester, other fetus
	其他胎兒其他已知或疑似胎兒生長不良的母體照護，妊娠第三期
   O36599	Maternal care for other known or suspected poor fetal growth, unspecified trimester
	其他已知或疑似胎兒生長遲緩的母體照護，未特定妊娠期
    O365990	Maternal care for other known or suspected poor fetal growth, unspecified trimester, not applicable or unspecified
	不適用或未特定，其他已知或疑似胎兒生長不良的母體照護，未特定妊娠期
    O365991	Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 1
	第一個胎兒其他已知或疑似胎兒生長不良的母體照護，未特定妊娠期
    O365992	Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 2
	第二個胎兒其他已知或疑似胎兒生長不良的母體照護，未特定妊娠期
    O365993	Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 3
	第三個胎兒其他已知或疑似胎兒生長不良的母體照護，未特定妊娠期
    O365994	Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 4
	第四個胎兒其他已知或疑似胎兒生長不良的母體照護，未特定妊娠期
    O365995	Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 5
	第五個胎兒其他已知或疑似胎兒生長不良的母體照護，未特定妊娠期
    O365999	Maternal care for other known or suspected poor fetal growth, unspecified trimester, other fetus
	其他胎兒其他已知或疑似胎兒生長不良的母體照護，未特定妊娠期
 O366	Maternal care for excessive fetal growth
	胎兒生長過度的母體照護
  O3660	Maternal care for excessive fetal growth, unspecified trimester
	胎兒生長過度的母體照護，未特定妊娠期
    O3660x0	Maternal care for excessive fetal growth, unspecified trimester, not applicable or unspecified
	不適用或未特定，胎兒生長過度的母體照護，未特定妊娠期
    O3660x1	Maternal care for excessive fetal growth, unspecified trimester, fetus 1
	第一個胎兒生長過度的母體照護，未特定妊娠期
    O3660x2	Maternal care for excessive fetal growth, unspecified trimester, fetus 2
	第二個胎兒生長過度的母體照護，未特定妊娠期
    O3660x3	Maternal care for excessive fetal growth, unspecified trimester, fetus 3
	第三個胎兒生長過度的母體照護，未特定妊娠期
    O3660x4	Maternal care for excessive fetal growth, unspecified trimester, fetus 4
	第四個胎兒生長過度的母體照護，未特定妊娠期
    O3660x5	Maternal care for excessive fetal growth, unspecified trimester, fetus 5
	第五個胎兒生長過度的母體照護，未特定妊娠期
    O3660x9	Maternal care for excessive fetal growth, unspecified trimester, other fetus
	其他胎兒生長過度的母體照護，未特定妊娠期
  O3661	Maternal care for excessive fetal growth, first trimester
	胎兒生長過度的母體照護，妊娠第一期
    O3661x0	Maternal care for excessive fetal growth, first trimester, not applicable or unspecified
	不適用或未特定，胎兒生長過度的母體照護，妊娠第一期
    O3661x1	Maternal care for excessive fetal growth, first trimester, fetus 1
	第一個胎兒生長過度的母體照護，妊娠第一期
    O3661x2	Maternal care for excessive fetal growth, first trimester, fetus 2
	第二個胎兒生長過度的母體照護，妊娠第一期
    O3661x3	Maternal care for excessive fetal growth, first trimester, fetus 3
	第三個胎兒生長過度的母體照護，妊娠第一期
    O3661x4	Maternal care for excessive fetal growth, first trimester, fetus 4
	第四個胎兒生長過度的母體照護，妊娠第一期
    O3661x5	Maternal care for excessive fetal growth, first trimester, fetus 5
	第五個胎兒生長過度的母體照護，妊娠第一期
    O3661x9	Maternal care for excessive fetal growth, first trimester, other fetus
	其他胎兒生長過度的母體照護，妊娠第一期
  O3662	Maternal care for excessive fetal growth, second trimester
	胎兒生長過度的母體照護，妊娠第二期
    O3662x0	Maternal care for excessive fetal growth, second trimester, not applicable or unspecified
	不適用或未特定，胎兒生長過度的母體照護，妊娠第二期
    O3662x1	Maternal care for excessive fetal growth, second trimester, fetus 1
	第一個胎兒生長過度的母體照護，妊娠第二期
    O3662x2	Maternal care for excessive fetal growth, second trimester, fetus 2
	第二個胎兒生長過度的母體照護，妊娠第二期
    O3662x3	Maternal care for excessive fetal growth, second trimester, fetus 3
	第三個胎兒生長過度的母體照護，妊娠第二期
    O3662x4	Maternal care for excessive fetal growth, second trimester, fetus 4
	第四個胎兒生長過度的母體照護，妊娠第二期
    O3662x5	Maternal care for excessive fetal growth, second trimester, fetus 5
	第五個胎兒生長過度的母體照護，妊娠第二期
    O3662x9	Maternal care for excessive fetal growth, second trimester, other fetus
	其他胎兒生長過度的母體照護，妊娠第二期
  O3663	Maternal care for excessive fetal growth, third trimester
	胎兒生長過度的母體照護，妊娠第三期
    O3663x0	Maternal care for excessive fetal growth, third trimester, not applicable or unspecified
	不適用或未特定，胎兒生長過度的母體照護，妊娠第三期
    O3663x1	Maternal care for excessive fetal growth, third trimester, fetus 1
	第一個胎兒生長過度的母體照護，妊娠第三期
    O3663x2	Maternal care for excessive fetal growth, third trimester, fetus 2
	第二個胎兒生長過度的母體照護，妊娠第三期
    O3663x3	Maternal care for excessive fetal growth, third trimester, fetus 3
	第三個胎兒生長過度的母體照護，妊娠第三期
    O3663x4	Maternal care for excessive fetal growth, third trimester, fetus 4
	第四個胎兒生長過度的母體照護，妊娠第三期
    O3663x5	Maternal care for excessive fetal growth, third trimester, fetus 5
	第五個胎兒生長過度的母體照護，妊娠第三期
    O3663x9	Maternal care for excessive fetal growth, third trimester, other fetus
	其他胎兒生長過度的母體照護，妊娠第三期
 O367	Maternal care for viable fetus in abdominal pregnancy
	腹腔妊娠存活胎兒的母體照護
  O3670	Maternal care for viable fetus in abdominal pregnancy, unspecified trimester
	腹腔妊娠存活胎兒的母體照護，未特定妊娠期
    O3670x0	Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, not applicable or unspecified
	不適用或未特定，腹腔妊娠存活胎兒的母體照護，未特定妊娠期
    O3670x1	Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 1
	第一個胎兒腹腔妊娠存活胎兒的母體照護，未特定妊娠期
    O3670x2	Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 2
	第二個胎兒腹腔妊娠存活胎兒的母體照護，未特定妊娠期
    O3670x3	Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 3
	第三個胎兒腹腔妊娠存活胎兒的母體照護，未特定妊娠期
    O3670x4	Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 4
	第四個胎兒腹腔妊娠存活胎兒的母體照護，未特定妊娠期
    O3670x5	Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, fetus 5
	第五個胎兒腹腔妊娠存活胎兒的母體照護，未特定妊娠期
    O3670x9	Maternal care for viable fetus in abdominal pregnancy, unspecified trimester, other fetus
	其他胎兒腹腔妊娠存活胎兒的母體照護，未特定妊娠期
  O3671	Maternal care for viable fetus in abdominal pregnancy, first trimester
	腹腔妊娠存活胎兒的母體照護，妊娠第一期
    O3671x0	Maternal care for viable fetus in abdominal pregnancy, first trimester, not applicable or unspecified
	不適用或未特定，腹腔妊娠存活胎兒的母體照護，妊娠第一期
    O3671x1	Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 1
	第一個胎兒生腹腔妊娠存活胎兒的母體照護，妊娠第一期
    O3671x2	Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 2
	第二個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第一期
    O3671x3	Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 3
	第三個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第一期
    O3671x4	Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 4
	第四個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第一期
    O3671x5	Maternal care for viable fetus in abdominal pregnancy, first trimester, fetus 5
	第五個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第一期
    O3671x9	Maternal care for viable fetus in abdominal pregnancy, first trimester, other fetus
	其他胎兒腹腔妊娠存活胎兒的母體照護，妊娠第一期
  O3672	Maternal care for viable fetus in abdominal pregnancy, second trimester
	腹腔妊娠存活胎兒的母體照護，妊娠第二期
    O3672x0	Maternal care for viable fetus in abdominal pregnancy, second trimester, not applicable or unspecified
	不適用或未特定，腹腔妊娠存活胎兒的母體照護，妊娠第二期
    O3672x1	Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 1
	第一個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第二期
    O3672x2	Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 2
	第二個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第二期
    O3672x3	Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 3
	第三個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第二期
    O3672x4	Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 4
	第四個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第二期
    O3672x5	Maternal care for viable fetus in abdominal pregnancy, second trimester, fetus 5
	第五個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第二期
    O3672x9	Maternal care for viable fetus in abdominal pregnancy, second trimester, other fetus
	其他胎兒腹腔妊娠存活胎兒的母體照護，妊娠第二期
  O3673	Maternal care for viable fetus in abdominal pregnancy, third trimester
	腹腔妊娠存活胎兒的母體照護，妊娠第三期
    O3673x0	Maternal care for viable fetus in abdominal pregnancy, third trimester, not applicable or unspecified
	不適用或未特定，腹腔妊娠存活胎兒的母體照護，妊娠第三期
    O3673x1	Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 1
	第一個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第三期
    O3673x2	Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 2
	第二個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第三期
    O3673x3	Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 3
	第三個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第三期
    O3673x4	Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 4
	第四個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第三期
    O3673x5	Maternal care for viable fetus in abdominal pregnancy, third trimester, fetus 5
	第五個胎兒腹腔妊娠存活胎兒的母體照護，妊娠第三期
    O3673x9	Maternal care for viable fetus in abdominal pregnancy, third trimester, other fetus
	其他胎兒腹腔妊娠存活胎兒的母體照護，妊娠第三期
 O368	Maternal care for other specified fetal problems
	其他特定胎兒問題的母體照護
  O3681	Decreased fetal movements
	胎動減少
   O36812	Decreased fetal movements, second trimester
	胎動減少，妊娠第二期
    O368120	Decreased fetal movements, second trimester, not applicable or unspecified
	不適用或未特定，胎動減少，妊娠第二期
    O368121	Decreased fetal movements, second trimester, fetus 1
	第一個胎兒胎動減少，妊娠第二期
    O368122	Decreased fetal movements, second trimester, fetus 2
	第二個胎兒胎動減少，妊娠第二期
    O368123	Decreased fetal movements, second trimester, fetus 3
	第三個胎兒胎動減少，妊娠第二期
    O368124	Decreased fetal movements, second trimester, fetus 4
	第四個胎兒胎動減少，妊娠第二期
    O368125	Decreased fetal movements, second trimester, fetus 5
	第五個胎兒胎動減少，妊娠第二期
    O368129	Decreased fetal movements, second trimester, other fetus
	其他胎兒胎動減少，妊娠第二期
   O36813	Decreased fetal movements, third trimester
	胎動減少，妊娠第三期
    O368130	Decreased fetal movements, third trimester, not applicable or unspecified
	不適用或未特定，胎動減少，妊娠第三期
    O368131	Decreased fetal movements, third trimester, fetus 1
	第一個胎兒胎動減少，妊娠第三期
    O368132	Decreased fetal movements, third trimester, fetus 2
	第二個胎兒胎動減少，妊娠第三期
    O368133	Decreased fetal movements, third trimester, fetus 3
	第三個胎兒胎動減少，妊娠第三期
    O368134	Decreased fetal movements, third trimester, fetus 4
	第四個胎兒胎動減少，妊娠第三期
    O368135	Decreased fetal movements, third trimester, fetus 5
	第五個胎兒胎動減少，妊娠第三期
    O368139	Decreased fetal movements, third trimester, other fetus
	其他胎兒胎動減少，妊娠第三期
   O36819	Decreased fetal movements, unspecified trimester
	胎動減少，未特定妊娠期
    O368190	Decreased fetal movements, unspecified trimester, not applicable or unspecified
	不適用或未特定，胎動減少，未特定妊娠期
    O368191	Decreased fetal movements, unspecified trimester, fetus 1
	第一個胎兒胎動減少，未特定妊娠期
    O368192	Decreased fetal movements, unspecified trimester, fetus 2
	第二個胎兒胎動減少，未特定妊娠期
    O368193	Decreased fetal movements, unspecified trimester, fetus 3
	第三個胎兒胎動減少，未特定妊娠期
    O368194	Decreased fetal movements, unspecified trimester, fetus 4
	第四個胎兒胎動減少，未特定妊娠期
    O368195	Decreased fetal movements, unspecified trimester, fetus 5
	第五個胎兒胎動減少，未特定妊娠期
    O368199	Decreased fetal movements, unspecified trimester, other fetus
	其他胎兒胎動減少，未特定妊娠期
  O3682	Fetal anemia and thrombocytopenia
	胎兒貧血及血小板低下
   O36821	Fetal anemia and thrombocytopenia, first trimester
	胎兒貧血及血小板低下，妊娠第一期
    O368210	Fetal anemia and thrombocytopenia, first trimester, not applicable or unspecified
	不適用或未特定，胎兒貧血及血小板低下，妊娠第一期
    O368211	Fetal anemia and thrombocytopenia, first trimester, fetus 1
	第一個胎兒貧血及血小板過低，妊娠第一期
    O368212	Fetal anemia and thrombocytopenia, first trimester, fetus 2
	第二個胎兒貧血及血小板低下，妊娠第一期
    O368213	Fetal anemia and thrombocytopenia, first trimester, fetus 3
	第三個胎兒貧血及血小板低下，妊娠第一期
    O368214	Fetal anemia and thrombocytopenia, first trimester, fetus 4
	第四個胎兒貧血及血小板低下，妊娠第一期
    O368215	Fetal anemia and thrombocytopenia, first trimester, fetus 5
	第五個胎兒貧血及血小板低下，妊娠第一期
    O368219	Fetal anemia and thrombocytopenia, first trimester, other fetus
	其他胎兒貧血及血小板低下，妊娠第一期
   O36822	Fetal anemia and thrombocytopenia, second trimester
	胎兒貧血及血小板低下，妊娠第二期
    O368220	Fetal anemia and thrombocytopenia, second trimester, not applicable or unspecified
	不適用或未特定，胎兒貧血及血小板低下，妊娠第二期
    O368221	Fetal anemia and thrombocytopenia, second trimester, fetus 1
	第一個胎兒貧血及血小板低下，妊娠第二期
    O368222	Fetal anemia and thrombocytopenia, second trimester, fetus 2
	第二個胎兒貧血及血小板低下，妊娠第二期
    O368223	Fetal anemia and thrombocytopenia, second trimester, fetus 3
	第三個胎兒貧血及血小板低下，妊娠第二期
    O368224	Fetal anemia and thrombocytopenia, second trimester, fetus 4
	第四個胎兒貧血及血小板低下，妊娠第二期
    O368225	Fetal anemia and thrombocytopenia, second trimester, fetus 5
	第五個胎兒貧血及血小板低下，妊娠第二期
    O368229	Fetal anemia and thrombocytopenia, second trimester, other fetus
	其他胎兒貧血及血小板低下，妊娠第二期
   O36823	Fetal anemia and thrombocytopenia, third trimester
	胎兒貧血及血小板低下，妊娠第三期
    O368230	Fetal anemia and thrombocytopenia, third trimester, not applicable or unspecified
	不適用或未特定，胎兒貧血及血小板低下，妊娠第三期
    O368231	Fetal anemia and thrombocytopenia, third trimester, fetus 1
	第一個胎兒貧血及血小板低下，妊娠第三期
    O368232	Fetal anemia and thrombocytopenia, third trimester, fetus 2
	第二個胎兒貧血及血小板低下，妊娠第三期
    O368233	Fetal anemia and thrombocytopenia, third trimester, fetus 3
	第三個胎兒貧血及血小板低下，妊娠第三期
    O368234	Fetal anemia and thrombocytopenia, third trimester, fetus 4
	第四個胎兒貧血及血小板低下，妊娠第三期
    O368235	Fetal anemia and thrombocytopenia, third trimester, fetus 5
	第五個胎兒貧血及血小板低下，妊娠第三期
    O368239	Fetal anemia and thrombocytopenia, third trimester, other fetus
	其他胎兒貧血及血小板低下，妊娠第三期
   O36829	Fetal anemia and thrombocytopenia, unspecified trimester
	胎兒貧血及血小板低下，未特定妊娠期
    O368290	Fetal anemia and thrombocytopenia, unspecified trimester, not applicable or unspecified
	不適用或未特定，胎兒貧血及血小板低下，未特定妊娠期
    O368291	Fetal anemia and thrombocytopenia, unspecified trimester, fetus 1
	第一個胎兒貧血及血小板低下，未特定妊娠期
    O368292	Fetal anemia and thrombocytopenia, unspecified trimester, fetus 2
	第二個胎兒貧血及血小板低下，未特定妊娠期
    O368293	Fetal anemia and thrombocytopenia, unspecified trimester, fetus 3
	第三個胎兒貧血及血小板低下，未特定妊娠期
    O368294	Fetal anemia and thrombocytopenia, unspecified trimester, fetus 4
	第四個胎兒貧血及血小板低下，未特定妊娠期
    O368295	Fetal anemia and thrombocytopenia, unspecified trimester, fetus 5
	第五個胎兒貧血及血小板低下，未特定妊娠期
    O368299	Fetal anemia and thrombocytopenia, unspecified trimester, other fetus
	其他胎兒貧血及血小板低下，未特定妊娠期
  O3689	Maternal care for other specified fetal problems
	其他特定胎兒問題的母體照護
   O36891	Maternal care for other specified fetal problems, first trimester
	其他特定胎兒問題的母體照護，妊娠第一期
    O368910	Maternal care for other specified fetal problems, first trimester, not applicable or unspecified
	不適用或未特定，其他特定胎兒問題的母體照護，妊娠第一期
    O368911	Maternal care for other specified fetal problems, first trimester, fetus 1
	第一個胎兒其他特定胎兒問題的母體照護，妊娠第一期
    O368912	Maternal care for other specified fetal problems, first trimester, fetus 2
	第二個胎兒其他特定胎兒問題的母體照護，妊娠第一期
    O368913	Maternal care for other specified fetal problems, first trimester, fetus 3
	第三個胎兒其他特定胎兒問題的母體照護，妊娠第一期
    O368914	Maternal care for other specified fetal problems, first trimester, fetus 4
	第四個胎兒其他特定胎兒問題的母體照護，妊娠第一期
    O368915	Maternal care for other specified fetal problems, first trimester, fetus 5
	第五個胎兒其他特定胎兒問題的母體照護，妊娠第一期
    O368919	Maternal care for other specified fetal problems, first trimester, other fetus
	其他特定胎兒其他特定胎兒問題的母體照護，妊娠第一期
   O36892	Maternal care for other specified fetal problems, second trimester
	其他特定胎兒問題的母體照護，妊娠第二期
    O368920	Maternal care for other specified fetal problems, second trimester, not applicable or unspecified
	不適用或未特定，其他特定胎兒問題的母體照護，妊娠第二期
    O368921	Maternal care for other specified fetal problems, second trimester, fetus 1
	第一個胎兒其他特定胎兒問題的母體照護，妊娠第二期
    O368922	Maternal care for other specified fetal problems, second trimester, fetus 2
	第二個胎兒其他特定胎兒問題的母體照護，妊娠第二期
    O368923	Maternal care for other specified fetal problems, second trimester, fetus 3
	第三個胎兒其他特定胎兒問題的母體照護，妊娠第二期
    O368924	Maternal care for other specified fetal problems, second trimester, fetus 4
	第四個胎兒其他特定胎兒問題的母體照護，妊娠第二期
    O368925	Maternal care for other specified fetal problems, second trimester, fetus 5
	第五個胎兒其他特定胎兒問題的母體照護，妊娠第二期
    O368929	Maternal care for other specified fetal problems, second trimester, other fetus
	其他特定胎兒其他特定胎兒問題的母體照護，妊娠第二期
   O36893	Maternal care for other specified fetal problems, third trimester
	其他特定胎兒問題的母體照護，妊娠第三期
    O368930	Maternal care for other specified fetal problems, third trimester, not applicable or unspecified
	不適用或未特定，其他特定胎兒問題的母體照護，妊娠第三期
    O368931	Maternal care for other specified fetal problems, third trimester, fetus 1
	第一個胎兒其他特定胎兒問題的母體照護，妊娠第三期
    O368932	Maternal care for other specified fetal problems, third trimester, fetus 2
	第二個胎兒其他特定胎兒問題的母體照護，妊娠第三期
    O368933	Maternal care for other specified fetal problems, third trimester, fetus 3
	第三個胎兒其他特定胎兒問題的母體照護，妊娠第三期
    O368934	Maternal care for other specified fetal problems, third trimester, fetus 4
	第四個胎兒其他特定胎兒問題的母體照護，妊娠第三期
    O368935	Maternal care for other specified fetal problems, third trimester, fetus 5
	第五個胎兒其他特定胎兒問題的母體照護，妊娠第三期
    O368939	Maternal care for other specified fetal problems, third trimester, other fetus
	其他特定胎兒其他特定胎兒問題的母體照護，妊娠第三期
   O36899	Maternal care for other specified fetal problems, unspecified trimester
	其他特定胎兒問題的母體照護，未特定妊娠期
    O368990	Maternal care for other specified fetal problems, unspecified trimester, not applicable or unspecified
	不適用或未特定，其他特定胎兒問題的母體照護，未特定妊娠期
    O368991	Maternal care for other specified fetal problems, unspecified trimester, fetus 1
	第一個胎兒其他特定胎兒問題的母體照護，未特定妊娠期
    O368992	Maternal care for other specified fetal problems, unspecified trimester, fetus 2
	第二個胎兒其他特定胎兒問題的母體照護，未特定妊娠期
    O368993	Maternal care for other specified fetal problems, unspecified trimester, fetus 3
	第三個胎兒其他特定胎兒問題的母體照護，未特定妊娠期
    O368994	Maternal care for other specified fetal problems, unspecified trimester, fetus 4
	第四個胎兒其他特定胎兒問題的母體照護，未特定妊娠期
    O368995	Maternal care for other specified fetal problems, unspecified trimester, fetus 5
	第五個胎兒其他特定胎兒問題的母體照護，未特定妊娠期
    O368999	Maternal care for other specified fetal problems, unspecified trimester, other fetus
	其他特定胎兒其他特定胎兒問題的母體照護，未特定妊娠期
 O369	Maternal care for fetal problem, unspecified
	未特定胎兒問題的母體照護
  O3690	Maternal care for fetal problem, unspecified, unspecified trimester
	未特定胎兒問題的母體照護，未特定妊娠期
    O3690x0	Maternal care for fetal problem, unspecified, unspecified trimester, not applicable or unspecified
	不適用或未特定，胎兒問題的母體照護，未特定妊娠期
    O3690x1	Maternal care for fetal problem, unspecified, unspecified trimester, fetus 1
	第一個胎兒問題的母體照護，未特定妊娠期
    O3690x2	Maternal care for fetal problem, unspecified, unspecified trimester, fetus 2
	第二個胎兒問題的母體照護，未特定妊娠期
    O3690x3	Maternal care for fetal problem, unspecified, unspecified trimester, fetus 3
	第三個胎兒問題的母體照護，未特定妊娠期
    O3690x4	Maternal care for fetal problem, unspecified, unspecified trimester, fetus 4
	第四個胎兒問題的母體照護，未特定妊娠期
    O3690x5	Maternal care for fetal problem, unspecified, unspecified trimester, fetus 5
	第五個胎兒問題的母體照護，未特定妊娠期
    O3690x9	Maternal care for fetal problem, unspecified, unspecified trimester, other fetus
	其他胎兒問題的母體照護，未特定妊娠期
  O3691	Maternal care for fetal problem, unspecified, first trimester
	未特定胎兒問題的母體照護，妊娠第一期
    O3691x0	Maternal care for fetal problem, unspecified, first trimester, not applicable or unspecified
	不適用或未特定，胎兒問題的母體照護，妊娠第一期
    O3691x1	Maternal care for fetal problem, unspecified, first trimester, fetus 1
	第一個胎兒問題的母體照護，妊娠第一期
    O3691x2	Maternal care for fetal problem, unspecified, first trimester, fetus 2
	第二個胎兒問題的母體照護，妊娠第一期
    O3691x3	Maternal care for fetal problem, unspecified, first trimester, fetus 3
	第三個胎兒問題的母體照護，妊娠第一期
    O3691x4	Maternal care for fetal problem, unspecified, first trimester, fetus 4
	第四個胎兒問題的母體照護，妊娠第一期
    O3691x5	Maternal care for fetal problem, unspecified, first trimester, fetus 5
	第五個胎兒問題的母體照護，妊娠第一期
    O3691x9	Maternal care for fetal problem, unspecified, first trimester, other fetus
	其他胎兒問題的母體照護，妊娠第一期
  O3692	Maternal care for fetal problem, unspecified, second trimester
	未特定胎兒問題的母體照護，妊娠第二期
    O3692x0	Maternal care for fetal problem, unspecified, second trimester, not applicable or unspecified
	不適用或未特定，胎兒問題的母體照護，妊娠第二期
    O3692x1	Maternal care for fetal problem, unspecified, second trimester, fetus 1
	第一個胎兒問題的母體照護，妊娠第二期
    O3692x2	Maternal care for fetal problem, unspecified, second trimester, fetus 2
	第二個胎兒胎兒問題的母體照護，妊娠第二期
    O3692x3	Maternal care for fetal problem, unspecified, second trimester, fetus 3
	第三個胎兒其他特定胎兒問題的母體照護，妊娠第二期
    O3692x4	Maternal care for fetal problem, unspecified, second trimester, fetus 4
