L00	Staphylococcal scalded skin syndrome
 L958	Other vasculitis limited to the skin
	其他血管炎局限於皮膚
 L959	Vasculitis limited to the skin, unspecified
	皮膚局限型的血管炎，未特定
L97	Non-pressure chronic ulcer of lower limb, not elsewhere classified
	下肢非壓迫性慢性潰瘍，無其他分類
 L971	Non-pressure chronic ulcer of thigh
	大腿非壓迫性慢性潰瘍
  L9710	Non-pressure chronic ulcer of unspecified thigh
	未特定大腿非壓迫性慢性潰瘍
   L97101	Non-pressure chronic ulcer of unspecified thigh limited to breakdown of skin
	未特定大腿非壓迫性慢性潰瘍局限於皮膚損壞
   L97102	Non-pressure chronic ulcer of unspecified thigh with fat layer exposed
	未特定大腿非壓迫性慢性潰瘍伴有脂肪層暴露
   L97103	Non-pressure chronic ulcer of unspecified thigh with necrosis of muscle
	未特定大腿非壓迫性慢性潰瘍伴有肌肉壞死
   L97104	Non-pressure chronic ulcer of unspecified thigh with necrosis of bone
	未特定大腿非壓迫性慢性潰瘍伴有骨壞死
   L97109	Non-pressure chronic ulcer of unspecified thigh with unspecified severity
	未特定大腿非壓迫性慢性潰瘍未特定嚴重程度
  L9711	Non-pressure chronic ulcer of right thigh
	右大腿非壓迫性慢性潰瘍
   L97111	Non-pressure chronic ulcer of right thigh limited to breakdown of skin
	右大腿非壓迫性慢性潰瘍局限於皮膚損壞
   L97112	Non-pressure chronic ulcer of right thigh with fat layer exposed
	右大腿非壓迫性慢性潰瘍與脂肪層暴露
   L97113	Non-pressure chronic ulcer of right thigh with necrosis of muscle
	右大腿非壓迫性慢性潰瘍與肌肉壞死
   L97114	Non-pressure chronic ulcer of right thigh with necrosis of bone
	右大腿非壓迫性慢性潰瘍與骨壞死
   L97119	Non-pressure chronic ulcer of right thigh with unspecified severity
	右大腿非壓迫性慢性潰瘍未特定嚴重程度
  L9712	Non-pressure chronic ulcer of left thigh
	左大腿非壓迫性慢性潰瘍
   L97121	Non-pressure chronic ulcer of left thigh limited to breakdown of skin
	左大腿非壓迫性慢性潰瘍局限於皮膚損壞
   L97122	Non-pressure chronic ulcer of left thigh with fat layer exposed
	左大腿非壓迫性慢性潰瘍與脂肪層暴露
   L97123	Non-pressure chronic ulcer of left thigh with necrosis of muscle
	左大腿非壓迫性慢性潰瘍與肌肉壞死
   L97124	Non-pressure chronic ulcer of left thigh with necrosis of bone
	左大腿非壓迫性慢性潰瘍與骨壞死
   L97129	Non-pressure chronic ulcer of left thigh with unspecified severity
	左大腿非壓迫性慢性潰瘍未特定嚴重程度
 L972	Non-pressure chronic ulcer of calf
	腓部非壓迫性慢性潰瘍
  L9720	Non-pressure chronic ulcer of inspecified calf
	未特定腓部非壓迫性慢性潰瘍
   L97201	Non-pressure chronic ulcer of unspecified calf limited to breakdown of skin
	未特定腓部非壓迫性慢性潰瘍局限於皮膚損壞
   L97202	Non-pressure chronic ulcer of unspecified calf with fat layer exposed
	未特定腓部非壓迫性慢性潰瘍伴有脂肪層暴露
   L97203	Non-pressure chronic ulcer of unspecified calf with necrosis of muscle
	腓部非壓迫性慢性潰瘍伴有肌肉壞死
   L97204	Non-pressure chronic ulcer of unspecified calf with necrosis of bone
	腓部非壓迫性慢性潰瘍伴有骨壞死
   L97209	Non-pressure chronic ulcer of unspecified calf with unspecified severity
	未特定腓部非壓迫性慢性潰瘍未特定嚴重程度
  L9721	Non-pressure chronic ulcer of right calf
	右腓部非壓迫性慢性潰瘍
   L97211	Non-pressure chronic ulcer of right calf limited to breakdown of skin
	右腓部非壓迫性慢性潰瘍局限於皮膚損壞
   L97212	Non-pressure chronic ulcer of right calf with fat layer exposed
	右腓部非壓迫性慢性潰瘍與脂肪層暴露
   L97213	Non-pressure chronic ulcer of right calf with necrosis of muscle
	右腓部非壓迫性慢性潰瘍與肌肉壞死
   L97214	Non-pressure chronic ulcer of right calf with necrosis of bone
	右腓部非壓迫性慢性潰瘍與骨壞死
   L97219	Non-pressure chronic ulcer of right calf with unspecified severity
	右腓部非壓迫性慢性潰瘍未特定嚴重程度
  L9722	Non-pressure chronic ulcer of left calf
	左腓部非壓迫性慢性潰瘍
   L97221	Non-pressure chronic ulcer of left calf limited to breakdown of skin
	左腓部非壓迫性慢性潰瘍局限於皮膚損壞
   L97222	Non-pressure chronic ulcer of left calf with fat layer exposed
	左腓部非壓迫性慢性潰瘍與脂肪層暴露
   L97223	Non-pressure chronic ulcer of left calf with necrosis of muscle
	左腓部非壓迫性慢性潰瘍與肌肉壞死
   L97224	Non-pressure chronic ulcer of left calf with necrosis of bone
	左腓部非壓迫性慢性潰瘍與骨壞死
   L97229	Non-pressure chronic ulcer of left calf with unspecified severity
	左腓部非壓迫性慢性潰瘍未特定嚴重程度
 L973	Non-pressure chronic ulcer of ankle
	踝部非壓迫性慢性潰瘍
  L9730	Non-pressure chronic ulcer of unspecified ankle
	未特定踝部非壓迫性慢性潰瘍
   L97301	Non-pressure chronic ulcer of unspecified ankle limited to breakdown of skin
	未特定踝部非壓迫性慢性潰瘍局限於皮膚損壞
   L97302	Non-pressure chronic ulcer of unspecified ankle with fat layer exposed
	踝部非壓迫性慢性潰瘍伴有脂肪層暴露
   L97303	Non-pressure chronic ulcer of unspecified ankle with necrosis of muscle
	踝部非壓迫性慢性潰瘍伴有肌肉壞死
   L97304	Non-pressure chronic ulcer of unspecified ankle with necrosis of bone
	踝部非壓迫性慢性潰瘍伴有骨壞死
   L97309	Non-pressure chronic ulcer of unspecified ankle with unspecified severity
	未特定踝部非壓迫性慢性潰瘍未特定嚴重程度
  L9731	Non-pressure chronic ulcer of right ankle
	右踝部非壓迫性慢性潰瘍
   L97311	Non-pressure chronic ulcer of right ankle limited to breakdown of skin
	右踝部非壓迫性慢性潰瘍局限於皮膚損壞
   L97312	Non-pressure chronic ulcer of right ankle with fat layer exposed
	右踝部非壓迫性慢性潰瘍與脂肪層暴露
   L97313	Non-pressure chronic ulcer of right ankle with necrosis of muscle
	右踝部非壓迫性慢性潰瘍與肌肉壞死
   L97314	Non-pressure chronic ulcer of right ankle with necrosis of bone
	右踝部非壓迫性慢性潰瘍與骨壞死
   L97319	Non-pressure chronic ulcer of right ankle with unspecified severity
	右踝部非壓迫性慢性潰瘍未特定嚴重程度
  L9732	Non-pressure chronic ulcer of left ankle
	左踝部非壓迫性慢性潰瘍
   L97321	Non-pressure chronic ulcer of left ankle limited to breakdown of skin
	左踝部非壓迫性慢性潰瘍局限於皮膚損壞
   L97322	Non-pressure chronic ulcer of left ankle with fat layer exposed
	左踝部非壓迫性慢性潰瘍與脂肪層暴露
   L97323	Non-pressure chronic ulcer of left ankle with necrosis of muscle
	左踝部非壓迫性慢性潰瘍與肌肉壞死
   L97324	Non-pressure chronic ulcer of left ankle with necrosis of bone
	左踝部非壓迫性慢性潰瘍與骨壞死
   L97329	Non-pressure chronic ulcer of left ankle with unspecified severity
	左踝部非壓迫性慢性潰瘍未特定嚴重程度
 L974	Non-pressure chronic ulcer of heel and midfoot
	足跟及足部非壓迫性慢性潰瘍
  L9740	Non-pressure chronic ulcer of unspecified heel and midfoot
	未特定足跟及足部非壓迫性慢性潰瘍
   L97401	Non-pressure chronic ulcer of unspecified heel and midfoot limited to breakdown of skin
	未特定足跟及足部非壓迫性慢性潰瘍局限於皮膚損壞
   L97402	Non-pressure chronic ulcer of unspecified heel and midfoot with fat layer exposed
	足跟及足部非壓迫性慢性潰瘍伴有脂肪層暴露
   L97403	Non-pressure chronic ulcer of unspecified heel and midfoot with necrosis of muscle
	足跟及足部非壓迫性慢性潰瘍伴有肌肉壞死
   L97404	Non-pressure chronic ulcer of unspecified heel and midfoot with necrosis of bone
	足跟及足部非壓迫性慢性潰瘍伴有骨壞死
   L97409	Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity
	未特定足跟及足部非壓迫性慢性潰瘍未特定嚴重程度
  L9741	Non-pressure chronic ulcer of right heel and midfoot
	右足跟及足部非壓迫性慢性潰瘍
   L97411	Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin
	右足跟及足部非壓迫性慢性潰瘍局限於皮膚損壞
   L97412	Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed
	右足跟及足部非壓迫性慢性潰瘍與脂肪層暴露
   L97413	Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle
	右足跟及足部非壓迫性慢性潰瘍與肌肉壞死
   L97414	Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone
	右足跟及足部非壓迫性慢性潰瘍與骨壞死
   L97419	Non-pressure chronic ulcer of right heel and midfoot with unspecified severity
	右足跟及足部非壓迫性慢性潰瘍未特定嚴重程度
  L9742	Non-pressure chronic ulcer of left heel and midfoot
	左足跟及足部非壓迫性慢性潰瘍
   L97421	Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin
	左足跟及足部非壓迫性慢性潰瘍局限於皮膚損壞
   L97422	Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed
	左足跟及足部非壓迫性慢性潰瘍與脂肪層暴露
   L97423	Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle
	左足跟及足部非壓迫性慢性潰瘍與肌肉壞死
   L97424	Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone
	左足跟及足部非壓迫性慢性潰瘍與骨壞死
   L97429	Non-pressure chronic ulcer of left heel and midfoot with unspecified severity
	左足跟及足部非壓迫性慢性潰瘍未特定嚴重程度
 L975	Non-pressure chronic ulcer of other part of foot
	足部其他部位非壓迫性慢性潰瘍
  L9750	Non-pressure chronic ulcer of other part of unspecified foot
	未特定足部其他部位非壓迫性慢性潰瘍
   L97501	Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin
	足部其他部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97502	Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed
	足部其他部位非壓迫性慢性潰瘍與脂肪層暴露
   L97503	Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle
	足部其他部位非壓迫性慢性潰瘍與肌肉壞死
   L97504	Non-pressure chronic ulcer of other part of unspecified foot with necrosis of bone
	足部其他部位非壓迫性慢性潰瘍與骨壞死
   L97509	Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity
	未特定足部其他部位非壓迫性慢性潰瘍未特定嚴重程度
  L9751	Non-pressure chronic ulcer of other part of right foot
	右足其他部位非壓迫性慢性潰瘍
   L97511	Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin
	右足其他部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97512	Non-pressure chronic ulcer of other part of right foot with fat layer exposed
	右足其他部位非壓迫性慢性潰瘍與脂肪層暴露
   L97513	Non-pressure chronic ulcer of other part of right foot with necrosis of muscle
	右足其他部位非壓迫性慢性潰瘍與肌肉壞死
   L97514	Non-pressure chronic ulcer of other part of right foot with necrosis of bone
	右足其他部位非壓迫性慢性潰瘍與骨壞死
   L97519	Non-pressure chronic ulcer of other part of right foot with unspecified severity
	右足其他部位非壓迫性慢性潰瘍未特定嚴重程度
  L9752	Non-pressure chronic ulcer of other part of left foot
	左足其他部位非壓迫性慢性潰瘍
   L97521	Non-pressure chronic ulcer of other part of left foot limited to breakdown of skin
	左足其他部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97522	Non-pressure chronic ulcer of other part of left foot with fat layer exposed
	左足其他部位非壓迫性慢性潰瘍與脂肪層暴露
   L97523	Non-pressure chronic ulcer of other part of left foot with necrosis of muscle
	左足其他部位非壓迫性慢性潰瘍與肌肉壞死
   L97524	Non-pressure chronic ulcer of other part of left foot with necrosis of bone
	左足其他部位非壓迫性慢性潰瘍與骨壞死
   L97529	Non-pressure chronic ulcer of other part of left foot with unspecified severity
	左足其他部位非壓迫性慢性潰瘍未特定嚴重程度
 L978	Non-pressure chronic ulcer of other part of lower leg
	小腿其他部位非壓迫性慢性潰瘍
  L9780	Non-pressure chronic ulcer of other part of unspecified lower leg
	未特定小腿其他部位非壓迫性慢性潰瘍
   L97801	Non-pressure chronic ulcer of other part of unspecified lower leg limited to breakdown of skin
	未特定小腿其他部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97802	Non-pressure chronic ulcer of other part of unspecified lower leg with fat layer exposed
	未特定小腿其他部位非壓迫性慢性潰瘍與脂肪層暴露
   L97803	Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of muscle
	未特定小腿其他部位非壓迫性慢性潰瘍與肌肉壞死
   L97804	Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of bone
	未特定小腿其他部位非壓迫性慢性潰瘍與骨壞死
   L97809	Non-pressure chronic ulcer of other part of unspecified lower leg with unspecified severity
	未特定小腿其他部位非壓迫性慢性潰瘍未特定嚴重程度
  L9781	Non-pressure chronic ulcer of other part of right lower leg
	右小腿其他部位非壓迫性慢性潰瘍
   L97811	Non-pressure chronic ulcer of other part of right lower leg limited to breakdown of skin
	右小腿其他部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97812	Non-pressure chronic ulcer of other part of right lower leg with fat layer exposed
	右小腿其他部位非壓迫性慢性潰瘍與脂肪層暴露
   L97813	Non-pressure chronic ulcer of other part of right lower leg with necrosis of muscle
	右小腿其他部位非壓迫性慢性潰瘍與肌肉壞死
   L97814	Non-pressure chronic ulcer of other part of right lower leg with necrosis of bone
	右小腿其他部位非壓迫性慢性潰瘍與骨壞死
   L97819	Non-pressure chronic ulcer of other part of right lower leg with unspecified severity
	右小腿其他部位非壓迫性慢性潰瘍未特定嚴重程度
  L9782	Non-pressure chronic ulcer of other part of left lower leg
	左小腿其他部位非壓迫性慢性潰瘍
   L97821	Non-pressure chronic ulcer of other part of left lower leg limited to breakdown of skin
	左小腿其他部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97822	Non-pressure chronic ulcer of other part of left lower leg with fat layer exposed
	左小腿其他部位非壓迫性慢性潰瘍與脂肪層暴露
   L97823	Non-pressure chronic ulcer of other part of left lower leg with necrosis of muscle
	左小腿其他部位非壓迫性慢性潰瘍與肌肉壞死
   L97824	Non-pressure chronic ulcer of other part of left lower leg with necrosis of bone
	左小腿其他部位非壓迫性慢性潰瘍與骨壞死
   L97829	Non-pressure chronic ulcer of other part of left lower leg with unspecified severity
	左小腿其他部位非壓迫性慢性潰瘍未特定嚴重程度
 L979	Non-pressure chronic ulcer of unspecified part of lower leg
	小腿未特定部位非壓迫性慢性潰瘍
  L9790	Non-pressure chronic ulcer of unspecified part of unspecified lower leg
	未特定小腿未特定部位非壓迫性慢性潰瘍
   L97901	Non-pressure chronic ulcer of unspecified part of unspecified lower leg limited to breakdown of skin
	未特定小腿未特定部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97902	Non-pressure chronic ulcer of unspecified part of unspecified lower leg with fat layer exposed
	未特定小腿未特定部位非壓迫性慢性潰瘍伴有脂肪層暴露
   L97903	Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of muscle
	未特定小腿未特定部位非壓迫性慢性潰瘍伴有肌肉壞死
   L97904	Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of bone
	未特定小腿未特定部位非壓迫性慢性潰瘍伴有骨壞死
   L97909	Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity
	未特定小腿未特定部位非壓迫性慢性潰瘍未特定嚴重程度
  L9791	Non-pressure chronic ulcer of unspecified part of right lower leg
	右小腿未特定部位非壓迫性慢性潰瘍
   L97911	Non-pressure chronic ulcer of unspecified part of right lower leg limited to breakdown of skin
	右小腿未特定部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97912	Non-pressure chronic ulcer of unspecified part of right lower leg with fat layer exposed
	右小腿未特定部位非壓迫性慢性潰瘍與脂肪層暴露
   L97913	Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of muscle
	右小腿未特定部位非壓迫性慢性潰瘍伴有肌肉壞死
   L97914	Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of bone
	右小腿未特定部位非壓迫性慢性潰瘍伴有骨壞死
   L97919	Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity
	右小腿未特定部位非壓迫性慢性潰瘍未特定嚴重程度
  L9792	Non-pressure chronic ulcer of unspecified part of left lower leg
	左小腿未特定部位非壓迫性慢性潰瘍
   L97921	Non-pressure chronic ulcer of unspecified part of left lower leg limited to breakdown of skin
	左小腿未特定部位非壓迫性慢性潰瘍局限於皮膚損壞
   L97922	Non-pressure chronic ulcer of unspecified part of left lower leg with fat layer exposed
	左小腿未特定部位非壓迫性慢性潰瘍伴有脂肪層暴露
   L97923	Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of muscle
	左小腿未特定部位非壓迫性慢性潰瘍伴有肌肉壞死
   L97924	Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of bone
	左小腿未特定部位非壓迫性慢性潰瘍伴有骨壞死
   L97929	Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity
	左小腿未特定部位非壓迫性慢性潰瘍未特定嚴重程度
L98	Other disorders of skin and subcutaneous tissue, not elsewhere classified
	皮膚及皮下組織的其他疾患，無其他分類
 L980	Pyogenic granuloma
	化膿性肉芽腫
 L981	Factitial dermatitis
	人為皮膚炎
 L982	Febrile neutrophilic dermatosis [Sweet]
	發熱性嗜中性球增生皮膚病(舒威特氏徵候群)
 L983	Eosinophilic cellulitis [Wells]
	嗜伊紅球性蜂窩組織炎
 L984	Non-pressure chronic ulcer of skin, not elsewhere classified
	皮膚的非壓迫性慢性潰瘍，無其他分類
  L9841	Non-pressure chronic ulcer of buttock
	臀部非壓迫性慢性潰瘍
   L98411	Non-pressure chronic ulcer of buttock limited to breakdown of skin
	臀部非壓迫性慢性潰瘍局限於皮膚損壞
   L98412	Non-pressure chronic ulcer of buttock with fat layer exposed
	臀部非壓迫性慢性潰瘍與脂肪層暴露
   L98413	Non-pressure chronic ulcer of buttock with necrosis of muscle
	臀部非壓迫性慢性潰瘍與肌肉壞死
   L98414	Non-pressure chronic ulcer of buttock with necrosis of bone
	臀部非壓迫性慢性潰瘍與骨壞死
   L98419	Non-pressure chronic ulcer of buttock with unspecified severity
	臀部非壓迫性慢性潰瘍未特定嚴重程度
  L9842	Non-pressure chronic ulcer of back
	背部非壓迫性慢性潰瘍
   L98421	Non-pressure chronic ulcer of back limited to breakdown of skin
	背部非壓迫性慢性潰瘍局限於皮膚損壞
   L98422	Non-pressure chronic ulcer of back with fat layer exposed
	背部非壓迫性慢性潰瘍與脂肪層暴露
   L98423	Non-pressure chronic ulcer of back with necrosis of muscle
	背部非壓迫性慢性潰瘍與肌肉壞死
   L98424	Non-pressure chronic ulcer of back with necrosis of bone
	背部非壓迫性慢性潰瘍與骨壞死
   L98429	Non-pressure chronic ulcer of back with unspecified severity
	背部非壓迫性慢性潰瘍未特定嚴重程度
  L9849	Non-pressure chronic ulcer of skin of other sites
	其他部位的皮膚非壓迫性慢性潰瘍
   L98491	Non-pressure chronic ulcer of skin of other sites limited to breakdown of skin
	其他部位的皮膚非壓迫性慢性潰瘍局限於皮膚損壞
   L98492	Non-pressure chronic ulcer of skin of other sites with fat layer exposed
	其他部位的皮膚非壓迫性慢性潰瘍伴有脂肪層暴露
   L98493	Non-pressure chronic ulcer of skin of other sites with necrosis of muscle
	其他部位的皮膚非壓迫性慢性潰瘍伴有肌肉壞死
   L98494	Non-pressure chronic ulcer of skin of other sites with necrosis of bone
	其他部位的皮膚非壓迫性慢性潰瘍伴有骨壞死
   L98499	Non-pressure chronic ulcer of skin of other sites with unspecified severity
	其他部位的皮膚非壓迫性慢性潰瘍未特定嚴重程度
 L985	Mucinosis of the skin
	皮膚的黏液素病
 L986	Other infiltrative disorders of the skin and subcutaneous tissue
	皮膚及皮下組織的其他浸潤疾患
 L988	Other specified disorders of the skin and subcutaneous tissue
	皮膚及皮下組織的其他特定疾患
 L989	Disorder of the skin and subcutaneous tissue, unspecified
	皮膚及皮下組織疾患，未特定
L99	Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
	歸類於他處疾病所致之皮膚及皮下組織其他疾患
