S00	Superficial injury of head
	右手肱骨幹橫斷非移位閉鎖性骨折之初期照護
    S42324B	Nondisplaced transverse fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹橫斷非移位開放性骨折之初期照護
    S42324D	Nondisplaced transverse fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹橫斷非移位性骨折癒合之後續照護
    S42324G	Nondisplaced transverse fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹橫斷非移位性骨折延遲癒合之後續照護
    S42324K	Nondisplaced transverse fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹橫斷非移位性骨折未癒合之後續照護
    S42324P	Nondisplaced transverse fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹橫斷非移位性骨折癒合不良之後續照護
    S42324S	Nondisplaced transverse fracture of shaft of humerus, right arm, sequela
	右手肱骨幹橫斷非移位性骨折之後遺症
   S42325	Nondisplaced transverse fracture of shaft of humerus, left arm A, K, P, B
	左手肱骨幹橫斷非移位閉鎖性骨折
    S42325A	Nondisplaced transverse fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹橫斷非移位閉鎖性骨折之初期照護
    S42325B	Nondisplaced transverse fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹橫斷非移位開放性骨折之初期照護
    S42325D	Nondisplaced transverse fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹橫斷非移位性骨折癒合之後續照護
    S42325G	Nondisplaced transverse fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹橫斷非移位性骨折延遲癒合之後續照護
    S42325K	Nondisplaced transverse fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹橫斷非移位性骨折未癒合之後續照護
    S42325P	Nondisplaced transverse fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹橫斷非移位性骨折癒合不良之後續照護
    S42325S	Nondisplaced transverse fracture of shaft of humerus, left arm, sequela
	左手肱骨幹橫斷非移位性骨折之後遺症
   S42326	Nondisplaced transverse fracture of shaft of humerus, unspecified arm A, K, P, B
	未特定側性肱骨幹橫斷非移位閉鎖性骨折
    S42326A	Nondisplaced transverse fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹橫斷非移位閉鎖性骨折之初期照護
    S42326B	Nondisplaced transverse fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹橫斷非移位開放性骨折之初期照護
    S42326D	Nondisplaced transverse fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定側性肱骨幹橫斷非移位性骨折癒合之後續照護
    S42326G	Nondisplaced transverse fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定側性肱骨幹橫斷非移位性骨折延遲癒合之後續照護
    S42326K	Nondisplaced transverse fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
	未特定側性肱骨幹橫斷非移位性骨折未癒合之後續照護
    S42326P	Nondisplaced transverse fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定側性肱骨幹橫斷非移位性骨折癒合不良之後續照護
    S42326S	Nondisplaced transverse fracture of shaft of humerus, unspecified arm, sequela
	未特定側性肱骨幹橫斷非移位性骨折之後遺症
  S4233	Oblique fracture of shaft of humerus
	肱骨幹傾斜閉鎖性骨折
   S42331	Displaced oblique fracture of shaft of humerus, right arm A, K, P, B
	右手肱骨幹傾斜移位閉鎖性骨折
    S42331A	Displaced oblique fracture of shaft of humerus, right arm, initial encounter for closed fracture
	右手肱骨幹傾斜移位閉鎖性骨折之初期照護
    S42331B	Displaced oblique fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹傾斜移位開放性骨折之初期照護
    S42331D	Displaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹傾斜移位性骨折癒合之後續照護
    S42331G	Displaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹傾斜移位性骨折延遲癒合之後續照護
    S42331K	Displaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹傾斜移位性骨折未癒合之後續照護
    S42331P	Displaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹傾斜移位性骨折癒合不良之後續照護
    S42331S	Displaced oblique fracture of shaft of humerus, right arm, sequela
	右手肱骨幹傾斜移位性骨折之後遺症
   S42332	Displaced oblique fracture of shaft of humerus, left arm A, K, P, B
	左手肱骨幹傾斜移位閉鎖性骨折
    S42332A	Displaced oblique fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹傾斜移位閉鎖性骨折之初期照護
    S42332B	Displaced oblique fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹傾斜移位開放性骨折之初期照護
    S42332D	Displaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹傾斜移位性骨折癒合之後續照護
    S42332G	Displaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹傾斜移位性骨折延遲癒合之後續照護
    S42332K	Displaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹傾斜移位性骨折未癒合之後續照護
    S42332P	Displaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹傾斜移位性骨折癒合不良之後續照護
    S42332S	Displaced oblique fracture of shaft of humerus, left arm, sequela
	左手肱骨幹傾斜移位性骨折之後遺症
   S42333	Displaced oblique fracture of shaft of humerus, unspecified arm A, K, P, B
	未特定側性肱骨幹傾斜移位閉鎖性骨折
    S42333A	Displaced oblique fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹傾斜移位閉鎖性骨折之初期照護
    S42333B	Displaced oblique fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹傾斜移位開放性骨折之初期照護
    S42333D	Displaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定側性肱骨幹傾斜移位性骨折癒合之後續照護
    S42333G	Displaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定側性肱骨幹傾斜移位性骨折延遲癒合之後續照護
    S42333K	Displaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
	未特定側性肱骨幹傾斜移位性骨折未癒合之後續照護
    S42333P	Displaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定側性肱骨幹傾斜移位性骨折癒合不良之後續照護
    S42333S	Displaced oblique fracture of shaft of humerus, unspecified arm, sequela
	未特定側性肱骨幹傾斜移位性骨折之後遺症
   S42334	Nondisplaced oblique fracture of shaft of humerus, right arm A, K, P, B
	右手肱骨幹傾斜非移位閉鎖性骨折
    S42334A	Nondisplaced oblique fracture of shaft of humerus, right arm, initial encounter for closed fracture
	右手肱骨幹傾斜非移位閉鎖性骨折之初期照護
    S42334B	Nondisplaced oblique fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹傾斜非移位開放性骨折之初期照護
    S42334D	Nondisplaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹傾斜非移位性骨折癒合之後續照護
    S42334G	Nondisplaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹傾斜非移位性骨折延遲癒合之後續照護
    S42334K	Nondisplaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹傾斜非移位性骨折未癒合之後續照護
    S42334P	Nondisplaced oblique fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹傾斜非移位性骨折癒合不良之後續照護
    S42334S	Nondisplaced oblique fracture of shaft of humerus, right arm, sequela
	右手肱骨幹傾斜非移位性骨折之後遺症
   S42335	Nondisplaced oblique fracture of shaft of humerus, left arm A, K, P, B
	左手肱骨幹傾斜非移位閉鎖性骨折
    S42335A	Nondisplaced oblique fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹傾斜非移位閉鎖性骨折之初期照護
    S42335B	Nondisplaced oblique fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹傾斜非移位開放性骨折之初期照護
    S42335D	Nondisplaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹傾斜非移位性骨折癒合之後續照護
    S42335G	Nondisplaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹傾斜非移位性骨折延遲癒合之後續照護
    S42335K	Nondisplaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹傾斜非移位性骨折未癒合之後續照護
    S42335P	Nondisplaced oblique fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹傾斜非移位性骨折癒合不良之後續照護
    S42335S	Nondisplaced oblique fracture of shaft of humerus, left arm, sequela
	左手肱骨幹傾斜非移位性骨折之後遺症
   S42336	Nondisplaced oblique fracture of shaft of humerus, unspecified arm A, K, P, B
	未特定側性肱骨幹傾斜非移位閉鎖性骨折
    S42336A	Nondisplaced oblique fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹傾斜非移位閉鎖性骨折之初期照護
    S42336B	Nondisplaced oblique fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹傾斜非移位開放性骨折之初期照護
    S42336D	Nondisplaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定側性肱骨幹傾斜非移位性骨折癒合之後續照護
    S42336G	Nondisplaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定側性肱骨幹傾斜非移位性骨折延遲癒合之後續照護
    S42336K	Nondisplaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
	未特定側性肱骨幹傾斜非移位性骨折未癒合之後續照護
    S42336P	Nondisplaced oblique fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定側性肱骨幹傾斜非移位性骨折癒合不良之後續照護
    S42336S	Nondisplaced oblique fracture of shaft of humerus, unspecified arm, sequela
	未特定側性肱骨幹傾斜非移位性骨折之後遺症
  S4234	Spiral fracture of shaft of humerus
	肱骨幹螺旋閉鎖性骨折
   S42341	Displaced spiral fracture of shaft of humerus, right arm B
	右手肱骨幹螺旋移位閉鎖性骨折
    S42341A	Displaced spiral fracture of shaft of humerus, right arm, initial encounter for closed fracture
	右手肱骨幹螺旋移位閉鎖性骨折之初期照護
    S42341B	Displaced spiral fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹螺旋移位開放性骨折之初期照護
    S42341D	Displaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹螺旋移位性骨折癒合之後續照護
    S42341G	Displaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹螺旋移位性骨折延遲癒合之後續照護
    S42341K	Displaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹螺旋移位性骨折未癒合之後續照護
    S42341P	Displaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹螺旋移位性骨折癒合不良之後續照護
    S42341S	Displaced spiral fracture of shaft of humerus, right arm, sequela
	右手肱骨幹螺旋移位性骨折之後遺症
   S42342	Displaced spiral fracture of shaft of humerus, left arm B
	左手肱骨幹螺旋移位閉鎖性骨折
    S42342A	Displaced spiral fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹螺旋移位閉鎖性骨折之初期照護
    S42342B	Displaced spiral fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹螺旋移位開放性骨折之初期照護
    S42342D	Displaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹螺旋移位性骨折癒合之後續照護
    S42342G	Displaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹螺旋移位性骨折延遲癒合之後續照護
    S42342K	Displaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹螺旋移位性骨折未癒合之後續照護
    S42342P	Displaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹螺旋移位性骨折癒合不良之後續照護
    S42342S	Displaced spiral fracture of shaft of humerus, left arm, sequela
	左手肱骨幹螺旋移位性骨折之後遺症
   S42343	Displaced spiral fracture of shaft of humerus, unspecified arm B
	未特定側性肱骨幹螺旋移位閉鎖性骨折
    S42343A	Displaced spiral fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹螺旋移位閉鎖性骨折之初期照護
    S42343B	Displaced spiral fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹螺旋移位開放性骨折之初期照護
    S42343D	Displaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定側性肱骨幹螺旋移位性骨折癒合之後續照護
    S42343G	Displaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定側性肱骨幹螺旋移位性骨折延遲癒合之後續照護
    S42343K	Displaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
	未特定側性肱骨幹螺旋移位性骨折未癒合之後續照護
    S42343P	Displaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定側性肱骨幹螺旋移位性骨折癒合不良之後續照護
    S42343S	Displaced spiral fracture of shaft of humerus, unspecified arm, sequela
	未特定側性肱骨幹螺旋移位性骨折之後遺症
   S42344	Nondisplaced spiral fracture of shaft of humerus, right arm B
	右手肱骨幹螺旋非移位閉鎖性骨折
    S42344A	Nondisplaced spiral fracture of shaft of humerus, right arm, initial encounter for closed fracture
	右手肱骨幹螺旋非移位閉鎖性骨折之初期照護
    S42344B	Nondisplaced spiral fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹螺旋非移位開放性骨折之初期照護
    S42344D	Nondisplaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹螺旋非移位性骨折癒合之後續照護
    S42344G	Nondisplaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹螺旋非移位性骨折延遲癒合之後續照護
    S42344K	Nondisplaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹螺旋非移位性骨折未癒合之後續照護
    S42344P	Nondisplaced spiral fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹螺旋非移位性骨折癒合不良之後續照護
    S42344S	Nondisplaced spiral fracture of shaft of humerus, right arm, sequela
	右手肱骨幹螺旋非移位性骨折之後遺症
   S42345	Nondisplaced spiral fracture of shaft of humerus, left arm B
	左手肱骨幹螺旋非移位閉鎖性骨折
    S42345A	Nondisplaced spiral fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹螺旋非移位閉鎖性骨折之初期照護
    S42345B	Nondisplaced spiral fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹螺旋非移位開放性骨折之初期照護
    S42345D	Nondisplaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹螺旋非移位性骨折癒合之後續照護
    S42345G	Nondisplaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹螺旋非移位性骨折延遲癒合之後續照護
    S42345K	Nondisplaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹螺旋非移位性骨折未癒合之後續照護
    S42345P	Nondisplaced spiral fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹螺旋非移位性骨折癒合不良之後續照護
    S42345S	Nondisplaced spiral fracture of shaft of humerus, left arm, sequela
	左手肱骨幹螺旋非移位性骨折之後遺症
   S42346	Nondisplaced spiral fracture of shaft of humerus, unspecified arm B
	未特定側性肱骨幹螺旋非移位閉鎖性骨折
    S42346A	Nondisplaced spiral fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹螺旋非移位閉鎖性骨折之初期照護
    S42346B	Nondisplaced spiral fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹螺旋非移位開放性骨折之初期照護
    S42346D	Nondisplaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定側性肱骨幹螺旋非移位性骨折癒合之後續照護
    S42346G	Nondisplaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定側性肱骨幹螺旋非移位性骨折延遲癒合之後續照護
    S42346K	Nondisplaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
	未特定側性肱骨幹螺旋非移位性骨折未癒合之後續照護
    S42346P	Nondisplaced spiral fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定側性肱骨幹螺旋非移位性骨折癒合不良之後續照護
    S42346S	Nondisplaced spiral fracture of shaft of humerus, unspecified arm, sequela
	未特定側性肱骨幹螺旋非移位性骨折之後遺症
  S4235	Comminuted fracture of shaft of humerus
	肱骨幹碎裂性閉鎖性骨折
   S42351	Displaced comminuted fracture of shaft of humerus, right arm B
	右手肱骨幹碎裂移位性閉鎖性骨折
    S42351A	Displaced comminuted fracture of shaft of humerus, right arm, initial encounter for closed fracture
	右手肱骨幹碎裂移位性閉鎖性骨折之初期照護
    S42351B	Displaced comminuted fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹碎裂移位性開放性骨折之初期照護
    S42351D	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹碎裂移位性骨折癒合之後續照護
    S42351G	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹碎裂移位性骨折延遲癒合之後續照護
    S42351K	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹碎裂移位性骨折未癒合之後續照護
    S42351P	Displaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹碎裂移位性骨折癒合不良之後續照護
    S42351S	Displaced comminuted fracture of shaft of humerus, right arm, sequela
	右手肱骨幹碎裂移位性骨折之後遺症
   S42352	Displaced comminuted fracture of shaft of humerus, left arm B
	左手肱骨幹碎裂移位性閉鎖性骨折
    S42352A	Displaced comminuted fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹碎裂移位性閉鎖性骨折之初期照護
    S42352B	Displaced comminuted fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹碎裂移位性開放性骨折之初期照護
    S42352D	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹碎裂移位性骨折癒合之後續照護
    S42352G	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹碎裂移位性骨折延遲癒合之後續照護
    S42352K	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹碎裂移位性骨折未癒合之後續照護
    S42352P	Displaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹碎裂移位性骨折癒合不良之後續照護
    S42352S	Displaced comminuted fracture of shaft of humerus, left arm, sequela
	左手肱骨幹碎裂移位性骨折之後遺症
   S42353	Displaced comminuted fracture of shaft of humerus, unspecified arm B
	未特定側性肱骨幹碎裂移位性閉鎖性骨折
    S42353A	Displaced comminuted fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹碎裂移位性閉鎖性骨折之初期照護
    S42353B	Displaced comminuted fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹碎裂移位性開放性骨折之初期照護
    S42353D	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定側性肱骨幹碎裂移位性骨折癒合之後續照護
    S42353G	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定側性肱骨幹碎裂移位性骨折延遲癒合之後續照護
    S42353K	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
	未特定側性肱骨幹碎裂移位性骨折未癒合之後續照護
    S42353P	Displaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定側性肱骨幹碎裂移位性骨折癒合不良之後續照護
    S42353S	Displaced comminuted fracture of shaft of humerus, unspecified arm, sequela
	未特定側性肱骨幹碎裂移位性骨折之後遺症
   S42354	Nondisplaced comminuted fracture of shaft of humerus, right arm B
	右手肱骨幹碎裂非移位性閉鎖性骨折
    S42354A	Nondisplaced comminuted fracture of shaft of humerus, right arm, initial encounter for closed fracture
	右手肱骨幹碎裂非移位性閉鎖性骨折之初期照護
    S42354B	Nondisplaced comminuted fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹碎裂非移位性開放性骨折之初期照護
    S42354D	Nondisplaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹碎裂非移位性骨折癒合之後續照護
    S42354G	Nondisplaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹碎裂非移位性骨折延遲癒合之後續照護
    S42354K	Nondisplaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹碎裂非移位性骨折未癒合之後續照護
    S42354P	Nondisplaced comminuted fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹碎裂非移位性骨折癒合不良之後續照護
    S42354S	Nondisplaced comminuted fracture of shaft of humerus, right arm, sequela
	右手肱骨幹碎裂非移位性骨折之後遺症
   S42355	Nondisplaced comminuted fracture of shaft of humerus, left arm B
	左手肱骨幹碎裂非移位性閉鎖性骨折
    S42355A	Nondisplaced comminuted fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹碎裂非移位性閉鎖性骨折之初期照護
    S42355B	Nondisplaced comminuted fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹碎裂非移位性開放性骨折之初期照護
    S42355D	Nondisplaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹碎裂非移位性骨折癒合之後續照護
    S42355G	Nondisplaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹碎裂非移位性骨折延遲癒合之後續照護
    S42355K	Nondisplaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹碎裂非移位性骨折未癒合之後續照護
    S42355P	Nondisplaced comminuted fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹碎裂非移位性骨折癒合不良之後續照護
    S42355S	Nondisplaced comminuted fracture of shaft of humerus, left arm, sequela
	左手肱骨幹碎裂非移位性骨折之後遺症
   S42356	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm B
	未特定側性肱骨幹碎裂非移位性閉鎖性骨折
    S42356A	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹碎裂非移位性閉鎖性骨折之初期照護
    S42356B	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹碎裂非移位性開放性骨折之初期照護
    S42356D	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定側性肱骨幹碎裂非移位性骨折癒合之後續照護
    S42356G	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定側性肱骨幹碎裂非移位性骨折延遲癒合之後續照護
    S42356K	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
	未特定側性肱骨幹碎裂非移位性骨折未癒合之後續照護
    S42356P	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定側性肱骨幹碎裂非移位性骨折癒合不良之後續照護
    S42356S	Nondisplaced comminuted fracture of shaft of humerus, unspecified arm, sequela
	未特定側性肱骨幹碎裂非移位性骨折之後遺症
  S4236	Segmental fracture of shaft of humerus
	肱骨幹區段性閉鎖性骨折
   S42361	Displaced segmental fracture of shaft of humerus, right arm B
	右手肱骨幹區段移位性閉鎖性骨折
    S42361A	Displaced segmental fracture of shaft of humerus, right arm, initial encounter for closed fracture
	右手肱骨幹區段移位性閉鎖性骨折之初期照護
    S42361B	Displaced segmental fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹區段移位性開放性骨折之初期照護
    S42361D	Displaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹區段移位性骨折癒合之後續照護
    S42361G	Displaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹區段移位性骨折延遲癒合之後續照護
    S42361K	Displaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹區段移位性骨折未癒合之後續照護
    S42361P	Displaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹區段移位性骨折癒合不良之後續照護
    S42361S	Displaced segmental fracture of shaft of humerus, right arm, sequela
	右手肱骨幹區段移位性骨折之後遺症
   S42362	Displaced segmental fracture of shaft of humerus, left arm B
	左手肱骨幹區段移位性閉鎖性骨折
    S42362A	Displaced segmental fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹區段移位性閉鎖性骨折之初期照護
    S42362B	Displaced segmental fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹區段移位性開放性骨折之初期照護
    S42362D	Displaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹區段移位性骨折癒合之後續照護
    S42362G	Displaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹區段移位性骨折延遲癒合之後續照護
    S42362K	Displaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹區段移位性骨折未癒合之後續照護
    S42362P	Displaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹區段移位性骨折癒合不良之後續照護
    S42362S	Displaced segmental fracture of shaft of humerus, left arm, sequela
	左手肱骨幹區段移位性骨折之後遺症
   S42363	Displaced segmental fracture of shaft of humerus, unspecified arm B
	未特定側性肱骨幹區段移位性閉鎖性骨折
    S42363A	Displaced segmental fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹區段移位性閉鎖性骨折之初期照護
    S42363B	Displaced segmental fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹區段移位性開放性骨折之初期照護
    S42363D	Displaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定側性肱骨幹區段移位性骨折癒合之後續照護
    S42363G	Displaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定側性肱骨幹區段移位性骨折延遲癒合之後續照護
    S42363K	Displaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
