H00	Hordeolum and chalazion
   H21309	Idiopathic cysts of iris, ciliary body or anterior chamber, unspecified eye
	未特定側性虹膜，睫狀體或前房原發性囊腫
  H2131	Exudative cysts of iris or anterior chamber
	虹膜或前房滲出性囊腫
   H21311	Exudative cysts of iris or anterior chamber, right eye
	右眼虹膜或前房滲出性囊腫
   H21312	Exudative cysts of iris or anterior chamber, left eye
	左眼虹膜或前房滲出性囊腫
   H21313	Exudative cysts of iris or anterior chamber, bilateral
	雙側虹膜或前房滲出性囊腫
   H21319	Exudative cysts of iris or anterior chamber, unspecified eye
	未特定側性虹膜或前房滲出性囊腫
  H2132	Implantation cysts of iris, ciliary body or anterior chamber
	虹膜，睫狀體或前房植入性囊腫
   H21321	Implantation cysts of iris, ciliary body or anterior chamber, right eye
	右眼虹膜，睫狀體或前房植入性囊腫
   H21322	Implantation cysts of iris, ciliary body or anterior chamber, left eye
	左眼虹膜，睫狀體或前房植入性囊腫
   H21323	Implantation cysts of iris, ciliary body or anterior chamber, bilateral
	雙側虹膜，睫狀體或前房植入性囊腫
   H21329	Implantation cysts of iris, ciliary body or anterior chamber, unspecified eye
	未特定側性虹膜，睫狀體或前房植入性囊腫
  H2133	Parasitic cyst of iris, ciliary body or anterior chamber
	虹膜、睫狀體或前房寄生蟲性囊腫
   H21331	Parasitic cyst of iris, ciliary body or anterior chamber, right eye
	右眼寄生蟲性虹膜、睫狀體或前房囊腫
   H21332	Parasitic cyst of iris, ciliary body or anterior chamber, left eye
	左眼寄生蟲性虹膜、睫狀體或前房囊腫
   H21333	Parasitic cyst of iris, ciliary body or anterior chamber, bilateral
	雙側寄生蟲性虹膜、睫狀體或前房囊腫
   H21339	Parasitic cyst of iris, ciliary body or anterior chamber, unspecified eye
	未特定側性寄生蟲性虹膜、睫狀體或前房囊腫
  H2134	Primary cyst of pars plana
	睫狀體扁平部原發性囊腫
   H21341	Primary cyst of pars plana, right eye
	右眼睫狀體扁平部原發性囊腫
   H21342	Primary cyst of pars plana, left eye
	左眼睫狀體扁平部原發性囊腫
   H21343	Primary cyst of pars plana, bilateral
	雙側睫狀體扁平部原發性囊腫
   H21349	Primary cyst of pars plana, unspecified eye
	未特定側性睫狀體扁平部原發性囊腫
  H2135	Exudative cyst of pars plana
	睫狀體扁平部滲出性囊腫
   H21351	Exudative cyst of pars plana, right eye
	右眼睫狀體扁平部滲出性囊腫
   H21352	Exudative cyst of pars plana, left eye
	左眼睫狀體扁平部滲出性囊腫
   H21353	Exudative cyst of pars plana, bilateral
	雙側睫狀體扁平部滲出性囊腫
   H21359	Exudative cyst of pars plana, unspecified eye
	未特定側性睫狀體扁平部滲出性囊腫
 H214	Pupillary membranes
	瞳孔膜
  H2140	Pupillary membranes, unspecified eye
	未特定側性瞳孔膜
  H2141	Pupillary membranes, right eye
	右眼瞳孔膜
  H2142	Pupillary membranes, left eye
	左眼瞳孔膜
  H2143	Pupillary membranes, bilateral
	雙側瞳孔膜
 H215	Other and unspecified adhesions and disruprions of iris and ciliary body
	虹膜及睫狀體其他及未特定黏連及破裂
  H2150	Unspecified adhesions of iris
	虹膜黏連
   H21501	Unspecified adhesions of iris, right eye
	右眼虹膜黏連
   H21502	Unspecified adhesions of iris, left eye
	左眼虹膜黏連
   H21503	Unspecified adhesions of iris, bilateral
	雙側虹膜黏連
   H21509	Unspecified adhesions of iris and ciliary body, unspecified eye
	未特定側性虹膜及睫狀體黏連
  H2151	Anterior synechiae (iris)
	虹膜前黏連
   H21511	Anterior synechiae (iris), right eye
	右眼虹膜前黏連
   H21512	Anterior synechiae (iris), left eye
	左眼虹膜前黏連
   H21513	Anterior synechiae (iris), bilateral
	雙側虹膜前黏連
   H21519	Anterior synechiae (iris), unspecified eye
	未特定側性虹膜前黏連
  H2152	Goniosynechiae
	隅角虹膜黏連
   H21521	Goniosynechiae, right eye
	右眼隅角虹膜黏連
   H21522	Goniosynechiae, left eye
	左眼隅角虹膜黏連
   H21523	Goniosynechiae, bilateral
	雙側隅角虹膜黏連
   H21529	Goniosynechiae, unspecified eye
	未特定側性隅角虹膜黏連
  H2153	Iridodialysis
	虹膜分離
   H21531	Iridodialysis, right eye
	右眼虹膜分離
   H21532	Iridodialysis, left eye
	左眼虹膜分離
   H21533	Iridodialysis, bilateral
	雙側虹膜分離
   H21539	Iridodialysis, unspecified eye
	未特定側性虹膜分離
  H2154	Posterior synechiae (iris)
	虹膜後黏連
   H21541	Posterior synechiae (iris), right eye
	右眼虹膜後黏連
   H21542	Posterior synechiae (iris), left eye
	左眼虹膜後黏連
   H21543	Posterior synechiae (iris), bilateral
	雙側虹膜後黏連
   H21549	Posterior synechiae (iris), unspecified eye
	未特定側性虹膜後黏連
  H2155	Recession of chamber angle
	前房隅角退縮
   H21551	Recession of chamber angle, right eye
	右眼前房隅角退縮
   H21552	Recession of chamber angle, left eye
	左眼前房隅角退縮
   H21553	Recession of chamber angle, bilateral
	雙側前房隅角退縮
   H21559	Recession of chamber angle, unspecified eye
	未特定側性前房隅角退縮
  H2156	Pupillary abnormalities
	瞳孔異常
   H21561	Pupillary abnormality, right eye
	右眼瞳孔異常
   H21562	Pupillary abnormality, left eye
	左眼瞳孔異常
   H21563	Pupillary abnormality, bilateral
	雙側瞳孔異常
   H21569	Pupillary abnormality, unspecified eye
	未特定側性瞳孔異常
 H218	Other specified disorders of iris and ciliary body
	虹膜及睫狀體之其他特定疾患
  H2181	Floppy iris syndrome
	跳動虹膜症候群
  H2182	Plateau iris syndrome (post-iridectomy) (postprocedural)
	高原型虹膜症候群(虹膜切除後)(術後)
  H2189	Other specified disorders of iris and ciliary body
	虹膜及睫狀體之其他特定疾患
 H219	Unspecified disorder of iris and ciliary body
	虹膜及睫狀體疾患
H22	Disorders of iris and ciliary body in diseases classified elsewhere
	歸類於他處疾病所致之虹膜及睫狀體疾患
H25	Age-related cataract
	老年性白內障
 H250	Age-related incipient cataract
	初期老年性白內障
  H2501	Cortical age-related cataract
	皮質老年性白內障
   H25011	Cortical age-related cataract, right eye
	右眼皮質老年性白內障
   H25012	Cortical age-related cataract, left eye
	左眼皮質老年性白內障
   H25013	Cortical age-related cataract, bilateral
	雙側皮質老年性白內障
   H25019	Cortical age-related cataract, unspecified eye
	未特定側性皮質老年性白內障
  H2503	Anterior subcapsular polar age-related cataract
	前囊下極性老年性白內障
   H25031	Anterior subcapsular polar age-related cataract, right eye
	右眼前囊下極性老年性白內障
   H25032	Anterior subcapsular polar age-related cataract, left eye
	左眼前囊下極性老年性白內障
   H25033	Anterior subcapsular polar age-related cataract, bilateral
	雙側前囊下極性老年性白內障
   H25039	Anterior subcapsular polar age-related cataract, unspecified eye
	未特定側性前囊下極性老年性白內障
  H2504	Posterior subcapsular polar age-related cataract
	後囊下極性老年性白內障
   H25041	Posterior subcapsular polar age-related cataract, right eye
	右眼後囊下極性老年性白內障
   H25042	Posterior subcapsular polar age-related cataract, left eye
	左眼後囊下極性老年性白內障
   H25043	Posterior subcapsular polar age-related cataract, bilateral
	雙側後囊下極性老年性白內障
   H25049	Posterior subcapsular polar age-related cataract, unspecified eye
	未特定側性後囊下極性老年性白內障
  H2509	Other age-related incipient cataract
	其他初期老年性白內障
   H25091	Other age-related incipient cataract, right eye
	右眼初期老年性白內障
   H25092	Other age-related incipient cataract, left eye
	左眼初期老年性白內障
   H25093	Other age-related incipient cataract, bilateral
	雙側初期老年性白內障
   H25099	Other age-related incipient cataract, unspecified eye
	未特定側性初期老年性白內障
 H251	Age-related nuclear cataract
	核性老年性白內障
  H2510	Age-related nuclear cataract, unspecified eye
	未特定側性核性老年性白內障
  H2511	Age-related nuclear cataract, right eye
	右眼核性老年性白內障
  H2512	Age-related nuclear cataract, left eye
	左眼核性老年性白內障
  H2513	Age-related nuclear cataract, bilateral
	雙側核性老年性白內障
 H252	Age-related cataract, morgagnian type
	老年性過熟期白內障
  H2520	Age-related cataract, morgagnian type, unspecified eye
	未特定側性老年性過熟期白內障, morgagnian type
  H2521	Age-related cataract, morgagnian type, right eye
	右眼老年性過熟期白內障, morgagnian type
  H2522	Age-related cataract, morgagnian type, left eye
	左眼老年性過熟期白內障, morgagnian type
  H2523	Age-related cataract, morgagnian type, bilateral
	雙側老年性過熟期白內障, morgagnian type
 H258	Other age-related cataract
	其他老年性白內障
  H2581	Combined forms of age-related cataract
	混合型之老年性白內障
   H25811	Combined forms of age-related cataract, right eye
	右眼混合型之老年性白內障
   H25812	Combined forms of age-related cataract, left eye
	左眼混合型之老年性白內障
   H25813	Combined forms of age-related cataract, bilateral
	雙側混合型之老年性白內障
   H25819	Combined forms of age-related cataract, unspecified eye
	未特定側性混合型之老年性白內障
  H2589	Other age-related cataract
	其他老年性白內障
 H259	Unspecified age-related cataract
	老年性白內障
H26	Other cataract
	其他白內障
 H260	Infantile and juvenile cataract
	嬰兒及幼年型白內障
  H2600	Unspecified infantile and juvenile cataract
	嬰兒及幼年型白內障
   H26001	Unspecified infantile and juvenile cataract, right eye
	右眼嬰兒、幼年及老年前期白內障
   H26002	Unspecified infantile and juvenile cataract, left eye
	左眼嬰兒、幼年及老年前期白內障
   H26003	Unspecified infantile and juvenile cataract, bilateral
	雙側嬰兒、幼年及老年前期白內障
   H26009	Unspecified infantile and juvenile cataract, unspecified eye
	未特定側性嬰兒、幼年及老年前期白內障
  H2601	Infantile and juvenile cortical, lamellar, or zonular cataract
	嬰兒、幼年皮質，層狀或板層狀白內障
   H26011	Infantile and juvenile cortical, lamellar, or zonular cataract, right eye
	右眼嬰兒、幼年皮質，層狀或板層狀白內障
   H26012	Infantile and juvenile cortical, lamellar, or zonular cataract, left eye
	左眼嬰兒、幼年皮質，層狀或板層狀白內障
   H26013	Infantile and juvenile cortical, lamellar, or zonular cataract, bilateral
	雙側嬰兒、幼年皮質，層狀或板層狀白內障
   H26019	Infantile and juvenile cortical, lamellar, or zonular cataract, unspecified eye
	未特定側性嬰兒、幼年皮質，層狀或板層狀白內障
  H2603	Infantile and juvenile nuclear cataract
	嬰兒、幼年核性白內障
   H26031	Infantile and juvenile nuclear cataract, right eye
	右眼嬰兒、幼年核性白內障
   H26032	Infantile and juvenile nuclear cataract, left eye
	左眼嬰兒、幼年核性白內障
   H26033	Infantile and juvenile nuclear cataract, bilateral
	雙側嬰兒、幼年核性白內障
   H26039	Infantile and juvenile nuclear cataract, unspecified eye
	未特定側性嬰兒、幼年核性白內障
  H2604	Anterior subcapsular polar infantile and juvenile cataract
	嬰兒、幼年前囊下極性白內障
   H26041	Anterior subcapsular polar infantile and juvenile cataract, right eye
	右眼嬰兒、幼年前囊下極性白內障
   H26042	Anterior subcapsular polar infantile and juvenile cataract, left eye
	左眼嬰兒、幼年前囊下極性白內障
   H26043	Anterior subcapsular polar infantile and juvenile cataract, bilateral
	雙側嬰兒、幼年前囊下極性白內障
   H26049	Anterior subcapsular polar infantile and juvenile cataract, unspecified eye
	未特定側性嬰兒、幼年前囊下極性白內障
  H2605	Posterior subcapsular polar infantile and juvenile cataract
	嬰兒、幼年後囊下極性白內障
   H26051	Posterior subcapsular polar infantile and juvenile cataract, right eye
	右眼嬰兒、幼年後囊下極性白內障
   H26052	Posterior subcapsular polar infantile and juvenile cataract, left eye
	左眼嬰兒、幼年後囊下極性白內障
   H26053	Posterior subcapsular polar infantile and juvenile cataract, bilateral
	雙側嬰兒、幼年後囊下極性白內障
   H26059	Posterior subcapsular polar infantile and juvenile cataract, unspecified eye
	未特定側性嬰兒、幼年後囊下極性白內障
  H2606	Combined forms of infantile and juvenile cataract
	嬰兒、幼年混合型白內障
   H26061	Combined forms of infantile and juvenile cataract, right eye
	右眼嬰兒、幼年混合型之非老年性白內障
   H26062	Combined forms of infantile and juvenile cataract, left eye
	左眼嬰兒、幼年混合型之非老年性白內障
   H26063	Combined forms of infantile and juvenile cataract, bilateral
	雙側嬰兒、幼年混合型之非老年性白內障
   H26069	Combined forms of infantile and juvenile cataract, unspecified eye
	未特定側性嬰兒、幼年混合型之非老年性白內障
  H2609	Other infantile and juvenile cataract
	其他嬰兒、幼年白內障
 H261	Traumatic cataract
	外傷性白內障
  H2610	Unspecified traumatic cataract
	外傷性白內障
   H26101	Unspecified traumatic cataract, right eye
	右眼外傷性白內障
   H26102	Unspecified traumatic cataract, left eye
	左眼外傷性白內障
   H26103	Unspecified traumatic cataract, bilateral
	雙側外傷性白內障
   H26109	Unspecified traumatic cataract, unspecified eye
	未特定側性外傷性白內障
  H2611	Localized traumatic opacities
	局部外傷性水晶體混濁
   H26111	Localized traumatic opacities, right eye
	右眼局部外傷性水晶體混濁
   H26112	Localized traumatic opacities, left eye
	左眼局部外傷性水晶體混濁
   H26113	Localized traumatic opacities, bilateral
	雙側局部外傷性水晶體混濁
   H26119	Localized traumatic opacities, unspecified eye
	未特定側性局部外傷性水晶體混濁
  H2612	Partially resolved traumatic cataract
	部份吸收之外傷性白內障
   H26121	Partially resolved traumatic cataract, right eye
	右眼部份吸收之外傷性白內障
   H26122	Partially resolved traumatic cataract, left eye
	左眼部份吸收之外傷性白內障
   H26123	Partially resolved traumatic cataract, bilateral
	雙側部份吸收之外傷性白內障
   H26129	Partially resolved traumatic cataract, unspecified eye
	未特定側性部份吸收之外傷性白內障
  H2613	Total traumatic cataract
	完全外傷性白內障
   H26131	Total traumatic cataract, right eye
	右眼完全外傷性白內障
   H26132	Total traumatic cataract, left eye
	左眼完全外傷性白內障
   H26133	Total traumatic cataract, bilateral
	雙側完全外傷性白內障
   H26139	Total traumatic cataract, unspecified eye
	未特定側性完全外傷性白內障
 H262	Complicated cataract
	併發性白內障
  H2620	Unspecified complicated cataract
	併發性白內障
  H2621	Cataract with neovascularization
	伴有新生血管之白內障
   H26211	Cataract with neovascularization, right eye
	右眼伴有新生血管之白內障
   H26212	Cataract with neovascularization, left eye
	左眼伴有新生血管之白內障
   H26213	Cataract with neovascularization, bilateral
	雙側伴有新生血管之白內障
   H26219	Cataract with neovascularization, unspecified eye
	未特定側性伴有新生血管之白內障
  H2622	Cataract secondary to ocular disorders (degenerative) (inflammatory)
	眼球疾患之續發性白內障(退化性)(發炎性)
   H26221	Cataract secondary to ocular disorders (degenerative) (inflammatory), right eye
	右眼眼球疾患之續發性白內障(退化性)(發炎性)
   H26222	Cataract secondary to ocular disorders (degenerative) (inflammatory), left eye
	左眼眼球疾患之續發性白內障(退化性)(發炎性)
   H26223	Cataract secondary to ocular disorders (degenerative) (inflammatory), bilateral
	雙側眼球疾患之續發性白內障(退化性)(發炎性)
   H26229	Cataract secondary to ocular disorders (degenerative) (inflammatory), unspecified eye
	未特定側性眼球疾患之續發性白內障(退化性)(發炎性)
  H2623	Glaucomatous flecks (subcapsular)
	青光眼性斑點（囊下的）
   H26231	Glaucomatous flecks (subcapsular), right eye
	右眼青光眼性斑點（囊下的）
   H26232	Glaucomatous flecks (subcapsular), left eye
	左眼青光眼性斑點（囊下的）
   H26233	Glaucomatous flecks (subcapsular), bilateral
	雙側青光眼性斑點（囊下的）
   H26239	Glaucomatous flecks (subcapsular), unspecified eye
	未特定側性青光眼性斑點（囊下的）
 H263	Drug-induced cataract
	藥物導致之白內障
  H2630	Drug-induced cataract, unspecified eye
	未特定側性藥物導致之白內障
  H2631	Drug-induced cataract, right eye
	右眼藥物導致之白內障
  H2632	Drug-induced cataract, left eye
	左眼藥物導致之白內障
  H2633	Drug-induced cataract, bilateral
	雙側藥物導致之白內障
 H264	Secondary cataract
	續發性白內障
  H2640	Unspecified secondary cataract
	續發性白內障
  H2641	Soemmering's ring
	Soemmering氏環白內障
   H26411	Soemmering's ring, right eye
	右眼Soemmering氏環白內障
   H26412	Soemmering's ring, left eye
	左眼Soemmering氏環白內障
   H26413	Soemmering's ring, bilateral
	雙側Soemmering氏環白內障
   H26419	Soemmering's ring, unspecified eye
	未特定側性Soemmering氏環白內障
  H2649	Other secondary cataract
	其他續發性白內障
   H26491	Other secondary cataract, right eye
	右眼其他續發性白內障
   H26492	Other secondary cataract, left eye
	左眼其他續發性白內障
   H26493	Other secondary cataract, bilateral
	雙側其他續發性白內障
   H26499	Other secondary cataract, unspecified eye
	未特定側性其他續發性白內障
 H268	Other specified cataract
	其他特定白內障
 H269	Unspecified cataract
	白內障
H27	Other disorders of lens
	其他水晶體疾患
 H270	Aphakia
	無水晶體症
  H2700	Aphakia, unspecified eye
	未特定側性無水晶體症
  H2701	Aphakia, right eye
	右眼無水晶體症
  H2702	Aphakia, left eye
	左眼無水晶體症
  H2703	Aphakia, bilateral
	雙側無水晶體症
 H271	Dislocation of lens
	水晶體脫位
  H2710	Unspecified dislocation of lens
	水晶體脫位
  H2711	Subluxation of lens
	水晶體半脫位
   H27111	Subluxation of lens, right eye
	右眼水晶體半脫位
   H27112	Subluxation of lens, left eye
	左眼水晶體半脫位
   H27113	Subluxation of lens, bilateral
	雙側水晶體半脫位
   H27119	Subluxation of lens, unspecified eye
	未特定側性水晶體半脫位
  H2712	Anterior dislocation of lens
	水晶體前脫位
   H27121	Anterior dislocation of lens, right eye
	右眼水晶體前脫位
   H27122	Anterior dislocation of lens, left eye
	左眼水晶體前脫位
   H27123	Anterior dislocation of lens, bilateral
	雙側水晶體前脫位
   H27129	Anterior dislocation of lens, unspecified eye
	未特定側性水晶體前脫位
  H2713	Posterior dislocation of lens
	水晶體後脫位
   H27131	Posterior dislocation of lens, right eye
	右眼水晶體後脫位
   H27132	Posterior dislocation of lens, left eye
	左眼水晶體後脫位
   H27133	Posterior dislocation of lens, bilateral
	雙側水晶體後脫位
   H27139	Posterior dislocation of lens, unspecified eye
	未特定側性水晶體後脫位
 H278	Other specified disorders of lens
	其他特定水晶體疾患
 H279	Unspecified disorder of lens
	水晶體疾患
H28	Cataract in diseases classified elsewhere
	歸類於他處疾病所致之白內障
H30	Chorioretinal inflammation
	脈絡膜視網膜發炎
 H300	Focal chorioretinal inflammation
	局限性脈絡膜視網膜發炎
  H3000	Unspecified focal chorioretinal inflammation
	局限性脈絡膜視網膜發炎
   H30001	Unspecified focal chorioretinal inflammation, right eye
	右眼局限性脈絡膜視網膜發炎
   H30002	Unspecified focal chorioretinal inflammation, left eye
	左眼局限性脈絡膜視網膜發炎
   H30003	Unspecified focal chorioretinal inflammation, bilateral
	雙側局限性脈絡膜視網膜發炎
   H30009	Unspecified focal chorioretinal inflammation, unspecified eye
	未特定側性局限性脈絡膜視網膜發炎
  H3001	Focal chorioretinal inflammation, juxtapapillary
	乳頭周圍之局限性脈絡膜視網膜發炎
   H30011	Focal chorioretinal inflammation, juxtapapillary, right eye
	右眼乳頭周圍之局限性脈絡膜視網膜發炎
   H30012	Focal chorioretinal inflammation, juxtapapillary, left eye
	左眼乳頭周圍之局限性脈絡膜視網膜發炎
   H30013	Focal chorioretinal inflammation, juxtapapillary, bilateral
	雙側乳頭周圍之局限性脈絡膜視網膜發炎
   H30019	Focal chorioretinal inflammation, juxtapapillary, unspecified eye
	未特定側性乳頭周圍之局限性脈絡膜視網膜發炎
  H3002	Focal chorioretinal inflammation of posterior pole
	後極部之局限性脈絡膜視網膜發炎
   H30021	Focal chorioretinal inflammation of posterior pole, right eye
	右眼後極部之局限性脈絡膜視網膜發炎
   H30022	Focal chorioretinal inflammation of posterior pole, left eye
	左眼後極部之局限性脈絡膜視網膜發炎
   H30023	Focal chorioretinal inflammation of posterior pole, bilateral
	雙側後極部之局限性脈絡膜視網膜發炎
   H30029	Focal chorioretinal inflammation of posterior pole, unspecified eye
	未特定側性後極部之局限性脈絡膜視網膜發炎
  H3003	Focal chorioretinal inflammation, peripheral
	網膜周圍之局限性脈絡膜視網膜發炎
   H30031	Focal chorioretinal inflammation, peripheral, right eye
	右眼網膜周圍之局限性脈絡膜視網膜發炎
   H30032	Focal chorioretinal inflammation, peripheral, left eye
	左眼網膜周圍之局限性脈絡膜視網膜發炎
   H30033	Focal chorioretinal inflammation, peripheral, bilateral
	雙側網膜周圍之局限性脈絡膜視網膜發炎
   H30039	Focal chorioretinal inflammation, peripheral, unspecified eye
	未特定側性網膜周圍之局限性脈絡膜視網膜發炎
  H3004	Focal chorioretinal inflammation, macular or paramacular
	黃斑或黃斑旁之局限性脈絡膜視網膜發炎
   H30041	Focal chorioretinal inflammation, macular or paramacular, right eye
	右眼黃斑或黃斑旁之局限性脈絡膜視網膜發炎
   H30042	Focal chorioretinal inflammation, macular or paramacular, left eye
	左眼黃斑或黃斑旁之局限性脈絡膜視網膜發炎
   H30043	Focal chorioretinal inflammation, macular or paramacular, bilateral
	雙側黃斑或黃斑旁之局限性脈絡膜視網膜發炎
   H30049	Focal chorioretinal inflammation, macular or paramacular, unspecified eye
	未特定側性黃斑或黃斑旁之局限性脈絡膜視網膜發炎
 H301	Disseminated chorioretinal inflammation
	瀰漫性脈絡視網膜發炎
  H3010	Unspecified disseminated chorioretinal inflammation
	瀰漫性脈絡視網膜發炎
   H30101	Unspecified disseminated chorioretinal inflammation, right eye
	右眼瀰漫性脈絡視網膜發炎症
   H30102	Unspecified disseminated chorioretinal inflammation, left eye
	左眼瀰漫性脈絡視網膜發炎症
   H30103	Unspecified disseminated chorioretinal inflammation, bilateral
	雙側瀰漫性脈絡視網膜發炎症
   H30109	Unspecified disseminated chorioretinal inflammation, unspecified eye
	未特定側性瀰漫性脈絡膜視網膜炎
  H3011	Disseminated chorioretinal inflammation of posterior pole
	後極部瀰漫性脈絡視網膜發炎
   H30111	Disseminated chorioretinal inflammation of posterior pole, right eye
	右眼後極部瀰漫性脈絡視網膜發炎症
   H30112	Disseminated chorioretinal inflammation of posterior pole, left eye
	左眼後極部瀰漫性脈絡視網膜發炎症
   H30113	Disseminated chorioretinal inflammation of posterior pole, bilateral
	雙側後極部瀰漫性脈絡視網膜發炎症
   H30119	Disseminated chorioretinal inflammation of posterior pole, unspecified eye
	未特定側性後極部瀰漫性脈絡膜炎及脈絡膜視網膜炎
  H3012	Disseminated chorioretinal inflammation, peripheral
	周圍之瀰漫性脈絡膜視網膜發炎
   H30121	Disseminated chorioretinal inflammation, peripheral right eye
	右眼周圍之瀰漫性脈絡膜視網膜發炎
   H30122	Disseminated chorioretinal inflammation, peripheral, left eye
	左眼周圍之瀰漫性脈絡膜視網膜發炎
   H30123	Disseminated chorioretinal inflammation, peripheral, bilateral
	雙側周圍之瀰漫性脈絡膜視網膜發炎
   H30129	Disseminated chorioretinal inflammation, peripheral, unspecified eye
	未特定側性周圍之瀰漫性脈絡膜視網膜發炎
  H3013	Disseminated chorioretinal inflammation, generalized
	普遍的瀰漫性脈絡膜視網膜發炎
   H30131	Disseminated chorioretinal inflammation, generalized, right eye
	右眼普遍的瀰漫性脈絡膜視網膜發炎
   H30132	Disseminated chorioretinal inflammation, generalized, left eye
	左眼普遍的瀰漫性脈絡膜視網膜發炎
   H30133	Disseminated chorioretinal inflammation, generalized, bilateral
	雙側普遍的瀰漫性脈絡膜視網膜發炎
   H30139	Disseminated chorioretinal inflammation, generalized, unspecified eye
	未特定側性普遍的瀰漫性脈絡膜視網膜發炎
  H3014	Acute posterior multifocal placoid pigment epitheliopathy
	急性後極多發性盾狀色素上皮病變
   H30141	Acute posterior multifocal placoid pigment epitheliopathy, right eye
	右眼急性後極多發性盾狀色素上皮病變
   H30142	Acute posterior multifocal placoid pigment epitheliopathy, left eye
	左眼急性後極多發性盾狀色素上皮病變
   H30143	Acute posterior multifocal placoid pigment epitheliopathy, bilateral
	雙側急性後極多發性盾狀色素上皮病變
   H30149	Acute posterior multifocal placoid pigment epitheliopathy, unspecified eye
	急性後極多發性盾狀色素上皮病變
 H302	Posterior cyclitis
	睫狀體扁平部炎
  H3020	Posterior cyclitis, unspecified eye
	未特定側性睫狀體扁平部炎
  H3021	Posterior cyclitis, right eye
	右眼睫狀體扁平部炎
  H3022	Posterior cyclitis, left eye
	左眼睫狀體扁平部炎
  H3023	Posterior cyclitis, bilateral
	雙側睫狀體扁平部炎
 H308	Other chorioretinal inflammations
	其他脈絡膜視網膜發炎
  H3081	Harada's disease
	原田氏病
   H30811	Harada's disease, right eye
	右眼原田氏病
   H30812	Harada's disease, left eye
	左眼原田氏病
   H30813	Harada's disease, bilateral
	雙側原田氏病
   H30819	Harada's disease, unspecified eye
	未特定側性原田氏病
  H3089	Other chorioretinal inflammations
	其他脈絡膜視網膜發炎
   H30891	Other chorioretinal inflammations, right eye
	右眼其他脈絡膜視網膜發炎
   H30892	Other chorioretinal inflammations, left eye
	左眼其他脈絡膜視網膜發炎
   H30893	Other chorioretinal inflammations, bilateral
	雙側其他脈絡膜視網膜發炎
   H30899	Other chorioretinal inflammations, unspecified eye
	未明性側性其他脈絡膜視網膜發炎
 H309	Unspecified chorioretinal inflammation
	脈絡膜視網膜發炎
  H3090	Unspecified chorioretinal inflammation, unspecified eye
	未特定側性脈絡膜視網膜發炎
  H3091	Unspecified chorioretinal inflammation, right eye
	右眼脈絡膜視網膜發炎
  H3092	Unspecified chorioretinal inflammation, left eye
	左眼脈絡膜視網膜發炎
  H3093	Unspecified chorioretinal inflammation, bilateral
	雙側脈絡膜視網膜發炎
H31	Other disorders of choroid
	其他脈絡膜疾患
 H310	Chorioretinal scars
	脈絡膜視網膜疤痕
  H3100	Unspecified chorioretinal scars
	脈絡膜視網膜疤痕
   H31001	Unspecified chorioretinal scars, right eye
	右眼脈絡膜視網膜疤痕
   H31002	Unspecified chorioretinal scars, left eye
	左眼脈絡膜視網膜疤痕
   H31003	Unspecified chorioretinal scars, bilateral
	雙側脈絡膜視網膜疤痕
   H31009	Unspecified chorioretinal scars, unspecified eye
	未特定側性脈絡膜視網膜疤痕
  H3101	Macula scars of posterior pole (postinflammatory) (post-traumatic)
	後極部黃斑疤痕(發炎後)(創傷後)
   H31011	Macula scars of posterior pole (postinflammatory) (post-traumatic), right eye
	右眼後極部黃斑疤痕(發炎後)(創傷後)
   H31012	Macula scars of posterior pole (postinflammatory) (post-traumatic), left eye
	左眼後極部黃斑疤痕(發炎後)(創傷後)
   H31013	Macula scars of posterior pole (postinflammatory) (post-traumatic), bilateral
	雙側後極部黃斑疤痕(發炎後)(創傷後)
   H31019	Macula scars of posterior pole (postinflammatory) (post-traumatic), unspecified eye
	未特定側性後極部黃斑疤痕(發炎後)(創傷後)
  H3102	Solar retinopathy
	陽光視網膜病變
   H31021	Solar retinopathy, right eye
	右眼陽光視網膜病變
   H31022	Solar retinopathy, left eye
	左眼陽光視網膜病變
   H31023	Solar retinopathy, bilateral
	雙側陽光視網膜病變
   H31029	Solar retinopathy, unspecified eye
	未特定側性陽光視網膜病變
  H3109	Other chorioretinal scars
	其他脈絡膜視網膜疤痕
   H31091	Other chorioretinal scars, right eye
	右眼其他脈絡膜視網膜疤痕
   H31092	Other chorioretinal scars, left eye
	左眼其他脈絡膜視網膜疤痕
   H31093	Other chorioretinal scars, bilateral
	雙側其他脈絡膜視網膜疤痕
   H31099	Other chorioretinal scars, unspecified eye
	未特定側性其他脈絡膜視網膜疤痕
 H311	Choroidal degeneration
	脈絡膜退化
  H3110	Unspecified choroidal degeneration
	脈絡膜退化
   H31101	Choroidal degeneration, unspecified, right eye
	右眼脈絡膜退化
   H31102	Choroidal degeneration, unspecified, left eye
	左眼脈絡膜退化
   H31103	Choroidal degeneration, unspecified, bilateral
	雙側脈絡膜退化
   H31109	Choroidal degeneration, unspecified, unspecified eye
	未特定側性脈絡膜退化
  H3111	Age-related choroidal atrophy
	老年性脈絡膜萎縮
   H31111	Age-related choroidal atrophy, right eye
	右眼老年性脈絡膜萎縮
   H31112	Age-related choroidal atrophy, left eye
	左眼老年性脈絡膜萎縮
   H31113	Age-related choroidal atrophy, bilateral
	雙側老年性脈絡膜萎縮
   H31119	Age-related choroidal atrophy, unspecified eye
	未特定側性老年性脈絡膜萎縮
  H3112	Diffuse secondary atrophy of choroid
