M00	Pyogenic arthritis
	左側，肩部肌肉其他鈣化
   M61419	Other calcification of muscle, unspecified shoulder
	未特定側性，肩部肌肉其他鈣化
  M6142	Other calcification of muscle, upper arm
	上臂肌肉其他鈣化
   M61421	Other calcification of muscle, right upper arm
	右側，上臂肌肉其他鈣化
   M61422	Other calcification of muscle, left upper arm
	左側，上臂肌肉其他鈣化
   M61429	Other calcification of muscle, unspecified upper arm
	未特定側性，上臂肌肉其他鈣化
  M6143	Other calcification of muscle, forearm
	前臂肌肉其他鈣化
   M61431	Other calcification of muscle, right forearm
	右側，前臂肌肉其他鈣化
   M61432	Other calcification of muscle, left forearm
	左側，前臂肌肉其他鈣化
   M61439	Other calcification of muscle, unspecified forearm
	未特定側性，前臂肌肉其他鈣化
  M6144	Other calcification of muscle, hand
	手部肌肉其他鈣化
   M61441	Other calcification of muscle, right hand
	右側，手部肌肉其他鈣化
   M61442	Other calcification of muscle, left hand
	左側，手部肌肉其他鈣化
   M61449	Other calcification of muscle, unspecified hand
	未特定側性，手部肌肉其他鈣化
  M6145	Other calcification of muscle, thigh
	大腿肌肉其他鈣化
   M61451	Other calcification of muscle, right thigh
	右側，大腿肌肉其他鈣化
   M61452	Other calcification of muscle, left thigh
	左側，大腿肌肉其他鈣化
   M61459	Other calcification of muscle, unspecified thigh
	未特定側性，大腿肌肉其他鈣化
  M6146	Other calcification of muscle, lower leg
	小腿肌肉其他鈣化
   M61461	Other calcification of muscle, right lower leg
	右側，小腿肌肉其他鈣化
   M61462	Other calcification of muscle, left lower leg
	左側，小腿肌肉其他鈣化
   M61469	Other calcification of muscle, unspecified lower leg
	未特定側性，小腿肌肉其他鈣化
  M6147	Other calcification of muscle, ankle and foot
	踝及足部肌肉其他鈣化
   M61471	Other calcification of muscle, right ankle and foot
	右側，踝及足部肌肉其他鈣化
   M61472	Other calcification of muscle, left ankle and foot
	左側，踝及足部肌肉其他鈣化
   M61479	Other calcification of muscle, unspecified ankle and foot
	未特定側性，踝及足部肌肉其他鈣化
  M6148	Other calcification of muscle, other site
	其他部位肌肉其他鈣化
  M6149	Other calcification of muscle, multiple sites
	多處部位肌肉其他鈣化
 M615	Other ossification of muscle
	肌肉其他骨化
  M6150	Other ossification of muscle, unspecified site
	未特定部位，肌肉其他骨化
  M6151	Other ossification of muscle, shoulder
	肩部肌肉其他骨化
   M61511	Other ossification of muscle, right shoulder
	右側，肩部肌肉其他骨化
   M61512	Other ossification of muscle, left shoulder
	左側，肩部肌肉其他骨化
   M61519	Other ossification of muscle, unspecified shoulder
	未特定側性，肩部肌肉其他骨化
  M6152	Other ossification of muscle, upper arm
	上臂肌肉其他骨化
   M61521	Other ossification of muscle, right upper arm
	右側，上臂肌肉其他骨化
   M61522	Other ossification of muscle, left upper arm
	左側，上臂肌肉其他骨化
   M61529	Other ossification of muscle, unspecified upper arm
	未特定側性，上臂肌肉其他骨化
  M6153	Other ossification of muscle, forearm
	前臂肌肉其他骨化
   M61531	Other ossification of muscle, right forearm
	右側，前臂肌肉其他骨化
   M61532	Other ossification of muscle, left forearm
	左側，前臂肌肉其他骨化
   M61539	Other ossification of muscle, unspecified forearm
	未特定側性，前臂肌肉其他骨化
  M6154	Other ossification of muscle, hand
	手部肌肉其他骨化
   M61541	Other ossification of muscle, right hand
	右側，手部肌肉其他骨化
   M61542	Other ossification of muscle, left hand
	左側，手部肌肉其他骨化
   M61549	Other ossification of muscle, unspecified hand
	未特定側性，手部肌肉其他骨化
  M6155	Other ossification of muscle, thigh
	大腿肌肉其他骨化
   M61551	Other ossification of muscle, right thigh
	右側，大腿肌肉其他骨化
   M61552	Other ossification of muscle, left thigh
	左側，大腿肌肉其他骨化
   M61559	Other ossification of muscle, unspecified thigh
	未特定側性，大腿肌肉其他骨化
  M6156	Other ossification of muscle, lower leg
	小腿肌肉其他骨化
   M61561	Other ossification of muscle, right lower leg
	右側，小腿肌肉其他骨化
   M61562	Other ossification of muscle, left lower leg
	左側，小腿肌肉其他骨化
   M61569	Other ossification of muscle, unspecified lower leg
	未特定側性，小腿肌肉其他骨化
  M6157	Other ossification of muscle, ankle and foot
	踝及足部肌肉其他骨化
   M61571	Other ossification of muscle, right ankle and foot
	右側，踝及足部肌肉其他骨化
   M61572	Other ossification of muscle, left ankle and foot
	左側，踝及足部肌肉其他骨化
   M61579	Other ossification of muscle, unspecified ankle and foot
	未特定側性，踝及足部肌肉其他骨化
  M6158	Other ossification of muscle, other site
	其他部位肌肉其他骨化
  M6159	Other ossification of muscle, multiple sites
	多處部位肌肉其他骨化
 M619	Calcification and ossification of muscle, unspecified
	肌肉鈣化及骨化，未特定
M62	Other disorders of muscle
	肌肉其他疾患
 M620	Separation of muscle (nontraumatic)
	肌肉分離(非創傷性)
  M6200	Separation of muscle (nontraumatic), unspecified site
	未特定部位，肌肉分離(非創傷性)
  M6201	Separation of muscle (nontraumatic), shoulder
	肩部肌肉分離(非創傷性)
   M62011	Separation of muscle (nontraumatic), right shoulder
	右側，肩部肌肉分離(非創傷性)
   M62012	Separation of muscle (nontraumatic), left shoulder
	左側，肩部肌肉分離(非創傷性)
   M62019	Separation of muscle (nontraumatic), unspecified shoulder
	未特定側性，肩部肌肉分離(非創傷性)
  M6202	Separation of muscle (nontraumatic), upper arm
	上臂肌肉分離(非創傷性)
   M62021	Separation of muscle (nontraumatic), right upper arm
	右側，上臂肌肉分離(非創傷性)
   M62022	Separation of muscle (nontraumatic), left upper arm
	左側，上臂肌肉分離(非創傷性)
   M62029	Separation of muscle (nontraumatic), unspecified upper arm
	未特定側性，上臂肌肉分離(非創傷性)
  M6203	Separation of muscle (nontraumatic), forearm
	前臂肌肉分離(非創傷性)
   M62031	Separation of muscle (nontraumatic), right forearm
	右側，前臂肌肉分離(非創傷性)
   M62032	Separation of muscle (nontraumatic), left forearm
	左側，前臂肌肉分離(非創傷性)
   M62039	Separation of muscle (nontraumatic), unspecified forearm
	未特定側性，前臂肌肉分離(非創傷性)
  M6204	Separation of muscle (nontraumatic), hand
	手部肌肉分離(非創傷性)
   M62041	Separation of muscle (nontraumatic), right hand
	右側，手部肌肉分離(非創傷性)
   M62042	Separation of muscle (nontraumatic), left hand
	左側，手部肌肉分離(非創傷性)
   M62049	Separation of muscle (nontraumatic), unspecified hand
	未特定側性，手部肌肉分離(非創傷性)
  M6205	Separation of muscle (nontraumatic), thigh
	大腿肌肉分離(非創傷性)
   M62051	Separation of muscle (nontraumatic), right thigh
	右側，大腿肌肉分離(非創傷性)
   M62052	Separation of muscle (nontraumatic), left thigh
	左側，大腿肌肉分離(非創傷性)
   M62059	Separation of muscle (nontraumatic), unspecified thigh
	未特定側性，大腿肌肉分離(非創傷性)
  M6206	Separation of muscle (nontraumatic), lower leg
	小腿肌肉分離(非創傷性)
   M62061	Separation of muscle (nontraumatic), right lower leg
	右側，小腿肌肉分離(非創傷性)
   M62062	Separation of muscle (nontraumatic), left lower leg
	左側，小腿肌肉分離(非創傷性)
   M62069	Separation of muscle (nontraumatic), unspecified lower leg
	未特定側性，小腿肌肉分離(非創傷性)
  M6207	Separation of muscle (nontraumatic), ankle and foot
	踝及足部肌肉分離(非創傷性)
   M62071	Separation of muscle (nontraumatic), right ankle and foot
	右側，踝及足部肌肉分離(非創傷性)
   M62072	Separation of muscle (nontraumatic), left ankle and foot
	左側，踝及足部肌肉分離(非創傷性)
   M62079	Separation of muscle (nontraumatic), unspecified ankle and foot
	未特定側性，踝及足部肌肉分離(非創傷性)
  M6208	Separation of muscle (nontraumatic), other site
	其他部位肌肉分離(非創傷性)
 M621	Other rupture of muscle (nontraumatic)
	肌肉其他破裂(非創傷性)
  M6210	Other rupture of muscle (nontraumatic), unspecified site
	未特定部位，肌肉分離(非創傷性)
  M6211	Other rupture of muscle (nontraumatic), shoulder
	肩部肌肉其他破裂(非創傷性)
   M62111	Other rupture of muscle (nontraumatic), right shoulder
	右側，肩肌部肉其他破裂(非創傷性)
   M62112	Other rupture of muscle (nontraumatic), left shoulder
	左側，肩肌部肉其他破裂(非創傷性)
   M62119	Other rupture of muscle (nontraumatic), unspecified shoulder
	未特定側性，肩部肌肉其他破裂(非創傷性)
  M6212	Other rupture of muscle (nontraumatic), upper arm
	上臂肌肉其他破裂(非創傷性)
   M62121	Other rupture of muscle (nontraumatic), right upper arm
	右側，上臂肌肉其他破裂(非創傷性)
   M62122	Other rupture of muscle (nontraumatic), left upper arm
	左側，上臂肌肉其他破裂(非創傷性)
   M62129	Other rupture of muscle (nontraumatic), unspecified upper arm
	未特定側性，上臂肌肉其他破裂(非創傷性)
  M6213	Other rupture of muscle (nontraumatic), forearm
	前臂肌肉其他破裂(非創傷性)
   M62131	Other rupture of muscle (nontraumatic), right forearm
	右側，前臂肌肉其他破裂(非創傷性)
   M62132	Other rupture of muscle (nontraumatic), left forearm
	左側，前臂肌肉其他破裂(非創傷性)
   M62139	Other rupture of muscle (nontraumatic), unspecified forearm
	未特定側性，前臂肌肉其他破裂(非創傷性)
  M6214	Other rupture of muscle (nontraumatic), hand
	手部肌肉其他破裂(非創傷性)
   M62141	Other rupture of muscle (nontraumatic), right hand
	右側，手部肌肉其他破裂(非創傷性)
   M62142	Other rupture of muscle (nontraumatic), left hand
	左側，手部肌肉其他破裂(非創傷性)
   M62149	Other rupture of muscle (nontraumatic), unspecified hand
	未特定側性，手部肌肉其他破裂(非創傷性)
  M6215	Other rupture of muscle (nontraumatic), thigh
	大腿肌肉其他破裂(非創傷性)
   M62151	Other rupture of muscle (nontraumatic), right thigh
	右側，大腿肌肉其他破裂(非創傷性)
   M62152	Other rupture of muscle (nontraumatic), left thigh
	左側，大腿肌肉其他破裂(非創傷性)
   M62159	Other rupture of muscle (nontraumatic), unspecified thigh
	未特定側性，大腿肌肉其他破裂(非創傷性)
  M6216	Other rupture of muscle (nontraumatic), lower leg
	小腿肌肉其他破裂(非創傷性)
   M62161	Other rupture of muscle (nontraumatic), right lower leg
	右側，小腿肌肉其他破裂(非創傷性)
   M62162	Other rupture of muscle (nontraumatic), left lower leg
	左側，小腿肌肉其他破裂(非創傷性)
   M62169	Other rupture of muscle (nontraumatic), unspecified lower leg
	未特定側性，小腿肌肉其他破裂(非創傷性)
  M6217	Other rupture of muscle (nontraumatic), ankle and foot
	踝及足部肌肉其他破裂(非創傷性)
   M62171	Other rupture of muscle (nontraumatic), right ankle and foot
	右側，踝及足部肌肉其他破裂(非創傷性)
   M62172	Other rupture of muscle (nontraumatic), left ankle and foot
	左側，踝及足部肌肉其他破裂(非創傷性)
   M62179	Other rupture of muscle (nontraumatic), unspecified ankle and foot
	未特定側性，踝及足部肌肉其他破裂(非創傷性)
  M6218	Other rupture of muscle (nontraumatic), other site
	其他部位肌肉其他破裂(非創傷性)
 M622	Nontraumatic ischemic infarction of muscle
	非創傷性肌肉缺血性梗塞
  M6220	Nontraumatic ischemic infarction of muscle, unspecified site
	未特定部位，非創傷性肌肉缺血性梗塞
  M6221	Nontraumatic ischemic infarction of muscle, shoulder
	肩部非創傷性肌肉缺血性梗塞
   M62211	Nontraumatic ischemic infarction of muscle, right shoulder
	右側，肩部非創傷性肌肉缺血性梗塞
   M62212	Nontraumatic ischemic infarction of muscle, left shoulder
	左側，肩部非創傷性肌肉缺血性梗塞
   M62219	Nontraumatic ischemic infarction of muscle, unspecified shoulder
	未特定側性，肩部非創傷性肌肉缺血性梗塞
  M6222	Nontraumatic ischemic infarction of muscle, upper arm
	上臂非創傷性肌肉缺血性梗塞
   M62221	Nontraumatic ischemic infarction of muscle, right upper arm
	右側，上臂非創傷性肌肉缺血性梗塞
   M62222	Nontraumatic ischemic infarction of muscle, left upper arm
	左側，上臂非創傷性肌肉缺血性梗塞
   M62229	Nontraumatic ischemic infarction of muscle, unspecified upper arm
	未特定側性，上臂非創傷性肌肉缺血性梗塞
  M6223	Nontraumatic ischemic infarction of muscle, forearm
	前臂非創傷性肌肉缺血性梗塞
   M62231	Nontraumatic ischemic infarction of muscle, right forearm
	右側，前臂非創傷性肌肉缺血性梗塞
   M62232	Nontraumatic ischemic infarction of muscle, left forearm
	左側，前臂非創傷性肌肉缺血性梗塞
   M62239	Nontraumatic ischemic infarction of muscle, unspecified forearm
	未特定側性，前臂非創傷性肌肉缺血性梗塞
  M6224	Nontraumatic ischemic infarction of muscle, hand
	手部非創傷性肌肉缺血性梗塞
   M62241	Nontraumatic ischemic infarction of muscle, right hand
	右側，手部非創傷性肌肉缺血性梗塞
   M62242	Nontraumatic ischemic infarction of muscle, left hand
	左側，手部非創傷性肌肉缺血性梗塞
   M62249	Nontraumatic ischemic infarction of muscle, unspecified hand
	未特定側性，手部非創傷性肌肉缺血性梗塞
  M6225	Nontraumatic ischemic infarction of muscle, thigh
	大腿非創傷性肌肉缺血性梗塞
   M62251	Nontraumatic ischemic infarction of muscle, right thigh
	右側，大腿非創傷性肌肉缺血性梗塞
   M62252	Nontraumatic ischemic infarction of muscle, left thigh
	左側，大腿非創傷性肌肉缺血性梗塞
   M62259	Nontraumatic ischemic infarction of muscle, unspecified thigh
	未特定側性，大腿非創傷性肌肉缺血性梗塞
  M6226	Nontraumatic ischemic infarction of muscle, lower leg
	小腿非創傷性肌肉缺血性梗塞
   M62261	Nontraumatic ischemic infarction of muscle, right lower leg
	右側，小腿非創傷性肌肉缺血性梗塞
   M62262	Nontraumatic ischemic infarction of muscle, left lower leg
	左側，小腿非創傷性肌肉缺血性梗塞
   M62269	Nontraumatic ischemic infarction of muscle, unspecified lower leg
	未特定側性，小腿非創傷性肌肉缺血性梗塞
  M6227	Nontraumatic ischemic infarction of muscle, ankle and foot
	踝及足部非創傷性肌肉缺血性梗塞
   M62271	Nontraumatic ischemic infarction of muscle, right ankle and foot
	右側，踝及足部非創傷性肌肉缺血性梗塞
   M62272	Nontraumatic ischemic infarction of muscle, left ankle and foot
	左側，踝及足部非創傷性肌肉缺血性梗塞
   M62279	Nontraumatic ischemic infarction of muscle, unspecified ankle and foot
	未特定側性，踝及足部非創傷性肌肉缺血性梗塞
  M6228	Nontraumatic ischemic infarction of muscle, other site
	其他部位非創傷性肌肉缺血性梗塞
 M623	Immobility syndrome (paraplegic)
	截癱性不動症候群
 M624	Contracture of muscle
	肌肉攣縮
  M6240	Contracture of muscle, unspecified site
	未特定部位，肌肉攣縮
  M6241	Contracture of muscle, shoulder
	肩部肌肉攣縮
   M62411	Contracture of muscle, right shoulder
	右側，肩部肌肉攣縮
   M62412	Contracture of muscle, left shoulder
	左側，肩部肌肉攣縮
   M62419	Contracture of muscle, unspecified shoulder
	未特定側性，肩部肌肉攣縮
  M6242	Contracture of muscle, upper arm
	上臂肌肉攣縮
   M62421	Contracture of muscle, right upper arm
	右側，上臂肌肉攣縮
   M62422	Contracture of muscle, left upper arm
	左側，上臂肌肉攣縮
   M62429	Contracture of muscle, unspecified upper arm
	未特定側性，上臂肌肉攣縮
  M6243	Contracture of muscle, forearm
	前臂肌肉攣縮
   M62431	Contracture of muscle, right forearm
	右側，前臂肌肉攣縮
   M62432	Contracture of muscle, left forearm
	左側，前臂肌肉攣縮
   M62439	Contracture of muscle, unspecified forearm
	未特定側性，前臂肌肉攣縮
  M6244	Contracture of muscle, hand
	手部肌肉攣縮
   M62441	Contracture of muscle, right hand
	右側，手部肌肉攣縮
   M62442	Contracture of muscle, left hand
	左側，手部肌肉攣縮
   M62449	Contracture of muscle, unspecified hand
	未特定側性，手部肌肉攣縮
  M6245	Contracture of muscle, thigh
	大腿肌肉攣縮
   M62451	Contracture of muscle, right thigh
	右側，大腿肌肉攣縮
   M62452	Contracture of muscle, left thigh
	左側，大腿肌肉攣縮
   M62459	Contracture of muscle, unspecified thigh
	未特定側性，大腿肌肉攣縮
  M6246	Contracture of muscle, lower leg
	小腿肌肉攣縮
   M62461	Contracture of muscle, right lower leg
	右側，小腿肌肉攣縮
   M62462	Contracture of muscle, left lower leg
	左側，小腿肌肉攣縮
   M62469	Contracture of muscle, unspecified lower leg
	未特定側性，小腿肌肉攣縮
  M6247	Contracture of muscle, ankle and foot
	踝及足部肌肉攣縮
   M62471	Contracture of muscle, right ankle and foot
	右側，踝及足部肌肉攣縮
   M62472	Contracture of muscle, left ankle and foot
	左側，踝及足部肌肉攣縮
   M62479	Contracture of muscle, unspecified ankle and foot
	未特定側性，踝及足部肌肉攣縮
  M6248	Contracture of muscle, other site
	其他部位肌肉攣縮
  M6249	Contracture of muscle, multiple sites
	多處部位肌肉攣縮
 M625	Muscle wasting and atrophy, not elsewhere classified
	肌肉耗損及萎縮，他處未分類
  M6250	Muscle wasting and atrophy, not elsewhere classified, unspecified site
	未特定部位，肌肉耗損及萎縮，他處未歸類者
  M6251	Muscle wasting and atrophy, not elsewhere classified, shoulder
	肩部肌肉耗損及萎縮，他處未分類
   M62511	Muscle wasting and atrophy, not elsewhere classified, right shoulder
	右側，肩部肌肉耗損及萎縮，他處未歸類者
   M62512	Muscle wasting and atrophy, not elsewhere classified, left shoulder
	左側，肩部肌肉耗損及萎縮，他處未歸類者
   M62519	Muscle wasting and atrophy, not elsewhere classified, unspecified shoulder
	未特定側性，肩部肌肉耗損及萎縮，他處未歸類者
  M6252	Muscle wasting and atrophy, not elsewhere classified, upper arm
	上臂肌肉耗損及萎縮，他處未分類
   M62521	Muscle wasting and atrophy, not elsewhere classified, right upper arm
	右側，上臂肌肉耗損及萎縮，他處未歸類者
   M62522	Muscle wasting and atrophy, not elsewhere classified, left upper arm
	左側，上臂肌肉耗損及萎縮，他處未歸類者
   M62529	Muscle wasting and atrophy, not elsewhere classified, unspecified upper arm
	未特定側性，上臂肌肉耗損及萎縮，他處未歸類者
  M6253	Muscle wasting and atrophy, not elsewhere classified, forearm
	前臂肌肉耗損及萎縮，他處未分類
   M62531	Muscle wasting and atrophy, not elsewhere classified, right forearm
	右側，前臂肌肉耗損及萎縮，他處未歸類者
   M62532	Muscle wasting and atrophy, not elsewhere classified, left forearm
	左側，前臂肌肉耗損及萎縮，他處未歸類者
   M62539	Muscle wasting and atrophy, not elsewhere classified, unspecified forearm
	未特定側性，前臂肌肉耗損及萎縮，他處未歸類者
  M6254	Muscle wasting and atrophy, not elsewhere classified, hand
	手部肌肉耗損及萎縮，他處未分類
   M62541	Muscle wasting and atrophy, not elsewhere classified, right hand
	右側，手部肌肉耗損及萎縮，他處未歸類者
   M62542	Muscle wasting and atrophy, not elsewhere classified, left hand
	左側，手部肌肉耗損及萎縮，他處未歸類者
   M62549	Muscle wasting and atrophy, not elsewhere classified, unspecified hand
	未特定側性，手部肌肉耗損及萎縮，他處未歸類者
  M6255	Muscle wasting and atrophy, not elsewhere classified, thigh
	大腿肌肉耗損及萎縮，他處未分類
   M62551	Muscle wasting and atrophy, not elsewhere classified, right thigh
	右側，大腿肌肉耗損及萎縮，他處未歸類者
   M62552	Muscle wasting and atrophy, not elsewhere classified, left thigh
	左側，大腿肌肉耗損及萎縮，他處未歸類者
   M62559	Muscle wasting and atrophy, not elsewhere classified, unspecified thigh
	未特定側性，大腿肌肉耗損及萎縮，他處未歸類者
  M6256	Muscle wasting and atrophy, not elsewhere classified, lower leg
	小腿肌肉耗損及萎縮，他處未分類
   M62561	Muscle wasting and atrophy, not elsewhere classified, right lower leg
	右側，小腿肌肉耗損及萎縮，他處未歸類者
   M62562	Muscle wasting and atrophy, not elsewhere classified, left lower leg
	左側，小腿肌肉耗損及萎縮，他處未歸類者
   M62569	Muscle wasting and atrophy, not elsewhere classified, unspecified lower leg
	未特定側性，小腿肌肉耗損及萎縮，他處未歸類者
  M6257	Muscle wasting and atrophy, not elsewhere classified, ankle and foot
	踝及足部肌肉耗損及萎縮，他處未分類
   M62571	Muscle wasting and atrophy, not elsewhere classified, right ankle and foot
	右側，踝及足部肌肉耗損及萎縮，他處未歸類者
   M62572	Muscle wasting and atrophy, not elsewhere classified, left ankle and foot
	左側，踝及足部肌肉耗損及萎縮，他處未歸類者
   M62579	Muscle wasting and atrophy, not elsewhere classified, unspecified ankle and foot
	未特定側性，踝及足部肌肉耗損及萎縮，他處未歸類者
  M6258	Muscle wasting and atrophy, not elsewhere classified, other site
	其他部位肌肉耗損及萎縮，他處未歸類者
  M6259	Muscle wasting and atrophy, not elsewhere classified, multiple sites
	多處部位肌肉耗損及萎縮，他處未歸類者
 M628	Other specified disorders of muscle
	其他特定的肌肉疾患
  M6281	Muscle weakness (generalized)
	肌無力
  M6282	Rhabdomyolysis
	橫紋肌溶解症
  M6283	Muscle spasm
	肌肉痙攣
   M62830	Muscle spasm of back
	背部肌肉痙攣
   M62831	Muscle spasm of calf
	小腿肌肉痙攣
   M62838	Other muscle spasm
	其他肌肉痙攣
  M6289	Other specified disorders of muscle
	其他特定之肌肉疾患
 M629	Disorder of muscle, unspecified
	肌肉疾患，未特定
M63	Disorders of muscle in diseases classified elsewhere
	歸類於他處疾病所致之肌肉疾患 
 M638	Disorders of muscle in diseases classified elsewhere
	歸類於他處疾病所致之肌肉疾患 
  M6380	Disorders of muscle in diseases classified elsewhere, unspecified site
	歸類於他處疾病所致之未特定部位肌肉疾患 
  M6381	Disorders of muscle in diseases classified elsewhere, shoulder
	歸類於他處疾病所致之肩肌肉疾患 
   M63811	Disorders of muscle in diseases classified elsewhere, right shoulder
	歸類於他處疾病所致之右肩肌肉疾患 
   M63812	Disorders of muscle in diseases classified elsewhere, left shoulder
	歸類於他處疾病所致之左肩肌肉疾患 
   M63819	Disorders of muscle in diseases classified elsewhere, unspecified shoulder
	歸類於他處疾病所致之未特定肩側肌肉疾患 
  M6382	Disorders of muscle in diseases classified elsewhere, upper arm
	歸類於他處疾病所致之上臂肌肉疾患 
   M63821	Disorders of muscle in diseases classified elsewhere, right upper arm
	歸類於他處疾病所致之右上臂肌肉疾患 
   M63822	Disorders of muscle in diseases classified elsewhere, left upper arm
	歸類於他處疾病所致之左上臂肌肉疾患 
   M63829	Disorders of muscle in diseases classified elsewhere, unspecified upper arm
	歸類於他處疾病所致之未特定上臂側肌肉疾患 
  M6383	Disorders of muscle in diseases classified elsewhere, foream
	歸類於他處疾病所致之前臂肌肉疾患 
   M63831	Disorders of muscle in diseases classified elsewhere, right forearm
	歸類於他處疾病所致之右前臂肌肉疾患 
   M63832	Disorders of muscle in diseases classified elsewhere, left forearm
	歸類於他處疾病所致之左前臂肌肉疾患 
   M63839	Disorders of muscle in diseases classified elsewhere, unspecified forearm
	歸類於他處疾病所致之未特定前臂側肌肉疾患 
  M6384	Disorders of muscle in diseases classified elsewhere, hand
	歸類於他處疾病所致之手肌肉疾患 
   M63841	Disorders of muscle in diseases classified elsewhere, right hand
	歸類於他處疾病所致之右手肌肉疾患 
   M63842	Disorders of muscle in diseases classified elsewhere, left hand
	歸類於他處疾病所致之左手肌肉疾患 
   M63849	Disorders of muscle in diseases classified elsewhere, unspecified hand
	歸類於他處疾病所致之未特定側手肌肉疾患 
  M6385	Disorders of muscle in diseases classified elsewhere, thigh
	歸類於他處疾病所致之大腿肌肉疾患
   M63851	Disorders of muscle in diseases classified elsewhere, right thigh
	歸類於他處疾病所致之右大腿肌肉疾患 
   M63852	Disorders of muscle in diseases classified elsewhere, left thigh
	歸類於他處疾病所致之左大腿肌肉疾患 
   M63859	Disorders of muscle in diseases classified elsewhere, unspecified thigh
	歸類於他處疾病所致之未特定大腿側肌肉疾患 
  M6386	Disorders of muscle in diseases classified elsewhere, lower leg
	歸類於他處疾病所致之小腿肌肉疾患 
   M63861	Disorders of muscle in diseases classified elsewhere, right lower leg
	歸類於他處疾病所致之右小腿肌肉疾患 
   M63862	Disorders of muscle in diseases classified elsewhere, left lower leg
	歸類於他處疾病所致之左小腿肌肉疾患 
   M63869	Disorders of muscle in diseases classified elsewhere, unspecified lower leg
	歸類於他處疾病所致之未特定小腿側肌肉疾患 
  M6387	Disorders of muscle in diseases classified elsewhere, ankle and foot
	歸類於他處疾病所致之踝及足肌肉疾患 
   M63871	Disorders of muscle in diseases classified elsewhere, right ankle and foot
	歸類於他處疾病所致之右踝及足肌肉疾患 
   M63872	Disorders of muscle in diseases classified elsewhere, left ankle and foot
	歸類於他處疾病所致之左踝及足肌肉疾患 
   M63879	Disorders of muscle in diseases classified elsewhere, unspecified ankle and foot
	歸類於他處疾病所致之未特定踝及足側肌肉疾患 
  M6388	Disorders of muscle in diseases classified elsewhere, other site
	歸類於他處疾病所致之其他特定部位肌肉疾患 
  M6389	Disorders of muscle in diseases classified elsewhere, multiple sites
	歸類於他處疾病所致之肌肉疾患 
M65	Synovitis and tenosynovitis
	滑膜炎及腱鞘炎
 M650	Abscess of tendon sheath
	腱鞘膿瘍
  M6500	Abscess of tendon sheath, unspecified site
	未特定部位之腱鞘膿瘍
  M6501	Abscess of tendon sheath, shoulder
	肩部腱鞘膿瘍
   M65011	Abscess of tendon sheath, right shoulder
	右肩腱鞘膿瘍
   M65012	Abscess of tendon sheath, left shoulder
	左肩腱鞘膿瘍
   M65019	Abscess of tendon sheath, unspecified shoulder
	未特定肩側腱鞘膿瘍
  M6502	Abscess of tendon sheath, upper arm
	上臂腱鞘膿瘍
   M65021	Abscess of tendon sheath, right upper arm
	右上臂腱鞘膿瘍
   M65022	Abscess of tendon sheath, left upper arm
	左上臂腱鞘膿瘍
   M65029	Abscess of tendon sheath, unspecified upper arm
	未特定上臂側腱鞘膿瘍
  M6503	Abscess of tendon sheath, forearm
	前臂腱鞘膿瘍
   M65031	Abscess of tendon sheath, right forearm
	右前臂腱鞘膿瘍
   M65032	Abscess of tendon sheath, left forearm
	左前臂腱鞘膿瘍
   M65039	Abscess of tendon sheath, unspecified forearm
	未特定前臂側腱鞘膿瘍
  M6504	Abscess of tendon sheath, hand
	手部腱鞘膿瘍
   M65041	Abscess of tendon sheath, right hand
	右手部腱鞘膿瘍
   M65042	Abscess of tendon sheath, left hand
	左手部腱鞘膿瘍
   M65049	Abscess of tendon sheath, unspecified hand
	未特定手部側腱鞘膿瘍
  M6505	Abscess of tendon sheath, thigh
	大腿腱鞘膿瘍
   M65051	Abscess of tendon sheath, right thigh
	右大腿腱鞘膿瘍
   M65052	Abscess of tendon sheath, left thigh
	左大腿腱鞘膿瘍
   M65059	Abscess of tendon sheath, unspecified thigh
	未特定大腿側腱鞘膿瘍
  M6506	Abscess of tendon sheath, lower leg
	小腿腱鞘膿瘍
   M65061	Abscess of tendon sheath, right lower leg
	右小腿腱鞘膿瘍
   M65062	Abscess of tendon sheath, left lower leg
	左小腿腱鞘膿瘍
   M65069	Abscess of tendon sheath, unspecified lower leg
	未特定小腿側腱鞘膿瘍
  M6507	Abscess of tendon sheath, ankle and foot
	踝及足部腱鞘膿瘍
   M65071	Abscess of tendon sheath, right ankle and foot
	右踝及足腱鞘膿瘍
   M65072	Abscess of tendon sheath, left ankle and foot
	左踝及足腱鞘膿瘍
   M65079	Abscess of tendon sheath, unspecified ankle and foot
	未特定踝及足側腱鞘膿瘍
  M6508	Abscess of tendon sheath, other site
	其他部位腱鞘膿瘍
 M651	Other infective (teno)synovitis
	其他感染性(肌腱)滑膜炎
  M6510	Other infective (teno)synovitis, unspecified site
	未特定部位之其他感染性(肌腱)滑膜炎
  M6511	Other infective (teno)synovitis, shoulder
	肩部其他感染性(肌腱)滑膜炎
   M65111	Other infective (teno)synovitis, right shoulder
	右肩感染性(肌腱)滑(液)膜炎
   M65112	Other infective (teno)synovitis, left shoulder
	左肩感染性(肌腱)滑(液)膜炎
   M65119	Other infective (teno)synovitis, unspecified shoulder
	未特定肩側感染性(肌腱)滑膜炎
  M6512	Other infective (teno)synovitis, elbow
	肘部其他感染性(肌腱)滑膜炎
   M65121	Other infective (teno)synovitis, right elbow
	右肘感染性(肌腱)滑膜炎
   M65122	Other infective (teno)synovitis, left elbow
	左肘感染性(肌腱)滑膜炎
